w_rad_s,Gc_hinf_mag,Gc_youlah_mag,Gc_reduced_mag,Gc_discrete_mag
1.000000e-02,1.038116e+04,1.118114e+04,1.118277e+04,1.118277e+04
1.018091e-02,1.022156e+04,1.098246e+04,1.098401e+04,1.098401e+04
1.036508e-02,1.006366e+04,1.078731e+04,1.078879e+04,1.078879e+04
1.055260e-02,9.907480e+03,1.059563e+04,1.059704e+04,1.059704e+04
1.074350e-02,9.753035e+03,1.040736e+04,1.040869e+04,1.040869e+04
1.093785e-02,9.600338e+03,1.022243e+04,1.022370e+04,1.022370e+04
1.113573e-02,9.449399e+03,1.004078e+04,1.004199e+04,1.004199e+04
1.133718e-02,9.300228e+03,9.862367e+03,9.863519e+03,9.863519e+03
1.154228e-02,9.152833e+03,9.687121e+03,9.688217e+03,9.688217e+03
1.175108e-02,9.007219e+03,9.514989e+03,9.516032e+03,9.516032e+03
1.196367e-02,8.863392e+03,9.345916e+03,9.346907e+03,9.346907e+03
1.218010e-02,8.721354e+03,9.179847e+03,9.180790e+03,9.180790e+03
1.240044e-02,8.581108e+03,9.016729e+03,9.017625e+03,9.017625e+03
1.262477e-02,8.442653e+03,8.856509e+03,8.857362e+03,8.857362e+03
1.285316e-02,8.305990e+03,8.699136e+03,8.699947e+03,8.699947e+03
1.308568e-02,8.171116e+03,8.544560e+03,8.545331e+03,8.545331e+03
1.332241e-02,8.038028e+03,8.392731e+03,8.393463e+03,8.393463e+03
1.356342e-02,7.906723e+03,8.243599e+03,8.244295e+03,8.244295e+03
1.380879e-02,7.777194e+03,8.097117e+03,8.097779e+03,8.097779e+03
1.405860e-02,7.649436e+03,7.953238e+03,7.953867e+03,7.953867e+03
1.431293e-02,7.523441e+03,7.811916e+03,7.812513e+03,7.812513e+03
1.457186e-02,7.399202e+03,7.673105e+03,7.673672e+03,7.673672e+03
1.483547e-02,7.276710e+03,7.536760e+03,7.537299e+03,7.537299e+03
1.510386e-02,7.155955e+03,7.402838e+03,7.403350e+03,7.403350e+03
1.537710e-02,7.036927e+03,7.271296e+03,7.271783e+03,7.271783e+03
1.565528e-02,6.919614e+03,7.142092e+03,7.142553e+03,7.142553e+03
1.593849e-02,6.804006e+03,7.015183e+03,7.015621e+03,7.015621e+03
1.622683e-02,6.690089e+03,6.890529e+03,6.890945e+03,6.890945e+03
1.652038e-02,6.577851e+03,6.768090e+03,6.768485e+03,6.768485e+03
1.681924e-02,6.467279e+03,6.647827e+03,6.648202e+03,6.648202e+03
1.712351e-02,6.358358e+03,6.529701e+03,6.530057e+03,6.530057e+03
1.743329e-02,6.251074e+03,6.413673e+03,6.414012e+03,6.414012e+03
1.774867e-02,6.145413e+03,6.299708e+03,6.300029e+03,6.300029e+03
1.806975e-02,6.041360e+03,6.187767e+03,6.188072e+03,6.188072e+03
1.839664e-02,5.938898e+03,6.077816e+03,6.078105e+03,6.078105e+03
1.872945e-02,5.838012e+03,5.969818e+03,5.970093e+03,5.970093e+03
1.906828e-02,5.738685e+03,5.863740e+03,5.864001e+03,5.864001e+03
1.941323e-02,5.640903e+03,5.759546e+03,5.759794e+03,5.759794e+03
1.976443e-02,5.544647e+03,5.657204e+03,5.657439e+03,5.657439e+03
2.012198e-02,5.449901e+03,5.556680e+03,5.556903e+03,5.556903e+03
2.048600e-02,5.356648e+03,5.457943e+03,5.458154e+03,5.458154e+03
2.085660e-02,5.264871e+03,5.360960e+03,5.361160e+03,5.361160e+03
2.123391e-02,5.174553e+03,5.265700e+03,5.265890e+03,5.265890e+03
2.161805e-02,5.085676e+03,5.172133e+03,5.172314e+03,5.172314e+03
2.200913e-02,4.998223e+03,5.080229e+03,5.080400e+03,5.080400e+03
2.240729e-02,4.912175e+03,4.989957e+03,4.990120e+03,4.990120e+03
2.281265e-02,4.827517e+03,4.901290e+03,4.901444e+03,4.901444e+03
2.322535e-02,4.744229e+03,4.814198e+03,4.814344e+03,4.814344e+03
2.364551e-02,4.662294e+03,4.728654e+03,4.728793e+03,4.728793e+03
