w_rad_s,full_mag,full_phase_deg,simp_mag,simp_phase_deg,corner_mag_min,corner_mag_max
1.000000e-01,9.932969e-01,-0.006,1.000000e+00,-0.006,1.000000e+00,1.000000e+00
1.035232e-01,9.932969e-01,-0.006,1.000000e+00,-0.007,1.000000e+00,1.000000e+00
1.071705e-01,9.932969e-01,-0.007,1.000000e+00,-0.007,1.000000e+00,1.000000e+00
1.109463e-01,9.932969e-01,-0.007,1.000000e+00,-0.007,1.000000e+00,1.000000e+00
1.148551e-01,9.932969e-01,-0.007,1.000000e+00,-0.007,1.000000e+00,1.000000e+00
1.189017e-01,9.932969e-01,-0.007,1.000000e+00,-0.007,1.000000e+00,1.000000e+00
1.230908e-01,9.932969e-01,-0.008,1.000000e+00,-0.008,1.000000e+00,1.000000e+00
1.274275e-01,9.932969e-01,-0.008,1.000000e+00,-0.008,1.000000e+00,1.000000e+00
1.319170e-01,9.932969e-01,-0.008,1.000000e+00,-0.008,1.000000e+00,1.000000e+00
1.365647e-01,9.932969e-01,-0.008,1.000000e+00,-0.009,1.000000e+00,1.000000e+00
1.413761e-01,9.932969e-01,-0.009,1.000000e+00,-0.009,1.000000e+00,1.000000e+00
1.463570e-01,9.932969e-01,-0.009,1.000000e+00,-0.009,1.000000e+00,1.000000e+00
1.515134e-01,9.932969e-01,-0.009,1.000000e+00,-0.010,1.000000e+00,1.000000e+00
1.568515e-01,9.932969e-01,-0.010,1.000000e+00,-0.010,1.000000e+00,1.000000e+00
1.623777e-01,9.932969e-01,-0.010,1.000000e+00,-0.010,1.000000e+00,1.000000e+00
1.680985e-01,9.932969e-01,-0.010,1.000000e+00,-0.011,1.000000e+00,1.000000e+00
1.740209e-01,9.932969e-01,-0.011,1.000000e+00,-0.011,1.000000e+00,1.000000e+00
1.801520e-01,9.932969e-01,-0.011,1.000000e+00,-0.011,1.000000e+00,1.000000e+00
1.864991e-01,9.932969e-01,-0.011,1.000000e+00,-0.012,1.000000e+00,1.000000e+00
1.930698e-01,9.932969e-01,-0.012,1.000000e+00,-0.012,1.000000e+00,1.000000e+00
1.998720e-01,9.932969e-01,-0.012,1.000000e+00,-0.013,1.000000e+00,1.000000e+00
2.069138e-01,9.932969e-01,-0.013,1.000000e+00,-0.013,1.000000e+00,1.000000e+00
2.142037e-01,9.932969e-01,-0.013,1.000000e+00,-0.014,1.000000e+00,1.000000e+00
2.217505e-01,9.932969e-01,-0.014,1.000000e+00,-0.014,1.000000e+00,1.000000e+00
2.295632e-01,9.932969e-01,-0.014,1.000000e+00,-0.014,1.000000e+00,1.000000e+00
2.376511e-01,9.932969e-01,-0.015,1.000000e+00,-0.015,1.000000e+00,1.000000e+00
2.460240e-01,9.932969e-01,-0.015,1.000000e+00,-0.016,1.000000e+00,1.000000e+00
2.546918e-01,9.932969e-01,-0.016,1.000000e+00,-0.016,1.000000e+00,1.000000e+00
2.636651e-01,9.932969e-01,-0.016,1.000000e+00,-0.017,1.000000e+00,1.000000e+00
2.729545e-01,9.932969e-01,-0.017,1.000000e+00,-0.017,1.000000e+00,1.000000e+00
2.825712e-01,9.932969e-01,-0.017,1.000000e+00,-0.018,1.000000e+00,1.000000e+00
2.925266e-01,9.932969e-01,-0.018,1.000000e+00,-0.018,1.000000e+00,1.000000e+00
3.028329e-01,9.932969e-01,-0.019,1.000000e+00,-0.019,1.000000e+00,1.000000e+00
3.135022e-01,9.932969e-01,-0.019,1.000000e+00,-0.020,1.000000e+00,1.000000e+00
3.245474e-01,9.932969e-01,-0.020,1.000000e+00,-0.020,1.000000e+00,1.000000e+00
3.359818e-01,9.932969e-01,-0.021,1.000000e+00,-0.021,1.000000e+00,1.000000e+00
3.478191e-01,9.932969e-01,-0.021,1.000000e+00,-0.022,1.000000e+00,1.000000e+00
3.600733e-01,9.932969e-01,-0.022,1.000000e+00,-0.023,1.000000e+00,1.000000e+00
3.727594e-01,9.932969e-01,-0.023,1.000000e+00,-0.023,1.000000e+00,1.000000e+00
3.858923e-01,9.932969e-01,-0.024,1.000000e+00,-0.024,1.000000e+00,1.000000e+00
3.994880e-01,9.932969e-01,-0.024,1.000000e+00,-0.025,1.000000e+00,1.000000e+00
4.135627e-01,9.932969e-01,-0.025,1.000000e+00,-0.026,1.000000e+00,1.000000e+00
4.281332e-01,9.932969e-01,-0.026,1.000000e+00,-0.027,1.000000e+00,1.000000e+00
4.432171e-01,9.932969e-01,-0.027,1.000000e+00,-0.028,1.000000e+00,1.000000e+00
4.588325e-01,9.932969e-01,-0.028,1.000000e+00,-0.029,1.000000e+00,1.000000e+00
4.749979e-01,9.932969e-01,-0.029,1.000000e+00,-0.030,1.000000e+00,1.000000e+00
4.917330e-01,9.932969e-01,-0.030,1.000000e+00,-0.031,1.000000e+00,1.000000e+00
5.090576e-01,9.932969e-01,-0.031,1.000000e+00,-0.032,1.000000e+00,1.000000e+00
5.269926e-01,9.932969e-01,-0.032,1.000000e+00,-0.033,1.000000e+00,1.000000e+00
5.455595e-01,9.932969e-01,-0.033,1.000000e+00,-0.034,1.000000e+00,1.000000e+00
5.647805e-01,9.932969e-01,-0.035,1.000000e+00,-0.036,1.000000e+00,1.000000e+00
5.846787e-01,9.932969e-01,-0.036,1.000000e+00,-0.037,1.000000e+00,1.000000e+00
6.052780e-01,9.932969e-01,-0.037,1.000000e+00,-0.038,1.000000e+00,1.000000e+00
6.266030e-01,9.932969e-01,-0.038,1.000000e+00,-0.039,1.000000e+00,1.000000e+00
6.486794e-01,9.932969e-01,-0.040,1.000000e+00,-0.041,1.000000e+00,1.000000e+00
6.715335e-01,9.932969e-01,-0.041,1.000000e+00,-0.042,1.000000e+00,1.000000e+00
