w_rad_s,full_mag_min,full_mag_max,corner_mag_min,corner_mag_max,simp_nom_mag
1.000000e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.081338e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.169291e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.264398e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.367241e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.478449e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.598703e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.728737e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.869348e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.021397e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.185812e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.363601e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.555850e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.763737e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
2.988532e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.231612e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.494464e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
3.778695e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.086045e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.418393e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
4.777775e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
5.166387e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
5.586608e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
6.041009e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
6.532370e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
7.063697e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
7.638241e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
8.259517e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
8.931326e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
9.657778e-01,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.044332e+00,9.625074e-01,9.969634e-01,1.000000e+00,1.000000e+00,1.000000e+00
1.129275e+00,9.625074e-01,9.969634e-01,9.999999e-01,1.000000e+00,1.000000e+00
1.221128e+00,9.625074e-01,9.969634e-01,9.999999e-01,1.000000e+00,1.000000e+00
1.320451e+00,9.625074e-01,9.969634e-01,9.999999e-01,1.000000e+00,1.000000e+00
1.427853e+00,9.625074e-01,9.969634e-01,9.999999e-01,1.000000e+00,1.000000e+00
1.543992e+00,9.625074e-01,9.969634e-01,9.999999e-01,1.000000e+00,1.000000e+00
1.669576e+00,9.625074e-01,9.969634e-01,9.999999e-01,1.000000e+00,1.000000e+00
1.805375e+00,9.625074e-01,9.969634e-01,9.999999e-01,1.000000e+00,1.000000e+00
1.952220e+00,9.625074e-01,9.969634e-01,9.999998e-01,1.000000e+00,1.000000e+00
2.111009e+00,9.625074e-01,9.969634e-01,9.999998e-01,1.000000e+00,1.000000e+00
2.282713e+00,9.625074e-01,9.969633e-01,9.999998e-01,1.000000e+00,1.000000e+00
2.468383e+00,9.625074e-01,9.969633e-01,9.999997e-01,1.000000e+00,1.000000e+00
2.669156e+00,9.625074e-01,9.969633e-01,9.999997e-01,1.000000e+00,1.000000e+00
2.886258e+00,9.625073e-01,9.969633e-01,9.999996e-01,1.000000e+00,1.000000e+00
3.121019e+00,9.625073e-01,9.969633e-01,9.999996e-01,1.000000e+00,1.000000e+00
3.374875e+00,9.625073e-01,9.969633e-01,9.999995e-01,1.000000e+00,9.999999e-01
3.649379e+00,9.625073e-01,9.969633e-01,9.999994e-01,1.000000e+00,9.999999e-01
3.946211e+00,9.625073e-01,9.969633e-01,9.999993e-01,1.000000e+00,9.999999e-01
4.267186e+00,9.625072e-01,9.969633e-01,9.999992e-01,1.000000e+00,9.999999e-01
4.614269e+00,9.625072e-01,9.969632e-01,9.999990e-01,1.000000e+00,9.999999e-01
4.989582e+00,9.625072e-01,9.969632e-01,9.999989e-01,1.000000e+00,9.999999e-01
5.395422e+00,9.625071e-01,9.969632e-01,9.999987e-01,1.000000e+00,9.999999e-01
5.834273e+00,9.625071e-01,9.969631e-01,9.999985e-01,1.000000e+00,9.999998e-01
6.308818e+00,9.625070e-01,9.969631e-01,9.999982e-01,1.000000e+00,9.999998e-01
6.821962e+00,9.625070e-01,9.969631e-01,9.999979e-01,1.000000e+00,9.999998e-01
7.376843e+00,9.625069e-01,9.969630e-01,9.999976e-01,1.000000e+00,9.999997e-01
7.976858e+00,9.625068e-01,9.969629e-01,9.999971e-01,1.000000e+00,9.999997e-01
8.625676e+00,9.625067e-01,9.969629e-01,9.999967e-01,1.000000e+00,9.999996e-01
9.327267e+00,9.625065e-01,9.969628e-01,9.999961e-01,1.000000e+00,9.999996e-01
1.008592e+01,9.625064e-01,9.969627e-01,9.999954e-01,1.000000e+00,9.999995e-01
1.090629e+01,9.625062e-01,9.969625e-01,9.999946e-01,1.000000e+00,9.999994e-01
1.179338e+01,9.625060e-01,9.969624e-01,9.999937e-01,1.000000e+00,9.999993e-01
1.275262e+01,9.625058e-01,9.969622e-01,9.999927e-01,1.000000e+00,9.999992e-01
1.378989e+01,9.625055e-01,9.969620e-01,9.999914e-01,1.000000e+00,9.999990e-01
1.491153e+01,9.625051e-01,9.969618e-01,9.999900e-01,1.000000e+00,9.999989e-01
1.612439e+01,9.625048e-01,9.969615e-01,9.999883e-01,9.999999e-01,9.999987e-01
1.743591e+01,9.625043e-01,9.969612e-01,9.999863e-01,9.999999e-01,9.999985e-01
1.885411e+01,9.625038e-01,9.969608e-01,9.999840e-01,9.999999e-01,9.999982e-01
2.038765e+01,9.625031e-01,9.969604e-01,9.999813e-01,9.999999e-01,9.999979e-01
2.204594e+01,9.625024e-01,9.969599e-01,9.999781e-01,9.999999e-01,9.999976e-01
2.383910e+01,9.625016e-01,9.969593e-01,9.999744e-01,9.999999e-01,9.999972e-01
2.577811e+01,9.625006e-01,9.969586e-01,9.999701e-01,9.999999e-01,9.999967e-01
2.787484e+01,9.624994e-01,9.969578e-01,9.999650e-01,9.999998e-01,9.999961e-01
3.014211e+01,9.624981e-01,9.969569e-01,9.999591e-01,9.999998e-01,9.999955e-01
3.259380e+01,9.624965e-01,9.969558e-01,9.999522e-01,9.999998e-01,9.999947e-01
3.524490e+01,9.624946e-01,9.969545e-01,9.999441e-01,9.999998e-01,9.999938e-01
3.811163e+01,9.624925e-01,9.969530e-01,9.999346e-01,9.999997e-01,9.999927e-01
4.121154e+01,9.624899e-01,9.969512e-01,9.999236e-01,9.999997e-01,9.999915e-01
4.456358e+01,9.624870e-01,9.969491e-01,9.999106e-01,9.999996e-01,9.999901e-01
4.818827e+01,9.624835e-01,9.969467e-01,9.998955e-01,9.999995e-01,9.999884e-01
5.210779e+01,9.624794e-01,9.969439e-01,9.998778e-01,9.999995e-01,9.999864e-01
5.634611e+01,9.624747e-01,9.969406e-01,9.998572e-01,9.999994e-01,9.999841e-01
6.092916e+01,9.624692e-01,9.969368e-01,9.998330e-01,9.999993e-01,9.999814e-01
6.588499e+01,9.624627e-01,9.969323e-01,9.998047e-01,9.999991e-01,9.999783e-01
7.124392e+01,9.624551e-01,9.969270e-01,9.997717e-01,9.999990e-01,9.999746e-01
7.703872e+01,9.624463e-01,9.969208e-01,9.997330e-01,9.999988e-01,9.999703e-01
8.330486e+01,9.624359e-01,9.969136e-01,9.996879e-01,9.999986e-01,9.999653e-01
9.008067e+01,9.624238e-01,9.969052e-01,9.996350e-01,9.999984e-01,9.999594e-01
9.740762e+01,9.624097e-01,9.968954e-01,9.995733e-01,9.999981e-01,9.999526e-01
1.053305e+02,9.623931e-01,9.968839e-01,9.995011e-01,9.999978e-01,9.999445e-01
1.138978e+02,9.623738e-01,9.968704e-01,9.994167e-01,9.999974e-01,9.999351e-01
1.231620e+02,9.623511e-01,9.968547e-01,9.993181e-01,9.999970e-01,9.999242e-01
1.331797e+02,9.623247e-01,9.968363e-01,9.992028e-01,9.999965e-01,9.999113e-01
1.440122e+02,9.622938e-01,9.968148e-01,9.990680e-01,9.999959e-01,9.998963e-01
1.557258e+02,9.622576e-01,9.967897e-01,9.989105e-01,9.999951e-01,9.998788e-01
1.683922e+02,9.622154e-01,9.967603e-01,9.987264e-01,9.999943e-01,9.998583e-01
1.820888e+02,9.621660e-01,9.967260e-01,9.985113e-01,9.999934e-01,9.998343e-01
1.968994e+02,9.621083e-01,9.966859e-01,9.982599e-01,9.999922e-01,9.998062e-01
2.129147e+02,9.620408e-01,9.966389e-01,9.979663e-01,9.999909e-01,9.997734e-01
2.302327e+02,9.619619e-01,9.965841e-01,9.976232e-01,9.999894e-01,9.997351e-01
2.489593e+02,9.618697e-01,9.965200e-01,9.972225e-01,9.999876e-01,9.996902e-01
2.692090e+02,9.617620e-01,9.964451e-01,9.967546e-01,9.999855e-01,9.996378e-01
2.911058e+02,9.616362e-01,9.963575e-01,9.962083e-01,9.999831e-01,9.995766e-01
3.147836e+02,9.614891e-01,9.962552e-01,9.955706e-01,9.999802e-01,9.995049e-01
3.403874e+02,9.613173e-01,9.961357e-01,9.948266e-01,9.999768e-01,9.994212e-01
3.680736e+02,9.611157e-01,9.959961e-01,9.939587e-01,9.999729e-01,9.993233e-01
3.980119e+02,9.608803e-01,9.958330e-01,9.929467e-01,9.999683e-01,9.992089e-01
4.303852e+02,9.606054e-01,9.956426e-01,9.917674e-01,9.999630e-01,9.990751e-01
4.653916e+02,9.602846e-01,9.954202e-01,9.903937e-01,9.999567e-01,9.989188e-01
5.032454e+02,9.599103e-01,9.951607e-01,9.887947e-01,9.999494e-01,9.987361e-01
5.441782e+02,9.594737e-01,9.948579e-01,9.869347e-01,9.999408e-01,9.985226e-01
5.884403e+02,9.589646e-01,9.945046e-01,9.847732e-01,9.999308e-01,9.982732e-01
6.363026e+02,9.583712e-01,9.940927e-01,9.822636e-01,9.999190e-01,9.979817e-01
6.880579e+02,9.576801e-01,9.936126e-01,9.793534e-01,9.999053e-01,9.976413e-01
7.440228e+02,9.568757e-01,9.930534e-01,9.759831e-01,9.998893e-01,9.972436e-01
8.045398e+02,9.559400e-01,9.924024e-01,9.720861e-01,9.998706e-01,9.967792e-01
8.699791e+02,9.548526e-01,9.916451e-01,9.675879e-01,9.998487e-01,9.962370e-01
9.407411e+02,9.535901e-01,9.907650e-01,9.624067e-01,9.998230e-01,9.956042e-01
1.017259e+03,9.521262e-01,9.897431e-01,9.564525e-01,9.997931e-01,9.948657e-01
1.100000e+03,9.504309e-01,9.885580e-01,9.496286e-01,9.997581e-01,9.940044e-01
