t_s,alpha_full,alpha_simplified
0.0000,0.500000,0.500000
0.0010,0.503268,0.503052
0.0020,0.514697,0.514164
0.0030,0.532939,0.532386
0.0040,0.553021,0.552649
0.0050,0.572469,0.572315
0.0060,0.590478,0.590560
0.0070,0.606619,0.606921
0.0080,0.620797,0.621284
0.0090,0.633079,0.633710
0.0100,0.643614,0.644350
0.0110,0.652590,0.653393
0.0120,0.660199,0.661036
0.0130,0.666625,0.667469
0.0140,0.672038,0.672869
0.0150,0.676588,0.677390
0.0160,0.680407,0.681169
0.0170,0.683609,0.684323
0.0180,0.686292,0.686954
0.0190,0.688537,0.689146
0.0200,0.690417,0.690972
0.0210,0.691989,0.692492
0.0220,0.693304,0.693756
0.0230,0.694403,0.694809
0.0240,0.695323,0.695684
0.0250,0.696091,0.696411
0.0260,0.696733,0.697017
0.0270,0.697270,0.697520
0.0280,0.697718,0.697938
0.0290,0.698093,0.698286
0.0300,0.698407,0.698575
0.0310,0.698669,0.698816
0.0320,0.698887,0.699016
0.0330,0.699070,0.699182
0.0340,0.699223,0.699320
0.0350,0.699351,0.699435
0.0360,0.699457,0.699530
0.0370,0.699547,0.699609
0.0380,0.699621,0.699675
0.0390,0.699683,0.699730
0.0400,0.699735,0.699776
0.0410,0.699779,0.699813
0.0420,0.699815,0.699845
0.0430,0.699846,0.699871
0.0440,0.699871,0.699893
0.0450,0.699892,0.699911
0.0460,0.699910,0.699926
0.0470,0.699925,0.699938
0.0480,0.699937,0.699949
0.0490,0.699947,0.699957
0.0500,0.699956,0.699965
0.0510,0.699963,0.699971
0.0520,0.699969,0.699976
0.0530,0.699974,0.699980
0.0540,0.699979,0.699983
0.0550,0.699982,0.699986
0.0560,0.699985,0.699988
0.0570,0.699988,0.699990
0.0580,0.699990,0.699992
0.0590,0.699991,0.699993
0.0600,0.699993,0.699994
0.0610,0.699994,0.699995
0.0620,0.699995,0.699996
0.0630,0.699996,0.699997
0.0640,0.699996,0.699997
0.0650,0.699997,0.699998
0.0660,0.699998,0.699998
0.0670,0.699998,0.699998
0.0680,0.699998,0.699999
0.0690,0.699999,0.699999
0.0700,0.699999,0.699999
0.0710,0.699999,0.699999
0.0720,0.699999,0.699999
0.0730,0.699999,0.700000
0.0740,0.699999,0.700000
0.0750,0.700000,0.700000
0.0760,0.700000,0.700000
0.0770,0.700000,0.700000
0.0780,0.700000,0.700000
0.0790,0.700000,0.700000
0.0800,0.700000,0.700000
0.0810,0.700000,0.700000
0.0820,0.700000,0.700000
0.0830,0.700000,0.700000
0.0840,0.700000,0.700000
0.0850,0.700000,0.700000
0.0860,0.700000,0.700000
0.0870,0.700000,0.700000
0.0880,0.700000,0.700000
0.0890,0.700000,0.700000
0.0900,0.700000,0.700000
0.0910,0.700000,0.700000
0.0920,0.700000,0.700000
0.0930,0.700000,0.700000
0.0940,0.700000,0.700000
0.0950,0.700000,0.700000
0.0960,0.700000,0.700000
0.0970,0.700000,0.700000
0.0980,0.700000,0.700000
0.0990,0.700000,0.700000
0.1000,0.700000,0.700000
0.1010,0.700000,0.700000
0.1020,0.700000,0.700000
0.1030,0.700000,0.700000
0.1040,0.700000,0.700000
0.1050,0.700000,0.700000
0.1060,0.700000,0.700000
0.1070,0.700000,0.700000
0.1080,0.700000,0.700000
0.1090,0.700000,0.700000
0.1100,0.700000,0.700000
0.1110,0.700000,0.700000
0.1120,0.700000,0.700000
0.1130,0.700000,0.700000
0.1140,0.700000,0.700000
0.1150,0.700000,0.700000
0.1160,0.700000,0.700000
