w_rad_s,S_mag,T_mag,Y_mag,invWp,invWd,invWu,L_mag,L_phase_deg
1.000000e-02,8.942329e-05,1.000000e+00,1.000000e+00,2.692582e-04,2.000000e+00,3.333333e+00,1.118277e+04,-90.022
1.018091e-02,9.104141e-05,1.000000e+00,1.000000e+00,2.734626e-04,2.000000e+00,3.333333e+00,1.098401e+04,-90.022
1.036508e-02,9.268881e-05,1.000000e+00,1.000000e+00,2.777532e-04,2.000000e+00,3.333333e+00,1.078879e+04,-90.022
1.055260e-02,9.436600e-05,1.000000e+00,1.000000e+00,2.821317e-04,2.000000e+00,3.333333e+00,1.059704e+04,-90.022
1.074350e-02,9.607354e-05,1.000000e+00,1.000000e+00,2.865994e-04,2.000000e+00,3.333333e+00,1.040869e+04,-90.021
1.093785e-02,9.781196e-05,1.000000e+00,1.000000e+00,2.911579e-04,2.000000e+00,3.333333e+00,1.022370e+04,-90.021
1.113573e-02,9.958182e-05,1.000000e+00,1.000000e+00,2.958087e-04,2.000000e+00,3.333333e+00,1.004199e+04,-90.021
1.133718e-02,1.013837e-04,1.000000e+00,1.000000e+00,3.005533e-04,2.000000e+00,3.333333e+00,9.863519e+03,-90.021
1.154228e-02,1.032182e-04,1.000000e+00,1.000000e+00,3.053933e-04,2.000000e+00,3.333333e+00,9.688217e+03,-90.020
1.175108e-02,1.050858e-04,1.000000e+00,1.000000e+00,3.103304e-04,2.000000e+00,3.333333e+00,9.516032e+03,-90.020
1.196367e-02,1.069873e-04,1.000000e+00,1.000000e+00,3.153662e-04,2.000000e+00,3.333333e+00,9.346907e+03,-90.020
1.218010e-02,1.089231e-04,1.000000e+00,1.000000e+00,3.205023e-04,2.000000e+00,3.333333e+00,9.180790e+03,-90.020
1.240044e-02,1.108939e-04,1.000000e+00,1.000000e+00,3.257405e-04,2.000000e+00,3.333333e+00,9.017625e+03,-90.019
1.262477e-02,1.129004e-04,1.000000e+00,1.000000e+00,3.310824e-04,2.000000e+00,3.333333e+00,8.857362e+03,-90.019
1.285316e-02,1.149432e-04,1.000000e+00,1.000000e+00,3.365299e-04,2.000000e+00,3.333333e+00,8.699947e+03,-90.019
1.308568e-02,1.170230e-04,1.000000e+00,1.000000e+00,3.420847e-04,2.000000e+00,3.333333e+00,8.545331e+03,-90.019
1.332241e-02,1.191403e-04,1.000000e+00,1.000000e+00,3.477487e-04,2.000000e+00,3.333333e+00,8.393463e+03,-90.019
1.356342e-02,1.212960e-04,1.000000e+00,1.000000e+00,3.535237e-04,2.000000e+00,3.333333e+00,8.244295e+03,-90.018
1.380879e-02,1.234907e-04,1.000000e+00,1.000000e+00,3.594116e-04,2.000000e+00,3.333333e+00,8.097779e+03,-90.018
1.405860e-02,1.257250e-04,1.000000e+00,1.000000e+00,3.654144e-04,2.000000e+00,3.333333e+00,7.953867e+03,-90.018
1.431293e-02,1.279998e-04,1.000000e+00,1.000000e+00,3.715340e-04,2.000000e+00,3.333333e+00,7.812513e+03,-90.018
1.457186e-02,1.303157e-04,1.000000e+00,1.000000e+00,3.777724e-04,2.000000e+00,3.333333e+00,7.673672e+03,-90.018
1.483547e-02,1.326735e-04,1.000000e+00,1.000000e+00,3.841316e-04,2.000000e+00,3.333333e+00,7.537299e+03,-90.017
1.510386e-02,1.350740e-04,1.000000e+00,1.000000e+00,3.906137e-04,2.000000e+00,3.333333e+00,7.403350e+03,-90.017
1.537710e-02,1.375179e-04,1.000000e+00,1.000000e+00,3.972209e-04,2.000000e+00,3.333333e+00,7.271783e+03,-90.017
1.565528e-02,1.400060e-04,1.000000e+00,1.000000e+00,4.039552e-04,2.000000e+00,3.333333e+00,7.142553e+03,-90.017
1.593849e-02,1.425391e-04,1.000000e+00,1.000000e+00,4.108189e-04,2.000000e+00,3.333333e+00,7.015621e+03,-90.017
1.622683e-02,1.451180e-04,1.000000e+00,1.000000e+00,4.178142e-04,2.000000e+00,3.333333e+00,6.890945e+03,-90.016
1.652038e-02,1.477435e-04,1.000000e+00,1.000000e+00,4.249433e-04,2.000000e+00,3.333333e+00,6.768485e+03,-90.016
1.681924e-02,1.504166e-04,1.000000e+00,1.000000e+00,4.322087e-04,2.000000e+00,3.333333e+00,6.648202e+03,-90.016
1.712351e-02,1.531380e-04,1.000000e+00,1.000000e+00,4.396126e-04,2.000000e+00,3.333333e+00,6.530057e+03,-90.016
1.743329e-02,1.559087e-04,1.000000e+00,1.000000e+00,4.471574e-04,2.000000e+00,3.333333e+00,6.414012e+03,-90.016
1.774867e-02,1.587294e-04,1.000000e+00,1.000000e+00,4.548456e-04,2.000000e+00,3.333333e+00,6.300029e+03,-90.016
1.806975e-02,1.616012e-04,1.000000e+00,1.000000e+00,4.626796e-04,2.000000e+00,3.333333e+00,6.188072e+03,-90.015
1.839664e-02,1.645250e-04,1.000000e+00,1.000000e+00,4.706621e-04,2.000000e+00,3.333333e+00,6.078105e+03,-90.015
1.872945e-02,1.675016e-04,1.000000e+00,1.000000e+00,4.787956e-04,2.000000e+00,3.333333e+00,5.970093e+03,-90.015
1.906828e-02,1.705321e-04,1.000000e+00,1.000000e+00,4.870826e-04,2.000000e+00,3.333333e+00,5.864001e+03,-90.015
1.941323e-02,1.736173e-04,1.000000e+00,1.000000e+00,4.955260e-04,2.000000e+00,3.333333e+00,5.759794e+03,-90.015
1.976443e-02,1.767584e-04,1.000000e+00,1.000000e+00,5.041284e-04,2.000000e+00,3.333333e+00,5.657439e+03,-90.015
2.012198e-02,1.799564e-04,1.000000e+00,1.000000e+00,5.128926e-04,2.000000e+00,3.333333e+00,5.556903e+03,-90.015
2.048600e-02,1.832121e-04,1.000000e+00,1.000000e+00,5.218215e-04,2.000000e+00,3.333333e+00,5.458154e+03,-90.014
2.085660e-02,1.865268e-04,1.000000e+00,1.000000e+00,5.309178e-04,2.000000e+00,3.333333e+00,5.361160e+03,-90.014
2.123391e-02,1.899014e-04,1.000000e+00,1.000000e+00,5.401846e-04,2.000000e+00,3.333333e+00,5.265890e+03,-90.014
2.161805e-02,1.933371e-04,1.000000e+00,1.000000e+00,5.496249e-04,2.000000e+00,3.333333e+00,5.172314e+03,-90.014
2.200913e-02,1.968349e-04,1.000000e+00,1.000000e+00,5.592416e-04,2.000000e+00,3.333333e+00,5.080400e+03,-90.014
2.240729e-02,2.003960e-04,1.000000e+00,1.000000e+00,5.690379e-04,2.000000e+00,3.333333e+00,4.990120e+03,-90.014
2.281265e-02,2.040215e-04,1.000000e+00,1.000000e+00,5.790170e-04,2.000000e+00,3.333333e+00,4.901444e+03,-90.014
2.322535e-02,2.077126e-04,1.000000e+00,1.000000e+00,5.891820e-04,2.000000e+00,3.333333e+00,4.814344e+03,-90.014
2.364551e-02,2.114705e-04,1.000000e+00,1.000000e+00,5.995362e-04,2.000000e+00,3.333333e+00,4.728793e+03,-90.013
2.407327e-02,2.152963e-04,1.000000e+00,1.000000e+00,6.100831e-04,2.000000e+00,3.333333e+00,4.644761e+03,-90.013
2.450877e-02,2.191914e-04,1.000000e+00,1.000000e+00,6.208259e-04,2.000000e+00,3.333333e+00,4.562224e+03,-90.013
2.495215e-02,2.231569e-04,1.000000e+00,1.000000e+00,6.317681e-04,2.000000e+00,3.333333e+00,4.481152e+03,-90.013
2.540355e-02,2.271941e-04,1.000000e+00,1.000000e+00,6.429133e-04,2.000000e+00,3.333333e+00,4.401522e+03,-90.013
2.586311e-02,2.313044e-04,1.000000e+00,1.000000e+00,6.542651e-04,2.000000e+00,3.333333e+00,4.323307e+03,-90.013
2.633099e-02,2.354891e-04,1.000000e+00,1.000000e+00,6.658270e-04,2.000000e+00,3.333333e+00,4.246482e+03,-90.013
2.680733e-02,2.397494e-04,1.000000e+00,1.000000e+00,6.776029e-04,2.000000e+00,3.333333e+00,4.171022e+03,-90.013
2.729229e-02,2.440868e-04,1.000000e+00,1.000000e+00,6.895965e-04,2.000000e+00,3.333333e+00,4.096903e+03,-90.013
2.778603e-02,2.485027e-04,1.000000e+00,1.000000e+00,7.018117e-04,2.000000e+00,3.333333e+00,4.024102e+03,-90.013
2.828869e-02,2.529984e-04,1.000000e+00,1.000000e+00,7.142523e-04,2.000000e+00,3.333333e+00,3.952594e+03,-90.013
2.880045e-02,2.575755e-04,1.000000e+00,1.000000e+00,7.269225e-04,2.000000e+00,3.333333e+00,3.882357e+03,-90.012
2.932147e-02,2.622354e-04,1.000000e+00,1.000000e+00,7.398263e-04,2.000000e+00,3.333333e+00,3.813368e+03,-90.012
2.985191e-02,2.669795e-04,1.000000e+00,1.000000e+00,7.529678e-04,2.000000e+00,3.333333e+00,3.745605e+03,-90.012
3.039195e-02,2.718095e-04,1.000000e+00,1.000000e+00,7.663513e-04,2.000000e+00,3.333333e+00,3.679047e+03,-90.012
3.094176e-02,2.767269e-04,1.000000e+00,1.000000e+00,7.799810e-04,2.000000e+00,3.333333e+00,3.613671e+03,-90.012
3.150152e-02,2.817332e-04,1.000000e+00,1.000000e+00,7.938615e-04,2.000000e+00,3.333333e+00,3.549457e+03,-90.012
3.207140e-02,2.868301e-04,1.000000e+00,1.000000e+00,8.079970e-04,2.000000e+00,3.333333e+00,3.486384e+03,-90.012
3.265159e-02,2.920192e-04,1.000000e+00,1.000000e+00,8.223922e-04,2.000000e+00,3.333333e+00,3.424432e+03,-90.012
3.324228e-02,2.973022e-04,1.000000e+00,1.000000e+00,8.370517e-04,2.000000e+00,3.333333e+00,3.363581e+03,-90.012
3.384365e-02,3.026807e-04,1.000000e+00,1.000000e+00,8.519803e-04,2.000000e+00,3.333333e+00,3.303811e+03,-90.012
3.445590e-02,3.081566e-04,1.000000e+00,1.000000e+00,8.671826e-04,2.000000e+00,3.333333e+00,3.245104e+03,-90.012
