t_s,r_cmd,alpha,v_bus
0.000000e+00,0.4000,0.480000,14.66672
5.100000e-06,0.4000,0.480000,14.66672
1.010000e-05,0.4000,0.480000,14.66672
1.510000e-05,0.4000,0.480000,14.66672
2.020000e-05,0.4000,0.480000,14.66672
2.530000e-05,0.4000,0.480000,14.66672
3.040000e-05,0.4000,0.480000,14.66672
3.540000e-05,0.4000,0.480000,14.66672
4.040000e-05,0.4000,0.480000,14.66672
4.540000e-05,0.4000,0.480000,14.66672
5.040000e-05,0.4000,0.480000,14.66672
5.540000e-05,0.4000,0.480000,14.66672
6.040000e-05,0.4000,0.480000,14.66672
6.540000e-05,0.4000,0.480000,14.66672
7.040000e-05,0.4000,0.480000,14.66672
7.540000e-05,0.4000,0.480000,14.66672
8.040000e-05,0.4000,0.480000,14.66672
8.540000e-05,0.4000,0.480000,14.66672
9.040000e-05,0.4000,0.480000,14.66672
9.540000e-05,0.4000,0.480000,14.66672
1.004000e-04,0.4000,0.480000,14.66672
1.054000e-04,0.4000,0.480000,14.66672
1.104000e-04,0.4000,0.480000,14.66672
1.154000e-04,0.4000,0.480000,14.66672
1.204000e-04,0.4000,0.480000,14.66672
1.254000e-04,0.4000,0.480000,14.66672
1.304000e-04,0.4000,0.480000,14.66672
1.354000e-04,0.4000,0.480000,14.66672
1.404000e-04,0.4000,0.480000,14.66672
1.454000e-04,0.4000,0.480000,14.66672
1.504000e-04,0.4000,0.480000,14.66672
1.554000e-04,0.4000,0.480000,14.66672
1.604000e-04,0.4000,0.480000,14.66672
1.654000e-04,0.4000,0.480000,14.66672
1.704000e-04,0.4000,0.480000,14.66672
1.754000e-04,0.4000,0.480000,14.66672
1.804000e-04,0.4000,0.480000,14.66672
1.854000e-04,0.4000,0.480000,14.66672
1.904000e-04,0.4000,0.480000,14.66672
1.954000e-04,0.4000,0.480000,14.66672
2.004000e-04,0.4000,0.480000,14.66672
2.054000e-04,0.4000,0.480000,14.66672
2.104000e-04,0.4000,0.480000,14.66672
2.154000e-04,0.4000,0.480000,14.66672
2.204000e-04,0.4000,0.480000,14.66672
2.254000e-04,0.4000,0.480000,14.66672
2.304000e-04,0.4000,0.480000,14.66672
2.354000e-04,0.4000,0.480000,14.66672
2.404000e-04,0.4000,0.480000,14.66672
2.454000e-04,0.4000,0.480000,14.66672
2.504000e-04,0.4000,0.480000,14.66672
2.554000e-04,0.4000,0.480000,14.66672
2.604000e-04,0.4000,0.480000,14.66672
2.654000e-04,0.4000,0.480000,14.66672
2.704000e-04,0.4000,0.480000,14.66672
2.754000e-04,0.4000,0.480000,14.66672
2.804000e-04,0.4000,0.480000,14.66672
2.854000e-04,0.4000,0.480000,14.66672
2.904000e-04,0.4000,0.480000,14.66672
2.954000e-04,0.4000,0.480000,14.66672
3.004000e-04,0.4000,0.480000,14.66672
3.054000e-04,0.4000,0.480000,14.66672
3.104000e-04,0.4000,0.480000,14.66672
3.154000e-04,0.4000,0.480000,14.66672
3.204000e-04,0.4000,0.480000,14.66672
3.254000e-04,0.4000,0.480000,14.66672
3.304000e-04,0.4000,0.480000,14.66672
3.354000e-04,0.4000,0.480000,14.66672
3.404000e-04,0.4000,0.480000,14.66672
3.454000e-04,0.4000,0.480000,14.66672
3.504000e-04,0.4000,0.480000,14.66672
3.554000e-04,0.4000,0.480000,14.66672
3.604000e-04,0.4000,0.480000,14.66672
3.654000e-04,0.4000,0.480000,14.66672
3.704000e-04,0.4000,0.480000,14.66672
3.754000e-04,0.4000,0.480000,14.66672
3.804000e-04,0.4000,0.480000,14.66672
3.854000e-04,0.4000,0.480000,14.66672
3.904000e-04,0.4000,0.480000,14.66672
3.954000e-04,0.4000,0.480000,14.66672
4.004000e-04,0.4000,0.480000,14.66672
4.054000e-04,0.4000,0.480000,14.66672
4.104000e-04,0.4000,0.480000,14.66672
4.154000e-04,0.4000,0.480000,14.66672
4.204000e-04,0.4000,0.480000,14.66672
4.254000e-04,0.4000,0.480000,14.66672
4.304000e-04,0.4000,0.480000,14.66672
4.354000e-04,0.4000,0.480000,14.66672
4.404000e-04,0.4000,0.480000,14.66672
4.454000e-04,0.4000,0.480000,14.66672
4.504000e-04,0.4000,0.480000,14.66672
4.554000e-04,0.4000,0.480000,14.66672
4.604000e-04,0.4000,0.480000,14.66672
4.654000e-04,0.4000,0.480000,14.66672
4.704000e-04,0.4000,0.480000,14.66672
4.754000e-04,0.4000,0.480000,14.66672
4.804000e-04,0.4000,0.480000,14.66672
4.854000e-04,0.4000,0.480000,14.66672
4.905000e-04,0.4000,0.480000,14.66672
4.956000e-04,0.4000,0.480000,14.66672
5.007000e-04,0.4000,0.480000,14.66672
5.058000e-04,0.4000,0.480000,14.66672
5.109000e-04,0.4000,0.480000,14.66672
5.160000e-04,0.4000,0.480000,14.66672
5.211000e-04,0.4000,0.480000,14.66672
5.262000e-04,0.4000,0.480000,14.66672
5.313000e-04,0.4000,0.480000,14.66672
