t_s,step_ref,step_alpha_youlah,step_alpha_pi,step_r_cmd,ramp_ref,ramp_alpha
0.0000,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0010,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0020,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0030,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0040,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0050,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0060,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0070,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0080,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0090,0.5,0.500000,0.500000,0.500000,0.500000,0.500000
0.0100,0.7,0.500000,0.500000,0.505835,0.500000,0.500000
0.0110,0.7,0.500282,0.509673,0.521791,0.500050,0.500000
0.0120,0.7,0.504651,0.632591,0.542354,0.500100,0.500000
0.0130,0.7,0.516892,0.669114,0.563180,0.500150,0.500001
0.0140,0.7,0.534819,0.602755,0.583270,0.500200,0.500005
0.0150,0.7,0.554775,0.557016,0.601731,0.500250,0.500014
0.0160,0.7,0.574795,0.584074,0.618181,0.500300,0.500028
0.0170,0.7,0.593705,0.622560,0.632508,0.500350,0.500047
0.0180,0.7,0.610879,0.618328,0.644769,0.500400,0.500070
0.0190,0.7,0.626049,0.592333,0.655116,0.500450,0.500098
0.0200,0.7,0.639175,0.586313,0.663750,0.500500,0.500129
0.0210,0.7,0.650350,0.600977,0.670884,0.500550,0.500164
0.0220,0.7,0.659742,0.609854,0.676731,0.500600,0.500202
0.0230,0.7,0.667550,0.603537,0.681488,0.500650,0.500242
0.0240,0.7,0.673983,0.595785,0.685336,0.500700,0.500283
0.0250,0.7,0.679241,0.597270,0.688429,0.500750,0.500327
0.0260,0.7,0.683511,0.602797,0.690904,0.500800,0.500372
0.0270,0.7,0.686956,0.603781,0.692874,0.500850,0.500418
0.0280,0.7,0.689721,0.600641,0.694436,0.500900,0.500464
0.0290,0.7,0.691929,0.599014,0.695670,0.500950,0.500512
0.0300,0.7,0.693685,0.600538,0.696641,0.501000,0.500560
0.0310,0.7,0.695075,0.602159,0.697401,0.501050,0.500608
0.0320,0.7,0.696171,0.601797,0.697996,0.501100,0.500657
0.0330,0.7,0.697033,0.600701,0.698459,0.501150,0.500706
0.0340,0.7,0.697707,0.600627,0.698818,0.501200,0.500755
0.0350,0.7,0.698233,0.601367,0.699096,0.501250,0.500805
0.0360,0.7,0.698643,0.601729,0.699311,0.501300,0.500854
0.0370,0.7,0.698960,0.601442,0.699476,0.501350,0.500904
0.0380,0.7,0.699206,0.601178,0.699603,0.501400,0.500954
0.0390,0.7,0.699395,0.601336,0.699700,0.501450,0.501003
0.0400,0.7,0.699540,0.601623,0.699774,0.501500,0.501053
0.0410,0.7,0.699652,0.601683,0.699830,0.501550,0.501103
0.0420,0.7,0.699737,0.601584,0.699873,0.501600,0.501153
0.0430,0.7,0.699802,0.601576,0.699905,0.501650,0.501203
0.0440,0.7,0.699851,0.601701,0.699929,0.501700,0.501253
0.0450,0.7,0.699889,0.601812,0.699948,0.501750,0.501303
0.0460,0.7,0.699917,0.601834,0.699961,0.501800,0.501353
0.0470,0.7,0.699938,0.601834,0.699972,0.501850,0.501403
0.0480,0.7,0.699954,0.601884,0.699979,0.501900,0.501453
0.0490,0.7,0.699966,0.601965,0.699985,0.501950,0.501503
0.0500,0.7,0.699975,0.602024,0.699989,0.502000,0.501553
0.0510,0.7,0.699982,0.602056,0.699992,0.502050,0.501603
0.0520,0.7,0.699987,0.602093,0.699994,0.502100,0.501653
0.0530,0.7,0.699991,0.602148,0.699996,0.502150,0.501703
0.0540,0.7,0.699993,0.602207,0.699997,0.502200,0.501753
0.0550,0.7,0.699995,0.602255,0.699998,0.502250,0.501803
0.0560,0.7,0.699997,0.602298,0.699999,0.502300,0.501853
0.0570,0.7,0.699998,0.602345,0.699999,0.502350,0.501903
0.0580,0.7,0.699998,0.602397,0.699999,0.502400,0.501953
0.0590,0.7,0.699999,0.602448,0.700000,0.502450,0.502003
0.0600,0.7,0.699999,0.602496,0.700000,0.502500,0.502053
0.0610,0.7,0.700000,0.602542,0.700000,0.502550,0.502103
0.0620,0.7,0.700000,0.602591,0.700000,0.502600,0.502153
0.0630,0.7,0.700000,0.602642,0.700000,0.502650,0.502203
0.0640,0.7,0.700000,0.602691,0.700000,0.502700,0.502253
0.0650,0.7,0.700000,0.602738,0.700000,0.502750,0.502303
0.0660,0.7,0.700000,0.602787,0.700000,0.502800,0.502353
0.0670,0.7,0.700000,0.602836,0.700000,0.502850,0.502403
0.0680,0.7,0.700000,0.602885,0.700000,0.502900,0.502453
0.0690,0.7,0.700000,0.602933,0.700000,0.502950,0.502503
0.0700,0.7,0.700000,0.602981,0.700000,0.503000,0.502553
0.0710,0.7,0.700000,0.603030,0.700000,0.503050,0.502603
0.0720,0.7,0.700000,0.603079,0.700000,0.503100,0.502653
0.0730,0.7,0.700000,0.603127,0.700000,0.503150,0.502703
0.0740,0.7,0.700000,0.603175,0.700000,0.503200,0.502753
0.0750,0.7,0.700000,0.603224,0.700000,0.503250,0.502803
0.0760,0.7,0.700000,0.603272,0.700000,0.503300,0.502853
0.0770,0.7,0.700000,0.603321,0.700000,0.503350,0.502903
0.0780,0.7,0.700000,0.603369,0.700000,0.503400,0.502953
0.0790,0.7,0.700000,0.603417,0.700000,0.503450,0.503003
0.0800,0.7,0.700000,0.603466,0.700000,0.503500,0.503053
0.0810,0.7,0.700000,0.603514,0.700000,0.503550,0.503103
0.0820,0.7,0.700000,0.603562,0.700000,0.503600,0.503153
0.0830,0.7,0.700000,0.603610,0.700000,0.503650,0.503203
0.0840,0.7,0.700000,0.603659,0.700000,0.503700,0.503253
0.0850,0.7,0.700000,0.603707,0.700000,0.503750,0.503303
0.0860,0.7,0.700000,0.603755,0.700000,0.503800,0.503353
0.0870,0.7,0.700000,0.603803,0.700000,0.503850,0.503403
0.0880,0.7,0.700000,0.603851,0.700000,0.503900,0.503453
0.0890,0.7,0.700000,0.603899,0.700000,0.503950,0.503503
0.0900,0.7,0.700000,0.603947,0.700000,0.504000,0.503553
0.0910,0.7,0.700000,0.603995,0.700000,0.504050,0.503603
0.0920,0.7,0.700000,0.604044,0.700000,0.504100,0.503653
0.0930,0.7,0.700000,0.604091,0.700000,0.504150,0.503703
0.0940,0.7,0.700000,0.604139,0.700000,0.504200,0.503753
0.0950,0.7,0.700000,0.604187,0.700000,0.504250,0.503803
0.0960,0.7,0.700000,0.604235,0.700000,0.504300,0.503853
