I_tot0_A,r0,dV0_V,max_cond_Gs_inband,max_G12_over_G11,cond_Gs_dc
0.5,0.3,0.0,77.049566,0.000000,21.120629
0.5,0.3,0.2,3041.365188,13.770328,27.576994
0.5,0.3,0.4,8834.587852,20.433390,51.152887
0.5,0.5,0.0,77.049566,0.000000,21.120629
0.5,0.5,0.2,6429.474601,25.136313,51.063895
0.5,0.7,-0.4,8834.587852,20.433390,51.152887
0.5,0.7,0.0,77.049566,0.000000,21.120629
2.0,0.3,-0.4,152.016877,3.599063,29.251144
2.0,0.3,0.0,77.049566,0.000000,21.120629
2.0,0.3,0.2,102.773536,1.164403,18.708812
2.0,0.3,0.4,152.890884,2.083668,16.935489
2.0,0.5,-0.4,176.313313,3.142039,21.589086
2.0,0.5,0.0,77.049566,0.000000,21.120629
2.0,0.5,0.2,101.866838,1.571020,21.237747
2.0,0.5,0.4,176.313313,3.142039,21.589086
2.0,0.7,-0.4,152.890884,2.083668,16.935489
2.0,0.7,0.0,77.049566,0.000000,21.120629
2.0,0.7,0.2,86.982272,1.522680,24.465256
2.0,0.7,0.4,152.016877,3.599063,29.251144
5.0,0.3,-0.4,70.838340,0.472713,23.651963
5.0,0.3,0.0,77.049566,0.000000,21.120629
5.0,0.3,0.2,81.584471,0.200454,20.053239
5.0,0.3,0.4,86.888499,0.381587,19.092556
5.0,0.5,-0.4,79.590945,0.502726,21.132622
5.0,0.5,0.0,77.049566,0.000000,21.120629
5.0,0.5,0.2,77.684913,0.251363,21.123627
5.0,0.5,0.4,79.590945,0.502726,21.132622
5.0,0.7,-0.4,86.888499,0.381587,19.092556
5.0,0.7,0.0,77.049566,0.000000,21.120629
5.0,0.7,0.2,73.413822,0.223041,22.312757
5.0,0.7,0.4,70.838340,0.472713,23.651963
2.0,0.85,-0.4,130.609450,1.092573,14.483722
2.0,0.85,0.0,77.049566,0.000000,21.120629
2.0,0.85,0.2,67.491902,1.045070,27.588343
2.0,0.85,0.4,89.512390,3.004575,39.829283
