I_tot0_A,r0,dV0_V,dalpha_dItot_per_A,K_share,alpha0,feasible
0.5,0.3,-0.4,1.12000000e+00,-0.066667,-0.260000,0
0.5,0.3,0.0,-0.00000000e+00,1.000000,0.300000,1
0.5,0.3,0.4,-1.12000000e+00,2.066667,0.860000,1
0.5,0.5,-0.4,1.33333333e+00,1.000000,-0.166667,0
0.5,0.5,0.0,-0.00000000e+00,1.000000,0.500000,1
0.5,0.5,0.4,-1.33333333e+00,1.000000,1.166667,0
0.5,0.7,-0.4,1.12000000e+00,2.066667,0.140000,1
0.5,0.7,0.0,-0.00000000e+00,1.000000,0.700000,1
0.5,0.7,0.4,-1.12000000e+00,-0.066667,1.260000,0
2.0,0.3,-0.4,7.00000000e-02,0.733333,0.160000,1
2.0,0.3,0.0,-0.00000000e+00,1.000000,0.300000,1
2.0,0.3,0.4,-7.00000000e-02,1.266667,0.440000,1
2.0,0.5,-0.4,8.33333333e-02,1.000000,0.333333,1
2.0,0.5,0.0,-0.00000000e+00,1.000000,0.500000,1
2.0,0.5,0.4,-8.33333333e-02,1.000000,0.666667,1
2.0,0.7,-0.4,7.00000000e-02,1.266667,0.560000,1
2.0,0.7,0.0,-0.00000000e+00,1.000000,0.700000,1
2.0,0.7,0.4,-7.00000000e-02,0.733333,0.840000,1
5.0,0.3,-0.4,1.12000000e-02,0.893333,0.244000,1
5.0,0.3,0.0,-0.00000000e+00,1.000000,0.300000,1
5.0,0.3,0.4,-1.12000000e-02,1.106667,0.356000,1
5.0,0.5,-0.4,1.33333333e-02,1.000000,0.433333,1
5.0,0.5,0.0,-0.00000000e+00,1.000000,0.500000,1
5.0,0.5,0.4,-1.33333333e-02,1.000000,0.566667,1
5.0,0.7,-0.4,1.12000000e-02,1.106667,0.644000,1
5.0,0.7,0.0,-0.00000000e+00,1.000000,0.700000,1
5.0,0.7,0.4,-1.12000000e-02,0.893333,0.756000,1
2.0,0.85,-0.4,4.25000000e-02,1.466667,0.765000,1
2.0,0.85,0.0,-0.00000000e+00,1.000000,0.850000,1
2.0,0.85,0.4,-4.25000000e-02,0.533333,0.935000,1
