w_rad_s,ratio12_nominal,cond_nominal,sigmax_nominal,sigmin_nominal,ratio12_light_load_0p5A,cond_light_load_0p5A,sigmax_light_load_0p5A,sigmin_light_load_0p5A,ratio12_fc_cruise_r0p85,cond_fc_cruise_r0p85,sigmax_fc_cruise_r0p85,sigmin_fc_cruise_r0p85
1.00000000e-02,1.57101955e+00,2.12377472e+01,1.48253749e+02,6.98067208e+00,2.51363128e+01,5.10638949e+01,2.29883833e+02,4.50188598e+00,1.04506953e+00,2.75883434e+01,1.47950883e+02,5.36280418e+00
1.02332670e-02,1.57080544e+00,2.12344040e+01,1.48230393e+02,6.98067124e+00,2.51328870e+01,5.10571322e+01,2.29850489e+02,4.50182920e+00,1.04492710e+00,2.75839957e+01,1.47927563e+02,5.36280401e+00
1.04719754e-02,1.57058134e+00,2.12309047e+01,1.48205947e+02,6.98067036e+00,2.51293014e+01,5.10500540e+01,2.29815589e+02,4.50176975e+00,1.04477802e+00,2.75794449e+01,1.47903153e+02,5.36280384e+00
1.07162520e-02,1.57034678e+00,2.12272421e+01,1.48180361e+02,6.98066945e+00,2.51255485e+01,5.10426456e+01,2.29779060e+02,4.50170749e+00,1.04462199e+00,2.75746818e+01,1.47877604e+02,5.36280365e+00
1.09662268e-02,1.57010130e+00,2.12234087e+01,1.48153581e+02,6.98066849e+00,2.51216207e+01,5.10348920e+01,2.29740829e+02,4.50164230e+00,1.04445869e+00,2.75696965e+01,1.47850864e+02,5.36280346e+00
1.12220327e-02,1.56984437e+00,2.12193967e+01,1.48125552e+02,6.98066748e+00,2.51175099e+01,5.10267773e+01,2.29700815e+02,4.50157403e+00,1.04428778e+00,2.75644788e+01,1.47822877e+02,5.36280326e+00
1.14838057e-02,1.56957548e+00,2.12151976e+01,1.48096218e+02,6.98066643e+00,2.51132077e+01,5.10182847e+01,2.29658939e+02,4.50150254e+00,1.04410891e+00,2.75590180e+01,1.47793586e+02,5.36280305e+00
1.17516850e-02,1.56929408e+00,2.12108031e+01,1.48065518e+02,6.98066532e+00,2.51087053e+01,5.10093972e+01,2.29615113e+02,4.50142769e+00,1.04392172e+00,2.75533030e+01,1.47762931e+02,5.36280283e+00
1.20258131e-02,1.56899960e+00,2.12062041e+01,1.48033389e+02,6.98066417e+00,2.51039936e+01,5.10000964e+01,2.29569248e+02,4.50134930e+00,1.04372582e+00,2.75473220e+01,1.47730850e+02,5.36280260e+00
1.23063356e-02,1.56869143e+00,2.12013913e+01,1.47999767e+02,6.98066296e+00,2.50990629e+01,5.09903636e+01,2.29521252e+02,4.50126722e+00,1.04352082e+00,2.75410630e+01,1.47697278e+02,5.36280236e+00
1.25934018e-02,1.56836895e+00,2.11963548e+01,1.47964582e+02,6.98066169e+00,2.50939032e+01,5.09801790e+01,2.29471027e+02,4.50118127e+00,1.04330630e+00,2.75345131e+01,1.47662145e+02,5.36280211e+00
1.28871644e-02,1.56803151e+00,2.11910845e+01,1.47927763e+02,6.98066037e+00,2.50885042e+01,5.09695219e+01,2.29418470e+02,4.50109127e+00,1.04308183e+00,2.75276590e+01,1.47625381e+02,5.36280185e+00
1.31877794e-02,1.56767842e+00,2.11855696e+01,1.47889237e+02,6.98065898e+00,2.50828548e+01,5.09583710e+01,2.29363477e+02,4.50099703e+00,1.04284695e+00,2.75204870e+01,1.47586911e+02,5.36280157e+00
