t_s,v_ref,alpha_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
0.0000000e+00,-2.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,-2.0719229e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,-2.0719229e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,-8.8767022e+00,4.8264227e-01
2.0000000e-03,-2.0000000e+00,0.0000000e+00,1.9369706e-05,1.0832189e-04,-8.1957936e+00,5.0003083e-01,1.9369706e-05,1.0771839e-04,-8.1957936e+00,4.9999180e-01,8.2985286e-05,-1.1079896e-02,-1.3536353e+01,4.1698506e-01
4.0000000e-03,-2.0000000e+00,0.0000000e+00,-1.0083900e-03,1.3878329e-02,-1.7062703e+01,4.9914807e-01,-1.0083900e-03,1.3857371e-02,-1.7062703e+01,4.9892380e-01,-4.5219410e-03,-2.2797327e-03,-1.7616497e+01,3.5912476e-01
6.0000000e-03,-2.0000000e+00,0.0000000e+00,-5.8926925e-03,5.9415175e-02,-2.0000000e+01,4.9314682e-01,-5.8926925e-03,5.9388245e-02,-2.0000000e+01,4.9274959e-01,-1.4465515e-02,-4.9946217e-03,-2.0000000e+01,3.1968124e-01
8.0000000e-03,-2.0000000e+00,0.0000000e+00,-1.7570258e-02,1.3123289e-01,-1.6272641e+01,4.7532028e-01,-1.7570258e-02,1.3171458e-01,-1.6272641e+01,4.7518057e-01,-2.8502611e-02,-5.4668321e-03,-2.0000000e+01,2.8211595e-01
1.0000000e-02,-2.0000000e+00,0.0000000e+00,-3.4041092e-02,1.6435961e-01,-1.6107621e+01,4.4420480e-01,-3.4041092e-02,1.6656990e-01,-1.6107621e+01,4.4485271e-01,-4.5411014e-02,-1.3326851e-02,-2.0000000e+01,2.4684189e-01
1.2000000e-02,-2.0000000e+00,0.0000000e+00,-4.9941107e-02,1.2602686e-01,-2.0000000e+01,4.1009995e-01,-4.9941107e-02,1.3084451e-01,-2.0000000e+01,4.1079085e-01,-6.3321283e-02,-3.9609228e-02,-2.0000000e+01,2.1657774e-01
1.4000000e-02,-2.0000000e+00,0.0000000e+00,-6.4694222e-02,8.3305077e-02,-2.0000000e+01,3.8393820e-01,-6.4694222e-02,8.9185491e-02,-2.0000000e+01,3.8319324e-01,-8.1369268e-02,-6.9777725e-02,-2.0000000e+01,1.9057621e-01
1.6000000e-02,-2.0000000e+00,0.0000000e+00,-8.1311158e-02,7.8637641e-02,-1.6562613e+01,3.6455687e-01,-8.1311158e-02,8.2665581e-02,-1.6562613e+01,3.6231135e-01,-9.9430457e-02,-9.6996870e-02,-2.0000000e+01,1.6966772e-01
1.8000000e-02,-2.0000000e+00,0.0000000e+00,-9.9199206e-02,6.8836582e-02,-1.7243438e+01,3.4711203e-01,-9.9199206e-02,7.0303470e-02,-1.7243438e+01,3.4439336e-01,-1.1748964e-01,-1.1961403e-01,-2.0000000e+01,1.5376500e-01
2.0000000e-02,-2.0000000e+00,0.0000000e+00,-1.1542691e-01,3.0934939e-02,-2.0000000e+01,3.3394314e-01,-1.1542691e-01,3.1155279e-02,-2.0000000e+01,3.3105142e-01,-1.3554474e-01,-1.3725015e-01,-2.0000000e+01,1.5000000e-01
2.2000000e-02,-2.0000000e+00,0.0000000e+00,-1.3088905e-01,1.1728718e-02,-2.0000000e+01,3.2768815e-01,-1.3088905e-01,1.1086491e-02,-2.0000000e+01,3.2434080e-01,-1.5359549e-01,-1.4514245e-01,-2.0000000e+01,1.5000000e-01
2.4000000e-02,-2.0000000e+00,0.0000000e+00,-1.4787744e-01,2.2106042e-02,-1.9913006e+01,3.2391540e-01,-1.4787744e-01,2.0086737e-02,-1.9913006e+01,3.2061168e-01,-1.7164184e-01,-1.4665539e-01,-2.0000000e+01,1.5000000e-01
2.6000000e-02,-2.0000000e+00,0.0000000e+00,-1.6577435e-01,2.6073310e-02,-2.0000000e+01,3.1871800e-01,-1.6577435e-01,2.3406704e-02,-2.0000000e+01,3.1610313e-01,-1.8968379e-01,-1.4669872e-01,-2.0000000e+01,1.5000000e-01
2.8000000e-02,-2.0000000e+00,0.0000000e+00,-1.8375273e-01,2.2229040e-02,-1.9613226e+01,3.1312327e-01,-1.8375273e-01,2.0149966e-02,-1.9613226e+01,3.1111999e-01,-2.0772134e-01,-1.4662437e-01,-2.0000000e+01,1.5118218e-01
3.0000000e-02,-2.0000000e+00,0.0000000e+00,-2.0176445e-01,1.7317760e-02,-2.0000000e+01,3.0834532e-01,-2.0176445e-01,1.5951539e-02,-2.0000000e+01,3.0678213e-01,-2.2575450e-01,-1.4575432e-01,-2.0000000e+01,1.5471182e-01
3.2000000e-02,-2.0000000e+00,0.0000000e+00,-2.1958840e-01,1.0216127e-02,-2.0000000e+01,3.0482562e-01,-2.1958840e-01,9.2483094e-03,-2.0000000e+01,3.0355595e-01,-2.4378326e-01,-1.4295811e-01,-2.0000000e+01,1.5934054e-01
3.4000000e-02,-2.0000000e+00,0.0000000e+00,-2.3749200e-01,7.9385285e-03,-2.0000000e+01,3.0253829e-01,-2.3749200e-01,7.1400522e-03,-2.0000000e+01,3.0142108e-01,-2.6180762e-01,-1.3867819e-01,-2.0000000e+01,1.6568421e-01
3.6000000e-02,-2.0000000e+00,0.0000000e+00,-2.5549934e-01,6.4054043e-03,-2.0000000e+01,3.0078927e-01,-2.5549934e-01,5.6148459e-03,-2.0000000e+01,2.9986973e-01,-2.7982759e-01,-1.3285911e-01,-2.0000000e+01,1.7253008e-01
3.8000000e-02,-2.0000000e+00,0.0000000e+00,-2.7351860e-01,4.8109416e-03,-2.0000000e+01,2.9941303e-01,-2.7351860e-01,4.1056253e-03,-2.0000000e+01,2.9866372e-01,-2.9784316e-01,-1.2614542e-01,-2.0000000e+01,1.8051999e-01
4.0000000e-02,-2.0000000e+00,0.0000000e+00,-2.9153541e-01,3.4671521e-03,-2.0000000e+01,2.9838382e-01,-2.9153541e-01,2.8789232e-03,-2.0000000e+01,2.9778513e-01,-3.1585434e-01,-1.1847152e-01,-2.0000000e+01,1.8854188e-01
4.2000000e-02,-2.0000000e+00,0.0000000e+00,-3.0954809e-01,2.4539822e-03,-2.0000000e+01,2.9764161e-01,-3.0954809e-01,1.9688226e-03,-2.0000000e+01,2.9716611e-01,-3.3386114e-01,-1.1040761e-01,-2.0000000e+01,1.9724656e-01
4.4000000e-02,-2.0000000e+00,0.0000000e+00,-3.2755641e-01,1.7369058e-03,-2.0000000e+01,2.9711502e-01,-3.2755641e-01,1.3385340e-03,-2.0000000e+01,2.9674228e-01,-3.5186354e-01,-1.0185049e-01,-2.0000000e+01,2.0565087e-01
4.6000000e-02,-2.0000000e+00,0.0000000e+00,-3.4556035e-01,1.2497226e-03,-2.0000000e+01,2.9674086e-01,-3.4556035e-01,9.2637975e-04,-2.0000000e+01,2.9645221e-01,-3.6986155e-01,-9.3279360e-02,-2.0000000e+01,2.1439841e-01
