t_s,v_ref,v,i_cmd,regen_v_ref,regen_v,regen_i_cmd
0.0000,0.000000,0.000000,0.000000,0.000000,2.000000,-3.409483
0.0020,0.000000,0.000000,0.000000,0.000000,1.999965,-12.000000
0.0040,0.000000,0.000000,0.000000,0.000000,1.999988,-12.000000
0.0060,0.000000,0.000000,0.000000,0.000000,1.999878,-2.228327
0.0080,0.000000,0.000000,0.000000,0.000000,1.997796,-0.589091
0.0100,0.000000,0.000000,0.000000,0.000000,1.993050,-10.448278
0.0120,0.000000,0.000000,0.000000,0.000000,1.988940,-12.000000
0.0140,0.000000,0.000000,0.000000,0.000000,1.987698,-0.636805
0.0160,0.000000,0.000000,0.000000,0.000000,1.986252,3.123263
0.0180,0.000000,0.000000,0.000000,0.000000,1.982017,-5.760073
0.0200,2.000000,0.000000,3.409483,0.000000,1.978169,-12.000000
0.0220,2.000000,0.000035,12.000000,0.000000,1.977667,-11.083125
0.0240,2.000000,0.000012,12.000000,0.000000,1.977796,-12.000000
0.0260,2.000000,0.000122,2.228327,0.000000,1.975236,-12.000000
0.0280,2.000000,0.002204,0.589091,0.000000,1.970800,-11.734012
0.0300,2.000000,0.006950,10.448278,0.000000,1.965925,-12.000000
0.0320,2.000000,0.011060,12.000000,0.000000,1.960824,-11.766976
0.0340,2.000000,0.012302,0.636805,0.000000,1.955718,-12.000000
0.0360,2.000000,0.013748,-3.123263,0.000000,1.950617,-12.000000
0.0380,2.000000,0.017983,5.760073,0.000000,1.945517,-12.000000
0.0400,2.000000,0.021831,12.000000,0.000000,1.940423,-12.000000
0.0420,2.000000,0.022333,11.083125,0.000000,1.935290,-12.000000
0.0440,2.000000,0.022204,12.000000,0.000000,1.930144,-12.000000
0.0460,2.000000,0.024764,12.000000,0.000000,1.924997,-12.000000
0.0480,2.000000,0.029200,11.734012,0.000000,1.919852,-12.000000
0.0500,2.000000,0.034075,12.000000,0.000000,1.914708,-12.000000
0.0520,2.000000,0.039176,11.766976,0.000000,1.909566,-12.000000
0.0540,2.000000,0.044282,12.000000,0.000000,1.904426,-12.000000
0.0560,2.000000,0.049383,12.000000,0.000000,1.899287,-12.000000
0.0580,2.000000,0.054483,12.000000,0.000000,1.894150,-12.000000
0.0600,2.000000,0.059577,12.000000,0.000000,1.889014,-12.000000
0.0620,2.000000,0.064710,12.000000,0.000000,1.883880,-12.000000
0.0640,2.000000,0.069856,12.000000,0.000000,1.878747,-12.000000
0.0660,2.000000,0.075003,12.000000,0.000000,1.873616,-12.000000
0.0680,2.000000,0.080148,12.000000,0.000000,1.868486,-12.000000
0.0700,2.000000,0.085292,12.000000,0.000000,1.863358,-12.000000
0.0720,2.000000,0.090434,12.000000,0.000000,1.858232,-12.000000
0.0740,2.000000,0.095574,12.000000,0.000000,1.853107,-12.000000
0.0760,2.000000,0.100713,12.000000,0.000000,1.847984,-12.000000
0.0780,2.000000,0.105850,12.000000,0.000000,1.842862,-12.000000
0.0800,2.000000,0.110986,12.000000,0.000000,1.837742,-12.000000
0.0820,2.000000,0.116120,12.000000,0.000000,1.832624,-12.000000
0.0840,2.000000,0.121253,12.000000,0.000000,1.827507,-12.000000
0.0860,2.000000,0.126384,12.000000,0.000000,1.822391,-12.000000
0.0880,2.000000,0.131514,12.000000,0.000000,1.817277,-12.000000
0.0900,2.000000,0.136642,12.000000,0.000000,1.812165,-12.000000
0.0920,2.000000,0.141768,12.000000,0.000000,1.807054,-12.000000
0.0940,2.000000,0.146893,12.000000,0.000000,1.801945,-12.000000
0.0960,2.000000,0.152016,12.000000,0.000000,1.796838,-12.000000
0.0980,2.000000,0.157138,12.000000,0.000000,1.791732,-12.000000
0.1000,2.000000,0.162258,12.000000,0.000000,1.786627,-12.000000
0.1020,2.000000,0.167376,12.000000,0.000000,1.781524,-12.000000
0.1040,2.000000,0.172493,12.000000,0.000000,1.776423,-12.000000
0.1060,2.000000,0.177609,12.000000,0.000000,1.771323,-12.000000
0.1080,2.000000,0.182723,12.000000,0.000000,1.766225,-12.000000
0.1100,2.000000,0.187835,12.000000,0.000000,1.761128,-12.000000
0.1120,2.000000,0.192946,12.000000,0.000000,1.756033,-12.000000
0.1140,2.000000,0.198055,12.000000,0.000000,1.750939,-12.000000
0.1160,2.000000,0.203162,12.000000,0.000000,1.745847,-12.000000
0.1180,2.000000,0.208268,12.000000,0.000000,1.740756,-12.000000
0.1200,2.000000,0.213373,12.000000,0.000000,1.735668,-12.000000
0.1220,2.000000,0.218476,12.000000,0.000000,1.730580,-12.000000
0.1240,2.000000,0.223577,12.000000,0.000000,1.725494,-12.000000
0.1260,2.000000,0.228677,12.000000,0.000000,1.720410,-12.000000
0.1280,2.000000,0.233775,12.000000,0.000000,1.715327,-12.000000
0.1300,2.000000,0.238872,12.000000,0.000000,1.710246,-12.000000
0.1320,2.000000,0.243967,12.000000,0.000000,1.705166,-12.000000
0.1340,2.000000,0.249061,12.000000,0.000000,1.700088,-12.000000
