t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
5.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
1.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
1.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
2.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
2.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
3.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
3.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
4.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
4.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,8.5000000e-01
5.0000000e-02,5.0000000e-01,0.0000000e+00,0.0000000e+00,5.1798073e-01,8.5000000e-01,0.0000000e+00,0.0000000e+00,5.1798073e-01,8.5000000e-01,0.0000000e+00,0.0000000e+00,2.2191756e+00,8.5000000e-01
5.5000000e-02,5.0000000e-01,7.4406314e-04,-4.5870303e-03,4.2656758e+00,8.5000000e-01,7.4406314e-04,-4.5862212e-03,4.2656758e+00,8.5000000e-01,2.2568519e-03,-1.1484676e-02,4.4046020e+00,8.5000000e-01
6.0000000e-02,5.0000000e-01,9.3508941e-03,-2.9367960e-02,1.1279293e+01,8.5000000e-01,9.3508941e-03,-2.9367959e-02,1.1279293e+01,8.5000000e-01,1.1542595e-02,-2.5626097e-02,7.0479907e+00,8.5000000e-01
6.5000000e-02,5.0000000e-01,3.1022713e-02,-5.9220771e-02,1.4940083e+01,8.5000000e-01,3.1022713e-02,-5.9220771e-02,1.4940083e+01,8.5000000e-01,2.6057045e-02,-3.6733839e-02,8.4071277e+00,8.5000000e-01
7.0000000e-02,5.0000000e-01,6.3582221e-02,-8.1398880e-02,1.8539812e+01,8.5000000e-01,6.3582221e-02,-8.1398880e-02,1.8539812e+01,8.5000000e-01,4.4588303e-02,-4.5098506e-02,9.9241743e+00,8.5000000e-01
7.5000000e-02,5.0000000e-01,1.0365806e-01,-9.6163990e-02,1.9874932e+01,8.5000000e-01,1.0365806e-01,-9.6163990e-02,1.9874932e+01,8.5000000e-01,6.6213212e-02,-5.1597467e-02,1.0655844e+01,8.5000000e-01
8.0000000e-02,5.0000000e-01,1.4790918e-01,-1.0309997e-01,1.9465376e+01,8.5000000e-01,1.4790918e-01,-1.0309997e-01,1.9465376e+01,8.5000000e-01,9.0042035e-02,-5.6106205e-02,1.1398752e+01,8.5000000e-01
8.5000000e-02,5.0000000e-01,1.9223367e-01,-1.0100630e-01,1.9323753e+01,8.5000000e-01,1.9223367e-01,-1.0100630e-01,1.9323753e+01,8.5000000e-01,1.1536760e-01,-5.9111195e-02,1.1668958e+01,8.5000000e-01
9.0000000e-02,5.0000000e-01,2.3582478e-01,-1.0011711e-01,1.9009426e+01,8.5000000e-01,2.3582478e-01,-1.0011711e-01,1.9009426e+01,8.5000000e-01,1.4155318e-01,-6.0721252e-02,1.1792719e+01,8.5000000e-01
9.5000000e-02,5.0000000e-01,2.7886022e-01,-9.8597406e-02,1.8538724e+01,8.5000000e-01,2.7886022e-01,-9.8597406e-02,1.8538724e+01,8.5000000e-01,1.6808931e-01,-6.1268583e-02,1.1738410e+01,8.5000000e-01
1.0000000e-01,5.0000000e-01,3.2070640e-01,-9.5502585e-02,1.7477171e+01,8.5000000e-01,3.2070640e-01,-9.5502585e-02,1.7477171e+01,8.5000000e-01,1.9454240e-01,-6.0903126e-02,1.1493354e+01,8.5000000e-01
1.0500000e-01,5.0000000e-01,3.6064030e-01,-9.0776568e-02,1.6595588e+01,8.5000000e-01,3.6064030e-01,-9.0776568e-02,1.6595588e+01,8.5000000e-01,2.2054726e-01,-5.9713524e-02,1.1222093e+01,8.5000000e-01
1.1000000e-01,5.0000000e-01,3.9817724e-01,-8.5182151e-02,1.5113122e+01,8.5000000e-01,3.9817724e-01,-8.5182151e-02,1.5113122e+01,8.5000000e-01,2.4582948e-01,-5.7974175e-02,1.0688540e+01,8.5000000e-01
1.1500000e-01,5.0000000e-01,4.3293243e-01,-7.8717290e-02,1.4064848e+01,8.5000000e-01,4.3293243e-01,-7.8717290e-02,1.4064848e+01,8.5000000e-01,2.7015399e-01,-5.5719842e-02,1.0285279e+01,8.5000000e-01
1.2000000e-01,5.0000000e-01,4.6476239e-01,-7.2125677e-02,1.2462948e+01,8.5000000e-01,4.6476239e-01,-7.2125677e-02,1.2462948e+01,8.5000000e-01,2.9336768e-01,-5.3196916e-02,9.6328635e+00,8.5000000e-01
1.2500000e-01,5.0000000e-01,4.9353990e-01,-6.5191376e-02,1.1401214e+01,8.5000000e-01,4.9353990e-01,-6.5191376e-02,1.1401214e+01,8.5000000e-01,3.1532198e-01,-5.0294261e-02,9.1603780e+00,8.5000000e-01
1.3000000e-01,5.0000000e-01,5.1932107e-01,-5.8539759e-02,9.8498773e+00,8.5000000e-01,5.1932107e-01,-5.8539759e-02,9.8498773e+00,8.5000000e-01,3.3595354e-01,-4.7318822e-02,8.4152577e+00,8.5000000e-01
1.3500000e-01,5.0000000e-01,5.4212399e-01,-5.1847391e-02,8.8562480e+00,8.5000000e-01,5.4212399e-01,-5.1847391e-02,8.8562480e+00,8.5000000e-01,3.5519213e-01,-4.4167474e-02,7.9206491e+00,8.5000000e-01
1.4000000e-01,5.0000000e-01,5.6210581e-01,-4.5633658e-02,7.4419837e+00,8.5000000e-01,5.6210581e-01,-4.5633658e-02,7.4419837e+00,8.5000000e-01,3.7303812e-01,-4.1086309e-02,7.1935057e+00,8.5000000e-01
1.4500000e-01,5.0000000e-01,5.7936070e-01,-3.9543876e-02,6.5556581e+00,8.5000000e-01,5.7936070e-01,-3.9543876e-02,6.5556581e+00,8.5000000e-01,3.8946613e-01,-3.7888539e-02,6.7085464e+00,8.5000000e-01
1.5000000e-01,5.0000000e-01,5.9408966e-01,-3.4006462e-02,5.3166986e+00,8.5000000e-01,5.9408966e-01,-3.4006462e-02,5.3166986e+00,8.5000000e-01,4.0451958e-01,-3.4847250e-02,5.9905802e+00,8.5000000e-01
1.5500000e-01,5.0000000e-01,6.0642275e-01,-2.8677307e-02,4.5526294e+00,8.5000000e-01,6.0642275e-01,-2.8677307e-02,4.5526294e+00,8.5000000e-01,4.1821549e-01,-3.1816859e-02,5.5372990e+00,8.5000000e-01
1.6000000e-01,5.0000000e-01,6.1657246e-01,-2.3906140e-02,3.4997549e+00,8.5000000e-01,6.1657246e-01,-2.3906140e-02,3.4997549e+00,8.5000000e-01,4.3062411e-01,-2.8999443e-02,4.8993286e+00,8.5000000e-01
1.6500000e-01,5.0000000e-01,6.2468166e-01,-1.9380439e-02,2.8592089e+00,8.5000000e-01,6.2468166e-01,-1.9380439e-02,2.8592089e+00,8.5000000e-01,4.4178004e-01,-2.6202189e-02,4.4899797e+00,8.5000000e-01
1.7000000e-01,5.0000000e-01,6.3095648e-01,-1.5381608e-02,1.9878616e+00,8.5000000e-01,6.3095648e-01,-1.5381608e-02,1.9878616e+00,8.5000000e-01,4.5176811e-01,-2.3639425e-02,3.9035402e+00,8.5000000e-01
1.7500000e-01,5.0000000e-01,6.3553937e-01,-1.1637829e-02,1.4645750e+00,8.5000000e-01,6.3553937e-01,-1.1637829e-02,1.4645750e+00,8.5000000e-01,4.6064256e-01,-2.1173331e-02,3.5451014e+00,8.5000000e-01
