t,alpha,v,r_cmd,i_cmd
0.000000000e+00,0.000000000e+00,0.000000000e+00,4.826422732e-01,-8.876702213e+00
2.000000000e-02,-1.372501527e-01,-1.355447403e-01,1.500000000e-01,-2.000000000e+01
4.000000000e-02,-1.184715217e-01,-3.158543449e-01,1.885418839e-01,-2.000000000e+01
6.000000000e-02,-3.744689999e-02,-4.957248193e-01,2.665949666e-01,-2.000000000e+01
8.000000000e-02,1.195328401e-02,-6.751572247e-01,3.105261850e-01,-2.000000000e+01
1.000000000e-01,3.473971643e-02,-8.541526283e-01,3.300821839e-01,-2.000000000e+01
1.200000000e-01,4.489182583e-02,-1.032716802e+00,3.383719368e-01,-1.890255827e+01
1.400000000e-01,8.617901831e-03,-1.186129784e+00,3.582008504e-01,-1.348818035e+01
1.600000000e-01,-4.016666672e-04,-1.292044120e+00,3.990369779e-01,-8.850238537e+00
1.800000000e-01,-1.067776904e-03,-1.358806614e+00,4.350907479e-01,-5.344901517e+00
2.000000000e-01,-9.875359824e-04,-1.396804806e+00,4.604422498e-01,-2.942740033e+00
2.200000000e-01,-9.308554764e-04,-1.415586398e+00,4.764398927e-01,-1.445398822e+00
2.400000000e-01,-8.901415774e-04,-1.422716635e+00,4.855073321e-01,-6.109640868e-01
2.600000000e-01,-8.561929165e-04,-1.423590788e+00,4.899056480e-01,-2.182230879e-01
2.800000000e-01,-8.293982199e-04,-1.421712346e+00,4.914417249e-01,-9.245442206e-02
3.000000000e-01,-8.096667333e-04,-1.419136633e+00,4.914169794e-01,-1.093788570e-01
3.200000000e-01,-7.958493844e-04,-1.416915405e+00,4.906852894e-01,-1.885046294e-01
3.400000000e-01,-7.864606983e-04,-1.415467385e+00,4.897537637e-01,-2.827604479e-01
3.600000000e-01,-7.801147231e-04,-1.414853003e+00,4.888866914e-01,-3.681761317e-01
3.800000000e-01,-7.757007931e-04,-1.414959479e+00,4.881935518e-01,-4.353142600e-01
4.000000000e-01,-7.724161014e-04,-1.415614101e+00,4.876950166e-01,-4.829346968e-01
4.200000000e-01,-7.697292473e-04,-1.416645819e+00,4.873678741e-01,-5.137371308e-01
4.400000000e-01,-7.673185788e-04,-1.417913007e+00,4.871728296e-01,-5.317629129e-01
4.600000000e-01,-7.650093400e-04,-1.419311166e+00,4.870698542e-01,-5.409875455e-01
4.800000000e-01,-7.627207578e-04,-1.420770210e+00,4.870252941e-01,-5.446909869e-01
5.000000000e-01,-7.604264809e-04,-1.422247460e+00,4.870140376e-01,-5.452875184e-01
5.200000000e-01,-7.581276906e-04,-1.423719868e+00,4.870190703e-01,-5.443933057e-01
5.400000000e-01,-7.558364569e-04,-1.425177182e+00,4.870299148e-01,-5.429908356e-01
5.600000000e-01,-7.535665190e-04,-1.426616698e+00,4.870408259e-01,-5.416098981e-01
5.800000000e-01,-7.513289686e-04,-1.428039596e+00,4.870491756e-01,-5.404857767e-01
6.000000000e-01,-7.491308672e-04,-1.429448634e+00,4.870541953e-01,-5.396805626e-01
6.200000000e-01,-7.469754140e-04,-1.430846821e+00,4.870560923e-01,-5.391673589e-01
6.400000000e-01,-7.448627752e-04,-1.432236785e+00,4.870554834e-01,-5.388834888e-01
6.600000000e-01,-7.427910629e-04,-1.433620533e+00,4.870530691e-01,-5.387606815e-01
6.800000000e-01,-7.407572053e-04,-1.434999461e+00,4.870494705e-01,-5.387397263e-01
7.000000000e-01,-7.387576129e-04,-1.436374453e+00,4.870451691e-01,-5.387756025e-01
7.200000000e-01,-7.367886296e-04,-1.437746010e+00,4.870405021e-01,-5.388374189e-01
7.400000000e-01,-7.348468040e-04,-1.439114380e+00,4.870356849e-01,-5.389060024e-01
7.600000000e-01,-7.329290255e-04,-1.440479653e+00,4.870308413e-01,-5.389708227e-01
7.800000000e-01,-7.310325706e-04,-1.441841835e+00,4.870260330e-01,-5.390271323e-01
8.000000000e-01,-7.291550956e-04,-1.443200894e+00,4.870212832e-01,-5.390736851e-01
8.200000000e-01,-7.272946007e-04,-1.444556786e+00,4.870165937e-01,-5.391111016e-01
8.400000000e-01,-7.254493842e-04,-1.445909472e+00,4.870119565e-01,-5.391408046e-01
8.600000000e-01,-7.236179955e-04,-1.447258922e+00,4.870073603e-01,-5.391643924e-01
8.800000000e-01,-7.217991931e-04,-1.448605116e+00,4.870027946e-01,-5.391833187e-01
9.000000000e-01,-7.199919085e-04,-1.449948046e+00,4.869982508e-01,-5.391987651e-01
9.200000000e-01,-7.181952172e-04,-1.451287709e+00,4.869937228e-01,-5.392116244e-01
9.400000000e-01,-7.164083154e-04,-1.452624107e+00,4.869892068e-01,-5.392225369e-01
9.600000000e-01,-7.146305018e-04,-1.453957246e+00,4.869847003e-01,-5.392319459e-01
9.800000000e-01,-7.128611621e-04,-1.455287135e+00,4.869802024e-01,-5.392401527e-01
1.000000000e+00,-7.110997579e-04,-1.456613780e+00,4.869757128e-01,-5.392473625e-01
1.020000000e+00,-7.093458163e-04,-1.457937192e+00,4.869712316e-01,-5.392537193e-01
1.040000000e+00,-7.075989218e-04,-1.459257378e+00,4.869667590e-01,-5.392593299e-01
1.060000000e+00,-7.058587092e-04,-1.460574348e+00,4.869622954e-01,-5.392642787e-01
1.080000000e+00,-7.041248575e-04,-1.461888110e+00,4.869578411e-01,-5.392686372e-01
1.100000000e+00,-7.023970844e-04,-1.463198672e+00,4.869533965e-01,-5.392724691e-01
1.120000000e+00,-7.006751418e-04,-1.464506042e+00,4.869489616e-01,-5.392758318e-01
1.140000000e+00,-6.989588112e-04,-1.465810227e+00,4.869445368e-01,-5.392787784e-01
1.160000000e+00,-6.972479004e-04,-1.467111237e+00,4.869401221e-01,-5.392813571e-01
1.180000000e+00,-6.955422401e-04,-1.468409077e+00,4.869357176e-01,-5.392836119e-01
1.200000000e+00,-6.938416812e-04,-1.469703757e+00,4.869313233e-01,-5.392855823e-01
1.220000000e+00,-6.921460920e-04,-1.470995284e+00,4.869269394e-01,-5.392873037e-01
1.240000000e+00,-6.904553560e-04,-1.472283665e+00,4.869225657e-01,-5.392888073e-01
1.260000000e+00,-6.887693705e-04,-1.473568909e+00,4.869182024e-01,-5.392901206e-01
1.280000000e+00,-6.870880442e-04,-1.474851022e+00,4.869138495e-01,-5.392912677e-01
1.300000000e+00,-6.854112961e-04,-1.476130012e+00,4.869095069e-01,-5.392922699e-01
1.320000000e+00,-6.837390542e-04,-1.477405888e+00,4.869051747e-01,-5.392931454e-01
1.340000000e+00,-6.820712545e-04,-1.478678656e+00,4.869008529e-01,-5.392939104e-01
1.360000000e+00,-6.804078396e-04,-1.479948325e+00,4.868965414e-01,-5.392945788e-01
1.380000000e+00,-6.787487582e-04,-1.481214901e+00,4.868922402e-01,-5.392951629e-01
1.400000000e+00,-6.770939642e-04,-1.482478393e+00,4.868879495e-01,-5.392956732e-01
1.420000000e+00,-6.754434161e-04,-1.483738807e+00,4.868836690e-01,-5.392961191e-01
1.440000000e+00,-6.737970764e-04,-1.484996151e+00,4.868793989e-01,-5.392965086e-01
1.460000000e+00,-6.721549112e-04,-1.486250434e+00,4.868751391e-01,-5.392968490e-01
1.480000000e+00,-6.705168896e-04,-1.487501661e+00,4.868708896e-01,-5.392971463e-01
1.500000000e+00,-6.688829833e-04,-1.488749841e+00,4.868666504e-01,-5.392974059e-01
