w,K11_mag,K12_mag,K21_mag,K22_mag,K11_ph,K22_ph
1.000000000e-01,7.992466636e+01,1.716710543e+00,9.927602551e-04,1.334540305e+00,-9.001935052e+01,-5.077005327e+01
1.029274772e-01,7.765143781e+01,1.671903511e+00,9.754946089e-04,1.311980136e+00,-9.001991700e+01,-4.996098629e+01
1.059406557e-01,7.544286472e+01,1.628478346e+00,9.589119582e-04,1.290323187e+00,-9.002050006e+01,-4.914808599e+01
1.090420443e-01,7.329710815e+01,1.586398052e+00,9.429916760e-04,1.269541742e+00,-9.002110020e+01,-4.833200320e+01
1.122342253e-01,7.121238147e+01,1.545626688e+00,9.277135000e-04,1.249608574e+00,-9.002171790e+01,-4.751340222e+01
1.155198567e-01,6.918694886e+01,1.506129335e+00,9.130575253e-04,1.230496935e+00,-9.002235369e+01,-4.669295826e+01
1.189016742e-01,6.721912386e+01,1.467872059e+00,8.990041987e-04,1.212180554e+00,-9.002300809e+01,-4.587135468e+01
1.223824937e-01,6.530726800e+01,1.430821887e+00,8.855343136e-04,1.194633630e+00,-9.002368165e+01,-4.504928030e+01
1.259652133e-01,6.344978938e+01,1.394946763e+00,8.726290069e-04,1.177830830e+00,-9.002437492e+01,-4.422742651e+01
1.296528163e-01,6.164514141e+01,1.360215528e+00,8.602697565e-04,1.161747290e+00,-9.002508849e+01,-4.340648444e+01
1.334483730e-01,5.989182147e+01,1.326597880e+00,8.484383802e-04,1.146358608e+00,-9.002582295e+01,-4.258714210e+01
1.373550437e-01,5.818836968e+01,1.294064348e+00,8.371170355e-04,1.131640855e+00,-9.002657891e+01,-4.177008157e+01
1.413760814e-01,5.653336768e+01,1.262586262e+00,8.262882204e-04,1.117570568e+00,-9.002735700e+01,-4.095597626e+01
1.455148340e-01,5.492543745e+01,1.232135721e+00,8.159347747e-04,1.104124761e+00,-9.002815787e+01,-4.014548820e+01
1.497747476e-01,5.336324018e+01,1.202685570e+00,8.060398819e-04,1.091280922e+00,-9.002898219e+01,-3.933926552e+01
1.541593693e-01,5.184547512e+01,1.174209365e+00,7.965870720e-04,1.079017020e+00,-9.002983063e+01,-3.853794001e+01
1.586723497e-01,5.037087852e+01,1.146681349e+00,7.875602240e-04,1.067311510e+00,-9.003070392e+01,-3.774212489e+01
1.633174467e-01,4.893822258e+01,1.120076427e+00,7.789435695e-04,1.056143337e+00,-9.003160277e+01,-3.695241270e+01
1.680985277e-01,4.754631442e+01,1.094370135e+00,7.707216958e-04,1.045491938e+00,-9.003252793e+01,-3.616937339e+01
1.730195739e-01,4.619399508e+01,1.069538617e+00,7.628795489e-04,1.035337251e+00,-9.003348018e+01,-3.539355270e+01
1.780846825e-01,4.488013857e+01,1.045558602e+00,7.554024371e-04,1.025659715e+00,-9.003446031e+01,-3.462547059e+01
1.832980711e-01,4.360365093e+01,1.022407375e+00,7.482760335e-04,1.016440275e+00,-9.003546912e+01,-3.386562006e+01
1.886640804e-01,4.236346930e+01,1.000062756e+00,7.414863789e-04,1.007660384e+00,-9.003650747e+01,-3.311446606e+01
1.941871784e-01,4.115856107e+01,9.785030800e-01,7.350198842e-04,9.993020071e-01,-9.003757622e+01,-3.237244470e+01
1.998719639e-01,3.998792298e+01,9.577071687e-01,7.288633316e-04,9.913476219e-01,-9.003867626e+01,-3.163996263e+01
2.057231701e-01,3.885058031e+01,9.376543146e-01,7.230038765e-04,9.837802189e-01,-9.003980849e+01,-3.091739666e+01
2.117456691e-01,3.774558608e+01,9.183242585e-01,7.174290479e-04,9.765833020e-01,-9.004097388e+01,-3.020509354e+01
2.179444754e-01,3.667202022e+01,8.996971706e-01,7.121267483e-04,9.697408872e-01,-9.004217338e+01,-2.950337000e+01
2.243247503e-01,3.562898884e+01,8.817536325e-01,7.070852532e-04,9.632375008e-01,-9.004340799e+01,-2.881251292e+01
2.308918063e-01,3.461562347e+01,8.644746195e-01,7.022932102e-04,9.570581762e-01,-9.004467875e+01,-2.813277966e+01
2.376511114e-01,3.363108036e+01,8.478414844e-01,6.977396365e-04,9.511884507e-01,-9.004598671e+01,-2.746439857e+01
2.446082936e-01,3.267453973e+01,8.318359428e-01,6.934139168e-04,9.456143602e-01,-9.004733296e+01,-2.680756964e+01
2.517691457e-01,3.174520514e+01,8.164400585e-01,6.893057996e-04,9.403224341e-01,-9.004871863e+01,-2.616246525e+01
