w,rga11_re,rga11_im,rga11_mag
1.000000000e-01,1.000000000e+00,-1.427120989e-20,1.000000000e+00
1.029274772e-01,1.000000000e+00,-8.118992213e-21,1.000000000e+00
1.059406557e-01,1.000000000e+00,1.160373441e-20,1.000000000e+00
1.090420443e-01,1.000000000e+00,-8.977947883e-21,1.000000000e+00
1.122342253e-01,1.000000000e+00,-5.112904311e-21,1.000000000e+00
1.155198567e-01,1.000000000e+00,6.189736308e-21,1.000000000e+00
1.189016742e-01,1.000000000e+00,-3.002231263e-20,1.000000000e+00
1.223824937e-01,1.000000000e+00,-9.792312964e-21,1.000000000e+00
1.259652133e-01,1.000000000e+00,2.172520876e-20,1.000000000e+00
1.296528163e-01,1.000000000e+00,-1.106615256e-20,1.000000000e+00
1.334483730e-01,1.000000000e+00,1.658887990e-20,1.000000000e+00
1.373550437e-01,1.000000000e+00,5.745694159e-20,1.000000000e+00
1.413760814e-01,1.000000000e+00,1.709151018e-20,1.000000000e+00
1.455148340e-01,1.000000000e+00,1.201174254e-21,1.000000000e+00
1.497747476e-01,1.000000000e+00,-1.189985641e-20,1.000000000e+00
1.541593693e-01,1.000000000e+00,5.085953554e-20,1.000000000e+00
1.586723497e-01,1.000000000e+00,-5.471677702e-22,1.000000000e+00
1.633174467e-01,1.000000000e+00,3.406555500e-20,1.000000000e+00
1.680985277e-01,1.000000000e+00,1.749407047e-20,1.000000000e+00
1.730195739e-01,1.000000000e+00,5.496443997e-20,1.000000000e+00
1.780846825e-01,1.000000000e+00,-4.717005914e-20,1.000000000e+00
1.832980711e-01,1.000000000e+00,1.507573423e-20,1.000000000e+00
1.886640804e-01,1.000000000e+00,1.271929547e-20,1.000000000e+00
1.941871784e-01,1.000000000e+00,-2.903679936e-20,1.000000000e+00
1.998719639e-01,1.000000000e+00,1.785057475e-20,1.000000000e+00
2.057231701e-01,1.000000000e+00,-2.771855468e-20,1.000000000e+00
2.117456691e-01,1.000000000e+00,-1.757929583e-20,1.000000000e+00
2.179444754e-01,1.000000000e+00,-5.764789437e-20,1.000000000e+00
2.243247503e-01,1.000000000e+00,-9.952963927e-21,1.000000000e+00
2.308918063e-01,1.000000000e+00,-4.010418291e-20,1.000000000e+00
2.376511114e-01,1.000000000e+00,-1.359775275e-20,1.000000000e+00
2.446082936e-01,1.000000000e+00,-7.024755727e-20,1.000000000e+00
2.517691457e-01,1.000000000e+00,4.880944322e-20,1.000000000e+00
2.591396301e-01,1.000000000e+00,-1.349353559e-19,1.000000000e+00
2.667258838e-01,1.000000000e+00,7.072632275e-20,1.000000000e+00
2.745342234e-01,1.000000000e+00,-3.108088574e-20,1.000000000e+00
2.825711503e-01,1.000000000e+00,-5.400397233e-20,1.000000000e+00
2.908433564e-01,1.000000000e+00,-8.398407435e-20,1.000000000e+00
2.993577295e-01,1.000000000e+00,-3.747071085e-20,1.000000000e+00
3.081213589e-01,1.000000000e+00,8.253276250e-20,1.000000000e+00
3.171415415e-01,1.000000000e+00,-6.682059167e-20,1.000000000e+00
3.264257880e-01,1.000000000e+00,2.369576455e-20,1.000000000e+00
3.359818286e-01,1.000000000e+00,-2.956810874e-20,1.000000000e+00
3.458176202e-01,1.000000000e+00,2.020747996e-20,1.000000000e+00
3.559413523e-01,1.000000000e+00,3.168481166e-20,1.000000000e+00
3.663614544e-01,1.000000000e+00,-5.770659212e-20,1.000000000e+00
3.770866026e-01,1.000000000e+00,5.272430897e-20,1.000000000e+00
3.881257271e-01,1.000000000e+00,-3.675613389e-20,1.000000000e+00
3.994880194e-01,1.000000000e+00,-1.781695111e-20,1.000000000e+00
4.111829402e-01,1.000000000e+00,-2.100625074e-20,1.000000000e+00
4.232202272e-01,1.000000000e+00,3.802538438e-20,1.000000000e+00
4.356099031e-01,1.000000000e+00,1.214944674e-20,1.000000000e+00
4.483622838e-01,1.000000000e+00,1.976498277e-20,1.000000000e+00
4.614879877e-01,1.000000000e+00,2.776188850e-20,1.000000000e+00
4.749979435e-01,1.000000000e+00,8.218516021e-20,1.000000000e+00
4.889034002e-01,1.000000000e+00,1.690780246e-20,1.000000000e+00
5.032159359e-01,1.000000000e+00,1.769404374e-20,1.000000000e+00
5.179474679e-01,1.000000000e+00,1.327653350e-19,1.000000000e+00
5.331102622e-01,1.000000000e+00,-1.959325371e-19,1.000000000e+00
5.487169438e-01,1.000000000e+00,3.818719100e-20,1.000000000e+00
5.647805074e-01,1.000000000e+00,-3.072735473e-20,1.000000000e+00
5.813143282e-01,1.000000000e+00,-3.540287470e-20,1.000000000e+00
5.983321729e-01,1.000000000e+00,2.735741420e-20,1.000000000e+00
6.158482111e-01,1.000000000e+00,1.785081724e-20,1.000000000e+00
6.338770273e-01,1.000000000e+00,1.511869321e-20,1.000000000e+00
6.524336330e-01,1.000000000e+00,-3.157796790e-20,1.000000000e+00
6.715334791e-01,1.000000000e+00,1.378873522e-19,1.000000000e+00
6.911924689e-01,1.000000000e+00,1.668485986e-19,1.000000000e+00
7.114269711e-01,1.000000000e+00,7.770830160e-20,1.000000000e+00
7.322538338e-01,1.000000000e+00,-9.842251900e-20,1.000000000e+00
7.536903981e-01,1.000000000e+00,-1.933160486e-20,1.000000000e+00
7.757545130e-01,1.000000000e+00,-1.240114336e-21,1.000000000e+00
7.984645498e-01,1.000000000e+00,1.381535288e-20,1.000000000e+00
8.218394177e-01,1.000000000e+00,-6.698528852e-21,1.000000000e+00
8.458985797e-01,1.000000000e+00,-1.463938845e-19,1.000000000e+00
8.706620681e-01,1.000000000e+00,1.302883052e-19,1.000000000e+00
8.961505019e-01,1.000000000e+00,-1.941442692e-20,1.000000000e+00
9.223851039e-01,1.000000000e+00,2.137103910e-19,1.000000000e+00
9.493877179e-01,1.000000000e+00,2.150157439e-19,1.000000000e+00
9.771808273e-01,1.000000000e+00,-2.951012368e-19,1.000000000e+00
1.005787574e+00,1.000000000e+00,-1.390595256e-19,1.000000000e+00
1.035231776e+00,1.000000000e+00,-1.552125103e-19,1.000000000e+00
1.065537951e+00,1.000000000e+00,-7.887849722e-20,1.000000000e+00
1.096731332e+00,1.000000000e+00,3.683629513e-19,1.000000000e+00
1.128837892e+00,1.000000000e+00,-7.114981235e-20,1.000000000e+00
1.161884364e+00,1.000000000e+00,1.313732993e-19,1.000000000e+00
1.195898264e+00,1.000000000e+00,1.624788087e-19,1.000000000e+00
1.230907914e+00,1.000000000e+00,2.790636846e-19,1.000000000e+00
1.266942463e+00,1.000000000e+00,-6.733716057e-20,1.000000000e+00
1.304031915e+00,1.000000000e+00,1.234577327e-19,1.000000000e+00
1.342207153e+00,1.000000000e+00,1.299641032e-19,1.000000000e+00
1.381499962e+00,1.000000000e+00,-4.369598037e-20,1.000000000e+00
1.421943059e+00,1.000000000e+00,-2.211449433e-19,1.000000000e+00
1.463570118e+00,1.000000000e+00,5.738654638e-20,1.000000000e+00
1.506415800e+00,1.000000000e+00,-3.926496296e-19,1.000000000e+00
1.550515780e+00,1.000000000e+00,1.919888398e-19,1.000000000e+00
1.595906776e+00,1.000000000e+00,-5.115735410e-20,1.000000000e+00
1.642626584e+00,1.000000000e+00,-1.363428416e-19,1.000000000e+00
1.690714103e+00,1.000000000e+00,4.176495759e-20,1.000000000e+00
1.740209374e+00,1.000000000e+00,-4.222348769e-19,1.000000000e+00
1.791153607e+00,1.000000000e+00,3.032110701e-19,1.000000000e+00
1.843589222e+00,1.000000000e+00,1.725658406e-19,1.000000000e+00
1.897559877e+00,1.000000000e+00,-3.045582297e-20,1.000000000e+00
1.953110510e+00,1.000000000e+00,-5.334795780e-19,1.000000000e+00
2.010287376e+00,1.000000000e+00,4.165028125e-20,1.000000000e+00
2.069138081e+00,1.000000000e+00,5.222421702e-20,1.000000000e+00
2.129711628e+00,1.000000000e+00,2.753524359e-20,1.000000000e+00
2.192058451e+00,1.000000000e+00,2.815935931e-19,1.000000000e+00
2.256230463e+00,1.000000000e+00,3.807337560e-19,1.000000000e+00
2.322281096e+00,1.000000000e+00,-8.988306003e-19,1.000000000e+00
2.390265347e+00,1.000000000e+00,-1.604801247e-19,1.000000000e+00
2.460239821e+00,1.000000000e+00,2.888768700e-19,1.000000000e+00
2.532262782e+00,1.000000000e+00,7.442435931e-19,1.000000000e+00
2.606394198e+00,1.000000000e+00,-2.292759779e-19,1.000000000e+00
2.682695795e+00,1.000000000e+00,1.183056781e-19,1.000000000e+00
2.761231104e+00,1.000000000e+00,-3.095383167e-19,1.000000000e+00
2.842065516e+00,1.000000000e+00,1.868998759e-19,1.000000000e+00
2.925266337e+00,1.000000000e+00,6.697577809e-19,1.000000000e+00
3.010902844e+00,1.000000000e+00,-6.346979432e-19,1.000000000e+00
3.099046339e+00,1.000000000e+00,-2.099119353e-19,1.000000000e+00
3.189770215e+00,1.000000000e+00,2.956940963e-19,1.000000000e+00
3.283150013e+00,1.000000000e+00,1.793721990e-19,1.000000000e+00
3.379263482e+00,1.000000000e+00,-2.521347930e-19,1.000000000e+00
3.478190651e+00,1.000000000e+00,3.374826292e-19,1.000000000e+00
3.580013891e+00,1.000000000e+00,3.389142683e-20,1.000000000e+00
3.684817983e+00,1.000000000e+00,-6.912604669e-19,1.000000000e+00
3.792690191e+00,1.000000000e+00,-2.586978457e-19,1.000000000e+00
3.903720333e+00,1.000000000e+00,-1.390266747e-19,1.000000000e+00
4.018000857e+00,1.000000000e+00,-1.322094278e-19,1.000000000e+00
4.135626918e+00,1.000000000e+00,9.022327863e-19,1.000000000e+00
4.256696455e+00,1.000000000e+00,9.541805683e-20,1.000000000e+00
4.381310275e+00,1.000000000e+00,7.146388728e-19,1.000000000e+00
4.509572136e+00,1.000000000e+00,-3.267319524e-20,1.000000000e+00
4.641588834e+00,1.000000000e+00,-1.996873411e-18,1.000000000e+00
4.777470290e+00,1.000000000e+00,-1.427290231e-18,1.000000000e+00
4.917329646e+00,1.000000000e+00,1.754816651e-18,1.000000000e+00
5.061283352e+00,1.000000000e+00,1.019241637e-18,1.000000000e+00
5.209451270e+00,1.000000000e+00,4.477234204e-19,1.000000000e+00
5.361956771e+00,1.000000000e+00,-5.920686964e-19,1.000000000e+00
5.518926835e+00,1.000000000e+00,4.631223437e-19,1.000000000e+00
5.680492162e+00,1.000000000e+00,1.953718955e-19,1.000000000e+00
5.846787277e+00,1.000000000e+00,-8.084717258e-20,1.000000000e+00
6.017950644e+00,1.000000000e+00,1.386533471e-18,1.000000000e+00
6.194124779e+00,1.000000000e+00,-1.060636489e-18,1.000000000e+00
6.375456372e+00,1.000000000e+00,-2.598655908e-19,1.000000000e+00
6.562096407e+00,1.000000000e+00,-6.387398881e-19,1.000000000e+00
6.754200286e+00,1.000000000e+00,-1.355800722e-19,1.000000000e+00
6.951927962e+00,1.000000000e+00,3.464131703e-19,1.000000000e+00
7.155444071e+00,1.000000000e+00,-6.329381512e-19,1.000000000e+00
7.364918067e+00,1.000000000e+00,-2.751675242e-18,1.000000000e+00
7.580524368e+00,1.000000000e+00,-1.540415306e-19,1.000000000e+00
7.802442493e+00,1.000000000e+00,7.928347661e-20,1.000000000e+00
8.030857221e+00,1.000000000e+00,-1.250944832e-18,1.000000000e+00
8.265958739e+00,1.000000000e+00,-1.133924968e-18,1.000000000e+00
8.507942800e+00,1.000000000e+00,7.628375304e-19,1.000000000e+00
8.757010889e+00,1.000000000e+00,1.843472511e-18,1.000000000e+00
9.013370390e+00,1.000000000e+00,2.059616051e-18,1.000000000e+00
9.277234756e+00,1.000000000e+00,-1.590685972e-18,1.000000000e+00
9.548823692e+00,1.000000000e+00,3.141226876e-18,1.000000000e+00
9.828363333e+00,1.000000000e+00,-2.089768529e-18,1.000000000e+00
1.011608643e+01,1.000000000e+00,-2.810285587e-19,1.000000000e+00
1.041223256e+01,1.000000000e+00,1.763871143e-18,1.000000000e+00
1.071704830e+01,1.000000000e+00,3.872106235e-18,1.000000000e+00
1.103078745e+01,1.000000000e+00,-9.503242755e-20,1.000000000e+00
1.135371124e+01,1.000000000e+00,1.577475210e-18,1.000000000e+00
1.168608855e+01,1.000000000e+00,3.678950669e-20,1.000000000e+00
1.202819614e+01,1.000000000e+00,-1.221984329e-18,1.000000000e+00
1.238031884e+01,1.000000000e+00,1.166258692e-18,1.000000000e+00
1.274274986e+01,1.000000000e+00,-1.635235733e-18,1.000000000e+00
1.311579096e+01,1.000000000e+00,6.553867889e-19,1.000000000e+00
1.349975275e+01,1.000000000e+00,-4.463190722e-19,1.000000000e+00
1.389495494e+01,1.000000000e+00,6.318957010e-19,1.000000000e+00
1.430172659e+01,1.000000000e+00,7.306193848e-19,1.000000000e+00
1.472040638e+01,1.000000000e+00,-1.375609013e-18,1.000000000e+00
1.515134292e+01,1.000000000e+00,1.743140580e-18,1.000000000e+00
1.559489504e+01,1.000000000e+00,4.651631405e-18,1.000000000e+00
1.605143204e+01,1.000000000e+00,1.785520599e-18,1.000000000e+00
1.652133406e+01,1.000000000e+00,-3.000095799e-18,1.000000000e+00
1.700499236e+01,1.000000000e+00,-1.033721635e-18,1.000000000e+00
1.750280964e+01,1.000000000e+00,6.655734321e-18,1.000000000e+00
1.801520041e+01,1.000000000e+00,-3.953742964e-18,1.000000000e+00
1.854259130e+01,1.000000000e+00,5.044653062e-18,1.000000000e+00
1.908542144e+01,1.000000000e+00,3.005925239e-18,1.000000000e+00
1.964414281e+01,1.000000000e+00,1.216580337e-18,1.000000000e+00
2.021922062e+01,1.000000000e+00,2.884620103e-19,1.000000000e+00
2.081113370e+01,1.000000000e+00,1.032309194e-18,1.000000000e+00
2.142037490e+01,1.000000000e+00,2.920697974e-18,1.000000000e+00
2.204745150e+01,1.000000000e+00,6.474993732e-19,1.000000000e+00
2.269288563e+01,1.000000000e+00,6.153174234e-19,1.000000000e+00
2.335721469e+01,1.000000000e+00,3.268900012e-18,1.000000000e+00
2.404099184e+01,1.000000000e+00,3.744433355e-18,1.000000000e+00
2.474478640e+01,1.000000000e+00,9.955360897e-20,1.000000000e+00
2.546918439e+01,1.000000000e+00,-2.747771503e-19,1.000000000e+00
2.621478897e+01,1.000000000e+00,9.600752795e-19,1.000000000e+00
2.698222095e+01,1.000000000e+00,3.344702776e-18,1.000000000e+00
2.777211932e+01,1.000000000e+00,4.669382195e-18,1.000000000e+00
2.858514180e+01,1.000000000e+00,-4.433390693e-18,1.000000000e+00
2.942196532e+01,1.000000000e+00,6.289082881e-18,1.000000000e+00
3.028328666e+01,1.000000000e+00,4.880144958e-19,1.000000000e+00
3.116982298e+01,1.000000000e+00,2.134462990e-18,1.000000000e+00
3.208231245e+01,1.000000000e+00,5.992485690e-18,1.000000000e+00
3.302151485e+01,1.000000000e+00,2.497812902e-19,1.000000000e+00
3.398821218e+01,1.000000000e+00,-7.271785001e-19,1.000000000e+00
3.498320936e+01,1.000000000e+00,-8.814473923e-18,1.000000000e+00
3.600733485e+01,1.000000000e+00,-1.170288283e-17,1.000000000e+00
3.706144138e+01,1.000000000e+00,2.109124962e-18,1.000000000e+00
3.814640664e+01,1.000000000e+00,-5.504355940e-18,1.000000000e+00
3.926313402e+01,1.000000000e+00,-5.519008330e-18,1.000000000e+00
4.041255333e+01,1.000000000e+00,-2.090413690e-18,1.000000000e+00
4.159562163e+01,1.000000000e+00,-4.056688416e-18,1.000000000e+00
4.281332399e+01,1.000000000e+00,1.410353185e-18,1.000000000e+00
4.406667430e+01,1.000000000e+00,7.358807819e-18,1.000000000e+00
4.535671616e+01,1.000000000e+00,-5.555967674e-18,1.000000000e+00
4.668452371e+01,1.000000000e+00,-8.790695072e-18,1.000000000e+00
4.805120251e+01,1.000000000e+00,9.967002987e-18,1.000000000e+00
4.945789053e+01,1.000000000e+00,-2.363177029e-18,1.000000000e+00
5.090575902e+01,1.000000000e+00,-1.542632382e-17,1.000000000e+00
5.239601353e+01,1.000000000e+00,-1.061433749e-17,1.000000000e+00
5.392989490e+01,1.000000000e+00,1.892379588e-18,1.000000000e+00
5.550868030e+01,1.000000000e+00,2.265574299e-18,1.000000000e+00
5.713368428e+01,1.000000000e+00,-1.832191990e-19,1.000000000e+00
5.880625989e+01,1.000000000e+00,-1.413154171e-17,1.000000000e+00
6.052779976e+01,1.000000000e+00,-4.042811859e-18,1.000000000e+00
6.229973732e+01,1.000000000e+00,2.541139608e-18,1.000000000e+00
6.412354796e+01,1.000000000e+00,-1.406722533e-18,1.000000000e+00
6.600075023e+01,1.000000000e+00,-5.033777002e-19,1.000000000e+00
6.793290717e+01,1.000000000e+00,3.098901222e-17,1.000000000e+00
6.992162757e+01,1.000000000e+00,3.595557851e-19,1.000000000e+00
7.196856730e+01,1.000000000e+00,-1.359785514e-18,1.000000000e+00
7.407543073e+01,1.000000000e+00,-4.754835894e-18,1.000000000e+00
