w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
1.000000000e-01,6.533074156e-03,1.787423348e-03,9.999993585e-01,9.999952721e-01
1.029274772e-01,6.724328275e-03,1.839749690e-03,9.999993201e-01,9.999949911e-01
1.059406557e-01,6.921181275e-03,1.893607869e-03,9.999992794e-01,9.999946933e-01
1.090420443e-01,7.123797056e-03,1.949042726e-03,9.999992364e-01,9.999943778e-01
1.122342253e-01,7.332344317e-03,2.006100420e-03,9.999991907e-01,9.999940435e-01
1.155198567e-01,7.546996692e-03,2.064828458e-03,9.999991424e-01,9.999936893e-01
1.189016742e-01,7.767932900e-03,2.125275737e-03,9.999990912e-01,9.999933141e-01
1.223824937e-01,7.995336891e-03,2.187492588e-03,9.999990369e-01,9.999929165e-01
1.259652133e-01,8.229397999e-03,2.251530814e-03,9.999989794e-01,9.999924953e-01
1.296528163e-01,8.470311099e-03,2.317443733e-03,9.999989185e-01,9.999920490e-01
1.334483730e-01,8.718276771e-03,2.385286227e-03,9.999988540e-01,9.999915761e-01
1.373550437e-01,8.973501466e-03,2.455114783e-03,9.999987857e-01,9.999910751e-01
1.413760814e-01,9.236197677e-03,2.526987540e-03,9.999987133e-01,9.999905443e-01
1.455148340e-01,9.506584117e-03,2.600964341e-03,9.999986365e-01,9.999899820e-01
1.497747476e-01,9.784885900e-03,2.677106781e-03,9.999985553e-01,9.999893861e-01
1.541593693e-01,1.007133473e-02,2.755478256e-03,9.999984692e-01,9.999887549e-01
1.586723497e-01,1.036616909e-02,2.836144020e-03,9.999983779e-01,9.999880860e-01
1.633174467e-01,1.066963445e-02,2.919171235e-03,9.999982813e-01,9.999873775e-01
1.680985277e-01,1.098198346e-02,3.004629032e-03,9.999981789e-01,9.999866267e-01
1.730195739e-01,1.130347615e-02,3.092588561e-03,9.999980705e-01,9.999858313e-01
1.780846825e-01,1.163438019e-02,3.183123060e-03,9.999979555e-01,9.999849886e-01
1.832980711e-01,1.197497106e-02,3.276307907e-03,9.999978338e-01,9.999840958e-01
1.886640804e-01,1.232553231e-02,3.372220688e-03,9.999977048e-01,9.999831500e-01
1.941871784e-01,1.268635579e-02,3.470941260e-03,9.999975682e-01,9.999821478e-01
1.998719639e-01,1.305774188e-02,3.572551818e-03,9.999974235e-01,9.999810861e-01
2.057231701e-01,1.343999978e-02,3.677136961e-03,9.999972701e-01,9.999799613e-01
2.117456691e-01,1.383344770e-02,3.784783767e-03,9.999971076e-01,9.999787695e-01
2.179444754e-01,1.423841319e-02,3.895581861e-03,9.999969355e-01,9.999775070e-01
2.243247503e-01,1.465523337e-02,4.009623492e-03,9.999967532e-01,9.999761693e-01
2.308918063e-01,1.508425524e-02,4.127003609e-03,9.999965600e-01,9.999747522e-01
2.376511114e-01,1.552583593e-02,4.247819940e-03,9.999963554e-01,9.999732508e-01
2.446082936e-01,1.598034304e-02,4.372173075e-03,9.999961386e-01,9.999716601e-01
2.517691457e-01,1.644815491e-02,4.500166546e-03,9.999959089e-01,9.999699749e-01
2.591396301e-01,1.692966097e-02,4.631906917e-03,9.999956655e-01,9.999681895e-01
2.667258838e-01,1.742526203e-02,4.767503869e-03,9.999954078e-01,9.999662980e-01
2.745342234e-01,1.793537063e-02,4.907070296e-03,9.999951346e-01,9.999642940e-01
2.825711503e-01,1.846041138e-02,5.050722395e-03,9.999948453e-01,9.999621709e-01
2.908433564e-01,1.900082130e-02,5.198579763e-03,9.999945388e-01,9.999599216e-01
2.993577295e-01,1.955705021e-02,5.350765498e-03,9.999942141e-01,9.999575387e-01
3.081213589e-01,2.012956109e-02,5.507406302e-03,9.999938700e-01,9.999550140e-01
3.171415415e-01,2.071883043e-02,5.668632582e-03,9.999935056e-01,9.999523393e-01
3.264257880e-01,2.132534871e-02,5.834578566e-03,9.999931195e-01,9.999495056e-01
3.359818286e-01,2.194962071e-02,6.005382405e-03,9.999927104e-01,9.999465035e-01
3.458176202e-01,2.259216599e-02,6.181186297e-03,9.999922771e-01,9.999433229e-01
3.559413523e-01,2.325351931e-02,6.362136601e-03,9.999918180e-01,9.999399532e-01
3.663614544e-01,2.393423106e-02,6.548383957e-03,9.999913316e-01,9.999363833e-01
3.770866026e-01,2.463486772e-02,6.740083416e-03,9.999908164e-01,9.999326011e-01
3.881257271e-01,2.535601233e-02,6.937394563e-03,9.999902705e-01,9.999285940e-01
3.994880194e-01,2.609826500e-02,7.140481655e-03,9.999896922e-01,9.999243488e-01
4.111829402e-01,2.686224336e-02,7.349513756e-03,9.999890796e-01,9.999198511e-01
4.232202272e-01,2.764858309e-02,7.564664875e-03,9.999884305e-01,9.999150861e-01
4.356099031e-01,2.845793847e-02,7.786114113e-03,9.999877429e-01,9.999100377e-01
