w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
1.000000000e-01,2.450385324e-03,2.415208385e-03,1.000806157e+00,9.999985971e-01
1.029274772e-01,2.534754441e-03,2.496939085e-03,1.000834278e+00,9.999985137e-01
1.059406557e-01,2.628270221e-03,2.575088421e-03,1.000862690e+00,9.999984254e-01
1.090420443e-01,2.727923787e-03,2.652810627e-03,1.000891350e+00,9.999983317e-01
1.122342253e-01,2.832225848e-03,2.731741958e-03,1.000920215e+00,9.999982325e-01
1.155198567e-01,2.940704713e-03,2.812502797e-03,1.000949240e+00,9.999981273e-01
1.189016742e-01,3.053227503e-03,2.895376594e-03,1.000978379e+00,9.999980157e-01
1.223824937e-01,3.169780274e-03,2.980529915e-03,1.001007586e+00,9.999978975e-01
1.259652133e-01,3.290397389e-03,3.068083276e-03,1.001036814e+00,9.999977722e-01
1.296528163e-01,3.415135657e-03,3.158137232e-03,1.001066017e+00,9.999976394e-01
1.334483730e-01,3.544063648e-03,3.250783313e-03,1.001095149e+00,9.999974985e-01
1.373550437e-01,3.677256866e-03,3.346109126e-03,1.001124165e+00,9.999973492e-01
1.413760814e-01,3.814795434e-03,3.444200970e-03,1.001153022e+00,9.999971909e-01
1.455148340e-01,3.956762971e-03,3.545145272e-03,1.001181675e+00,9.999970231e-01
1.497747476e-01,4.103246071e-03,3.649029444e-03,1.001210084e+00,9.999968451e-01
1.541593693e-01,4.254334107e-03,3.755942418e-03,1.001238210e+00,9.999966564e-01
1.586723497e-01,4.410119229e-03,3.865975020e-03,1.001266016e+00,9.999964562e-01
1.633174467e-01,4.570696465e-03,3.979220224e-03,1.001293467e+00,9.999962440e-01
1.680985277e-01,4.736163898e-03,4.095773361e-03,1.001320530e+00,9.999960189e-01
1.730195739e-01,4.906622876e-03,4.215732280e-03,1.001347177e+00,9.999957801e-01
1.780846825e-01,5.082178263e-03,4.339197486e-03,1.001373381e+00,9.999955269e-01
1.832980711e-01,5.262938688e-03,4.466272271e-03,1.001399117e+00,9.999952583e-01
1.886640804e-01,5.449016816e-03,4.597062826e-03,1.001424365e+00,9.999949733e-01
1.941871784e-01,5.640529613e-03,4.731678354e-03,1.001449107e+00,9.999946709e-01
1.998719639e-01,5.837598616e-03,4.870231174e-03,1.001473329e+00,9.999943501e-01
2.057231701e-01,6.040350198e-03,5.012836829e-03,1.001497018e+00,9.999940098e-01
2.117456691e-01,6.248915820e-03,5.159614194e-03,1.001520167e+00,9.999936485e-01
2.179444754e-01,6.463432291e-03,5.310685576e-03,1.001542768e+00,9.999932652e-01
2.243247503e-01,6.684042007e-03,5.466176825e-03,1.001564819e+00,9.999928583e-01
2.308918063e-01,6.910893187e-03,5.626217443e-03,1.001586319e+00,9.999924263e-01
2.376511114e-01,7.144140103e-03,5.790940693e-03,1.001607272e+00,9.999919678e-01
2.446082936e-01,7.383943296e-03,5.960483714e-03,1.001627682e+00,9.999914809e-01
2.517691457e-01,7.630469791e-03,6.134987636e-03,1.001647557e+00,9.999909639e-01
2.591396301e-01,7.883893300e-03,6.314597696e-03,1.001666906e+00,9.999904148e-01
2.667258838e-01,8.144394418e-03,6.499463367e-03,1.001685740e+00,9.999898317e-01
2.745342234e-01,8.412160818e-03,6.689738473e-03,1.001704075e+00,9.999892122e-01
2.825711503e-01,8.687387440e-03,6.885581325e-03,1.001721926e+00,9.999885540e-01
2.908433564e-01,8.970276668e-03,7.087154847e-03,1.001739311e+00,9.999878547e-01
2.993577295e-01,9.261038521e-03,7.294626716e-03,1.001756248e+00,9.999871114e-01
3.081213589e-01,9.559890823e-03,7.508169496e-03,1.001772760e+00,9.999863214e-01
