t,alpha,v,r_cmd,i_cmd
0.000000000e+00,0.000000000e+00,0.000000000e+00,5.004339432e-01,2.219175553e-01
2.000000000e-02,-8.934301392e-07,4.457530398e-03,5.095644594e-01,9.918654138e-01
4.000000000e-02,-5.206789740e-05,1.414765492e-02,5.119366630e-01,1.178294629e+00
6.000000000e-02,-2.963287519e-05,2.456623370e-02,5.111071495e-01,1.067867062e+00
8.000000000e-02,-8.878408595e-06,3.357045801e-02,5.089346236e-01,8.408367701e-01
1.000000000e-01,2.408480975e-06,4.042201906e-02,5.065110879e-01,5.987878566e-01
1.200000000e-01,7.267868870e-06,4.514560976e-02,5.043792458e-01,3.904734711e-01
1.400000000e-01,8.426498298e-06,4.810907018e-02,5.027374364e-01,2.324299859e-01
1.600000000e-01,7.697171013e-06,4.977478431e-02,5.015937955e-01,1.237588560e-01
1.800000000e-01,6.211777410e-06,5.057068320e-02,5.008685395e-01,5.577655743e-02
2.000000000e-01,4.613846244e-06,5.083730464e-02,5.004552429e-01,1.771144465e-02
2.200000000e-01,3.217440253e-06,5.081834211e-02,5.002531888e-01,-3.533702924e-04
2.400000000e-01,2.133665492e-06,5.067257205e-02,5.001811364e-01,-6.283794709e-03
2.600000000e-01,1.362355131e-06,5.049351283e-02,5.001803239e-01,-5.693994856e-03
2.800000000e-01,8.525114470e-07,5.032930854e-02,5.002120678e-01,-2.232369044e-03
3.000000000e-01,5.383656600e-07,5.019938293e-02,5.002533060e-01,1.958862679e-03
3.200000000e-01,3.582889464e-07,5.010683246e-02,5.002919511e-01,5.782063952e-03
3.400000000e-01,2.627259340e-07,5.004680324e-02,5.003229365e-01,8.799028846e-03
3.600000000e-01,2.157998416e-07,5.001163610e-02,5.003452400e-01,1.094516536e-02
3.800000000e-01,1.937660789e-07,4.999367857e-02,5.003598517e-01,1.233678997e-02
4.000000000e-01,1.822886286e-07,4.998656356e-02,5.003685116e-01,1.315309606e-02
4.200000000e-01,1.736353503e-07,4.998557609e-02,5.003730093e-01,1.357189083e-02
4.400000000e-01,1.643049190e-07,4.998754322e-02,5.003748571e-01,1.374057469e-02
4.600000000e-01,1.532466178e-07,4.999052562e-02,5.003751875e-01,1.376802527e-02
4.800000000e-01,1.406471751e-07,4.999347044e-02,5.003747707e-01,1.372735660e-02
5.000000000e-01,1.271780173e-07,4.999590477e-02,5.003740824e-01,1.366316618e-02
5.200000000e-01,1.135773696e-07,4.999769886e-02,5.003733849e-01,1.359961058e-02
5.400000000e-01,1.004540508e-07,4.999890098e-02,5.003727992e-01,1.354750494e-02
5.600000000e-01,8.822439592e-08,4.999963225e-02,5.003723617e-01,1.350978888e-02
5.800000000e-01,7.711977472e-08,5.000002672e-02,5.003720644e-01,1.348533284e-02
6.000000000e-01,6.722448059e-08,5.000020184e-02,5.003718800e-01,1.347135151e-02
6.200000000e-01,5.852065818e-08,5.000024780e-02,5.003717775e-01,1.346477889e-02
6.400000000e-01,5.092852268e-08,5.000022731e-02,5.003717290e-01,1.346294043e-02
6.600000000e-01,4.433736315e-08,5.000018004e-02,5.003717127e-01,1.346379264e-02
6.800000000e-01,3.862686367e-08,5.000012852e-02,5.003717135e-01,1.346592585e-02
7.000000000e-01,3.368018905e-08,5.000008373e-02,5.003717217e-01,1.346845871e-02
7.200000000e-01,2.939090754e-08,5.000004952e-02,5.003717316e-01,1.347090120e-02
7.400000000e-01,2.566575138e-08,5.000002588e-02,5.003717403e-01,1.347302626e-02
7.600000000e-01,2.242485172e-08,5.000001102e-02,5.003717469e-01,1.347476700e-02
7.800000000e-01,1.960063492e-08,5.000000267e-02,5.003717512e-01,1.347614276e-02
8.000000000e-01,1.713616388e-08,4.999999868e-02,5.003717536e-01,1.347721070e-02
8.200000000e-01,1.498339181e-08,4.999999736e-02,5.003717546e-01,1.347803725e-02
8.400000000e-01,1.310156849e-08,4.999999749e-02,5.003717547e-01,1.347868331e-02
8.600000000e-01,1.145589653e-08,4.999999825e-02,5.003717542e-01,1.347919831e-02
8.800000000e-01,1.001645030e-08,4.999999919e-02,5.003717535e-01,1.347961924e-02
9.000000000e-01,8.757329129e-09,5.000000005e-02,5.003717527e-01,1.347997217e-02
9.200000000e-01,7.656001064e-09,5.000000074e-02,5.003717519e-01,1.348027465e-02
9.400000000e-01,6.692792580e-09,5.000000124e-02,5.003717513e-01,1.348053814e-02
9.600000000e-01,5.850485465e-09,5.000000157e-02,5.003717507e-01,1.348077002e-02
9.800000000e-01,5.113991743e-09,5.000000177e-02,5.003717502e-01,1.348097515e-02
1.000000000e+00,4.470084305e-09,5.000000188e-02,5.003717498e-01,1.348115687e-02
1.020000000e+00,3.907168308e-09,5.000000193e-02,5.003717495e-01,1.348131773e-02
1.040000000e+00,3.415084151e-09,5.000000195e-02,5.003717492e-01,1.348145982e-02
1.060000000e+00,2.984934295e-09,5.000000195e-02,5.003717490e-01,1.348158503e-02
1.080000000e+00,2.608930717e-09,5.000000195e-02,5.003717488e-01,1.348169508e-02
1.100000000e+00,2.280259644e-09,5.000000194e-02,5.003717486e-01,1.348179162e-02
1.120000000e+00,1.992962438e-09,5.000000194e-02,5.003717485e-01,1.348187616e-02
1.140000000e+00,1.741829360e-09,5.000000193e-02,5.003717483e-01,1.348195009e-02
1.160000000e+00,1.522306533e-09,5.000000193e-02,5.003717482e-01,1.348201471e-02
1.180000000e+00,1.330413661e-09,5.000000193e-02,5.003717481e-01,1.348207116e-02
1.200000000e+00,1.162671931e-09,5.000000193e-02,5.003717480e-01,1.348212046e-02
1.220000000e+00,1.016040961e-09,5.000000193e-02,5.003717480e-01,1.348216352e-02
1.240000000e+00,8.878634602e-10,5.000000193e-02,5.003717479e-01,1.348220113e-02
1.260000000e+00,7.758168550e-10,5.000000193e-02,5.003717479e-01,1.348223399e-02
1.280000000e+00,6.778710049e-10,5.000000193e-02,5.003717478e-01,1.348226270e-02
1.300000000e+00,5.922514832e-10,5.000000192e-02,5.003717478e-01,1.348228780e-02
1.320000000e+00,5.174069984e-10,5.000000192e-02,5.003717477e-01,1.348230973e-02
1.340000000e+00,4.519817439e-10,5.000000192e-02,5.003717477e-01,1.348232890e-02
1.360000000e+00,3.947904048e-10,5.000000192e-02,5.003717477e-01,1.348234566e-02
