t,alpha,v,r_cmd,i_cmd
0.000000000e+00,0.000000000e+00,0.000000000e+00,5.043394317e-01,2.219175553e+00
2.000000000e-02,-8.934301392e-06,4.457530398e-02,5.956445942e-01,9.918654138e+00
4.000000000e-02,-5.206789740e-04,1.414765492e-01,6.193666304e-01,1.178294629e+01
6.000000000e-02,-2.963287519e-04,2.456623370e-01,6.110714948e-01,1.067867062e+01
8.000000000e-02,-8.878408595e-05,3.357045801e-01,5.893462362e-01,8.408367701e+00
1.000000000e-01,2.408480975e-05,4.042201906e-01,5.651108793e-01,5.987878566e+00
1.200000000e-01,7.267868870e-05,4.514560976e-01,5.437924577e-01,3.904734711e+00
1.400000000e-01,8.426498298e-05,4.810907018e-01,5.273743639e-01,2.324299859e+00
1.600000000e-01,7.697171013e-05,4.977478431e-01,5.159379547e-01,1.237588560e+00
1.800000000e-01,6.211777410e-05,5.057068320e-01,5.086853951e-01,5.577655743e-01
2.000000000e-01,4.613846244e-05,5.083730464e-01,5.045524293e-01,1.771144465e-01
2.200000000e-01,3.217440253e-05,5.081834211e-01,5.025318880e-01,-3.533702924e-03
2.400000000e-01,2.133665492e-05,5.067257205e-01,5.018113644e-01,-6.283794709e-02
2.600000000e-01,1.362355131e-05,5.049351283e-01,5.018032392e-01,-5.693994856e-02
2.800000000e-01,8.525114469e-06,5.032930854e-01,5.021206783e-01,-2.232369044e-02
3.000000000e-01,5.383656600e-06,5.019938293e-01,5.025330602e-01,1.958862679e-02
3.200000000e-01,3.582889464e-06,5.010683246e-01,5.029195110e-01,5.782063952e-02
3.400000000e-01,2.627259340e-06,5.004680324e-01,5.032293645e-01,8.799028846e-02
3.600000000e-01,2.157998416e-06,5.001163610e-01,5.034523998e-01,1.094516536e-01
3.800000000e-01,1.937660789e-06,4.999367857e-01,5.035985173e-01,1.233678997e-01
4.000000000e-01,1.822886287e-06,4.998656356e-01,5.036851163e-01,1.315309606e-01
4.200000000e-01,1.736353503e-06,4.998557609e-01,5.037300931e-01,1.357189083e-01
4.400000000e-01,1.643049190e-06,4.998754322e-01,5.037485707e-01,1.374057469e-01
4.600000000e-01,1.532466178e-06,4.999052562e-01,5.037518754e-01,1.376802527e-01
4.800000000e-01,1.406471752e-06,4.999347044e-01,5.037477069e-01,1.372735660e-01
5.000000000e-01,1.271780172e-06,4.999590477e-01,5.037408239e-01,1.366316618e-01
5.200000000e-01,1.135773697e-06,4.999769886e-01,5.037338487e-01,1.359961058e-01
5.400000000e-01,1.004540508e-06,4.999890098e-01,5.037279915e-01,1.354750494e-01
