t,alpha,v,r_cmd,i_cmd
0.000000000e+00,0.000000000e+00,0.000000000e+00,5.010168832e-01,2.567314963e-03
2.000000000e-02,3.366724435e-02,3.541554717e-05,5.375093830e-01,4.311631930e-03
4.000000000e-02,4.846041514e-02,6.469766004e-05,5.490264328e-01,9.747401760e-04
6.000000000e-02,5.005701311e-02,6.754841671e-05,5.500651361e-01,-8.780908511e-04
8.000000000e-02,5.003501581e-02,5.725644851e-05,5.500127824e-01,-1.540888451e-03
1.000000000e-01,5.000420418e-02,4.293542766e-05,5.499870142e-01,-1.577175539e-03
1.200000000e-01,5.000004794e-02,2.922473904e-05,5.499863659e-01,-1.329506778e-03
1.400000000e-01,4.999995236e-02,1.809198992e-05,5.499896544e-01,-9.946391028e-04
1.600000000e-01,4.999999960e-02,9.997816290e-06,5.499929218e-01,-6.760872378e-04
1.800000000e-01,5.000000348e-02,4.642973661e-06,5.499955788e-01,-4.182613319e-04
2.000000000e-01,5.000000182e-02,1.432299608e-06,5.499975267e-01,-2.312214135e-04
2.200000000e-01,5.000000167e-02,-2.644061338e-07,5.499988282e-01,-1.076933339e-04
2.400000000e-01,5.000000240e-02,-9.876927775e-07,5.499996175e-01,-3.372943660e-05
2.600000000e-01,5.000000325e-02,-1.146719829e-06,5.500000414e-01,5.318970522e-06
2.800000000e-01,5.000000389e-02,-1.022277422e-06,5.500002278e-01,2.196554436e-05
3.000000000e-01,5.000000423e-02,-7.896730709e-07,5.500002748e-01,2.565576130e-05
3.200000000e-01,5.000000428e-02,-5.468253407e-07,5.500002505e-01,2.285627513e-05
3.400000000e-01,5.000000411e-02,-3.400195782e-07,5.500001978e-01,1.759470655e-05
3.600000000e-01,5.000000381e-02,-1.842834219e-07,5.500001409e-01,1.211400149e-05
3.800000000e-01,5.000000344e-02,-7.789897839e-08,5.500000916e-01,7.469287645e-06
4.000000000e-01,5.000000305e-02,-1.181433741e-08,5.500000540e-01,3.998545289e-06
4.200000000e-01,5.000000266e-02,2.484368152e-08,5.500000280e-01,1.656975323e-06
4.400000000e-01,5.000000231e-02,4.195515080e-08,5.500000117e-01,2.333003368e-07
4.600000000e-01,5.000000200e-02,4.729246790e-08,5.500000024e-01,-5.239163357e-07
4.800000000e-01,5.000000172e-02,4.636624798e-08,5.499999979e-01,-8.420720536e-07
5.000000000e-01,5.000000149e-02,4.273420232e-08,5.499999963e-01,-8.993558719e-07
5.200000000e-01,5.000000128e-02,3.846898754e-08,5.499999963e-01,-8.215590200e-07
5.400000000e-01,5.000000111e-02,3.462001075e-08,5.499999970e-01,-6.894214667e-07
5.600000000e-01,5.000000096e-02,3.159509566e-08,5.499999979e-01,-5.495407340e-07
5.800000000e-01,5.000000083e-02,2.944171428e-08,5.499999987e-01,-4.250720834e-07
6.000000000e-01,5.000000072e-02,2.803537705e-08,5.499999994e-01,-3.245389391e-07
6.200000000e-01,5.000000063e-02,2.719419575e-08,5.499999998e-01,-2.483052610e-07
6.400000000e-01,5.000000054e-02,2.674064522e-08,5.500000001e-01,-1.928978172e-07
6.600000000e-01,5.000000047e-02,2.652894250e-08,5.500000003e-01,-1.536243753e-07
6.800000000e-01,5.000000041e-02,2.645218848e-08,5.500000004e-01,-1.259765292e-07
7.000000000e-01,5.000000035e-02,2.643910162e-08,5.500000004e-01,-1.062433976e-07
