w_rad_s,dec_sigma_So,mimo_sigma_So,dec_S11,mimo_S11,dec_S22,mimo_S22,dec_T_alpha_vref,mimo_T_alpha_vref
1.00000000e-02,8.83865068e-05,6.53308503e-04,8.83826594e-05,1.78742503e-04,5.33625980e-05,6.53306989e-04,6.57418663e-07,1.61173601e-08
1.03282813e-02,9.12847816e-05,6.74755397e-04,9.12808076e-05,1.84610284e-04,5.51145786e-05,6.74753834e-04,6.78996563e-07,1.66464639e-08
1.06673394e-02,9.42782515e-05,6.96906353e-04,9.42741468e-05,1.90670694e-04,5.69240923e-05,6.96904739e-04,7.01285287e-07,1.71929373e-08
1.10175281e-02,9.73700440e-05,7.19784484e-04,9.73658042e-05,1.96930055e-04,5.87930299e-05,7.19782817e-04,7.24308398e-07,1.77573505e-08
1.13792129e-02,1.00563389e-04,7.43413661e-04,1.00559009e-04,2.03394900e-04,6.07233443e-05,7.43411939e-04,7.48090253e-07,1.83402925e-08
1.17527712e-02,1.03861621e-04,7.67818540e-04,1.03857097e-04,2.10071973e-04,6.27170526e-05,7.67816761e-04,7.72656031e-07,1.89423716e-08
1.21385926e-02,1.07268185e-04,7.93024585e-04,1.07263513e-04,2.16968242e-04,6.47762386e-05,7.93022748e-04,7.98031760e-07,1.95642159e-08
1.25370799e-02,1.10786640e-04,8.19058097e-04,1.10781813e-04,2.24090903e-04,6.69030547e-05,8.19056200e-04,8.24244351e-07,2.02064744e-08
1.29486487e-02,1.14420658e-04,8.45946241e-04,1.14415673e-04,2.31447387e-04,6.90997240e-05,8.45944282e-04,8.51321628e-07,2.08698172e-08
1.33737286e-02,1.18174034e-04,8.73717073e-04,1.18168885e-04,2.39045371e-04,7.13685433e-05,8.73715049e-04,8.79292363e-07,2.15549366e-08
1.38127630e-02,1.22050688e-04,9.02399569e-04,1.22045369e-04,2.46892782e-04,7.37118849e-05,9.02397479e-04,9.08186308e-07,2.22625473e-08
1.42662102e-02,1.26054666e-04,9.32023658e-04,1.26049172e-04,2.54997809e-04,7.61321994e-05,9.32021500e-04,9.38034234e-07,2.29933878e-08
1.47345431e-02,1.30190149e-04,9.62620251e-04,1.30184474e-04,2.63368909e-04,7.86320183e-05,9.62618022e-04,9.68867966e-07,2.37482208e-08
1.52182505e-02,1.34461454e-04,9.94221272e-04,1.34455591e-04,2.72014816e-04,8.12139567e-05,9.94218970e-04,1.00072043e-06,2.45278338e-08
1.57178372e-02,1.38873039e-04,1.02685970e-03,1.38866983e-04,2.80944553e-04,8.38807160e-05,1.02685732e-03,1.03362567e-06,2.53330403e-08
1.62338243e-02,1.43429509e-04,1.06056958e-03,1.43423253e-04,2.90167435e-04,8.66350870e-05,1.06056712e-03,1.06761894e-06,2.61646807e-08
1.67667503e-02,1.48135620e-04,1.09538609e-03,1.48129158e-04,2.99693088e-04,8.94799525e-05,1.09538356e-03,1.10273670e-06,2.70236226e-08
1.73171713e-02,1.52996285e-04,1.13134557e-03,1.52989609e-04,3.09531450e-04,9.24182908e-05,1.13134295e-03,1.13901668e-06,2.79107624e-08
1.78856616e-02,1.58016576e-04,1.16848553e-03,1.58009680e-04,3.19692787e-04,9.54531788e-05,1.16848283e-03,1.17649793e-06,2.88270259e-08
1.84728144e-02,1.63201733e-04,1.20684473e-03,1.63194609e-04,3.30187701e-04,9.85877950e-05,1.20684193e-03,1.21522088e-06,2.97733690e-08
1.90792422e-02,1.68557167e-04,1.24646318e-03,1.68549808e-04,3.41027144e-04,1.01825423e-04,1.24646030e-03,1.25522740e-06,3.07507794e-08
1.97055780e-02,1.74088469e-04,1.28738224e-03,1.74080865e-04,3.52222426e-04,1.05169457e-04,1.28737926e-03,1.29656083e-06,3.17602770e-08
2.03524752e-02,1.79801409e-04,1.32964459e-03,1.79793554e-04,3.63785227e-04,1.08623401e-04,1.32964151e-03,1.33926604e-06,3.28029151e-08
2.10206088e-02,1.85701950e-04,1.37329434e-03,1.85693836e-04,3.75727614e-04,1.12190876e-04,1.37329116e-03,1.38338955e-06,3.38797819e-08
2.17106760e-02,1.91796250e-04,1.41837702e-03,1.91787867e-04,3.88062046e-04,1.15875625e-04,1.41837374e-03,1.42897951e-06,3.49920009e-08
2.24233968e-02,1.98090669e-04,1.46493969e-03,1.98082008e-04,4.00801395e-04,1.19681515e-04,1.46493630e-03,1.47608585e-06,3.61407329e-08
2.31595149e-02,2.04591775e-04,1.51303093e-03,2.04582827e-04,4.13958952e-04,1.23612538e-04,1.51302743e-03,1.52476029e-06,3.73271765e-08
2.39197984e-02,2.11306352e-04,1.56270091e-03,2.11297107e-04,4.27548448e-04,1.27672824e-04,1.56269729e-03,1.57505649e-06,3.85525699e-08
2.47050406e-02,2.18241408e-04,1.61400146e-03,2.18231855e-04,4.41584061e-04,1.31866638e-04,1.61399773e-03,1.62703003e-06,3.98181917e-08
2.55160607e-02,2.25404178e-04,1.66698611e-03,2.25394308e-04,4.56080437e-04,1.36198387e-04,1.66698226e-03,1.68073861e-06,4.11253627e-08
2.63537052e-02,2.32802138e-04,1.72171016e-03,2.32791939e-04,4.71052701e-04,1.40672626e-04,1.72170618e-03,1.73624206e-06,4.24754469e-08
2.72188479e-02,2.40443006e-04,1.77823069e-03,2.40432468e-04,4.86516477e-04,1.45294061e-04,1.77822658e-03,1.79360247e-06,4.38698533e-08
2.81123917e-02,2.48334757e-04,1.83660669e-03,2.48323868e-04,5.02487899e-04,1.50067557e-04,1.83660244e-03,1.85288430e-06,4.53100369e-08
2.90352688e-02,2.56485625e-04,1.89689906e-03,2.56474373e-04,5.18983633e-04,1.54998142e-04,1.89689468e-03,1.91415447e-06,4.67975006e-08
2.99884423e-02,2.64904116e-04,1.95917072e-03,2.64892488e-04,5.36020891e-04,1.60091011e-04,1.95916619e-03,1.97748249e-06,4.83337967e-08
3.09729067e-02,2.73599013e-04,2.02348664e-03,2.73586997e-04,5.53617449e-04,1.65351535e-04,2.02348197e-03,2.04294058e-06,4.99205283e-08
3.19896892e-02,2.82579391e-04,2.08991393e-03,2.82566973e-04,5.71791670e-04,1.70785265e-04,2.08990911e-03,2.11060380e-06,5.15593513e-08
3.30398507e-02,2.91854619e-04,2.15852192e-03,2.91841785e-04,5.90562516e-04,1.76397940e-04,2.15851694e-03,2.18055020e-06,5.32519758e-08
3.41244871e-02,3.01434377e-04,2.22938217e-03,3.01421112e-04,6.09949573e-04,1.82195491e-04,2.22937703e-03,2.25286096e-06,5.50001683e-08
3.52447300e-02,3.11328659e-04,2.30256864e-03,3.11314948e-04,6.29973071e-04,1.88184052e-04,2.30256333e-03,2.32762056e-06,5.68057530e-08
3.64017485e-02,3.21547791e-04,2.37815768e-03,3.21533619e-04,6.50653902e-04,1.94369962e-04,2.37815220e-03,2.40491692e-06,5.86706140e-08
3.75967497e-02,3.32102436e-04,2.45622817e-03,3.32087787e-04,6.72013646e-04,2.00759778e-04,2.45622251e-03,2.48484164e-06,6.05966976e-08
3.88309805e-02,3.43003608e-04,2.53686157e-03,3.42988463e-04,6.94074590e-04,2.07360277e-04,2.53685573e-03,2.56749015e-06,6.25860135e-08
4.01057288e-02,3.54262680e-04,2.62014202e-03,3.54247024e-04,7.16859752e-04,2.14178472e-04,2.62013598e-03,2.65296193e-06,6.46406377e-08
4.14223247e-02,3.65891402e-04,2.70615641e-03,3.65875215e-04,7.40392908e-04,2.21221610e-04,2.70615018e-03,2.74136073e-06,6.67627143e-08
4.27821420e-02,3.77901908e-04,2.79499449e-03,3.77885171e-04,7.64698614e-04,2.28497190e-04,2.79498806e-03,2.83279483e-06,6.89544575e-08
4.41865996e-02,3.90306729e-04,2.88674897e-03,3.90289423e-04,7.89802229e-04,2.36012969e-04,2.88674233e-03,2.92737729e-06,7.12181546e-08
4.56371628e-02,4.03118811e-04,2.98151557e-03,4.03100915e-04,8.15729948e-04,2.43776970e-04,2.98150872e-03,3.02522622e-06,7.35561676e-08
4.71353453e-02,4.16351522e-04,3.07939319e-03,4.16333014e-04,8.42508825e-04,2.51797494e-04,3.07938612e-03,3.12646509e-06,7.59709362e-08
4.86827104e-02,4.30018669e-04,3.18048395e-03,4.29999527e-04,8.70166801e-04,2.60083129e-04,3.18047665e-03,3.23122303e-06,7.84649800e-08
5.02808725e-02,4.44134515e-04,3.28489333e-03,4.44114714e-04,8.98732736e-04,2.68642765e-04,3.28488579e-03,3.33963520e-06,8.10409012e-08
5.19314994e-02,4.58713787e-04,3.39273028e-03,4.58693304e-04,9.28236436e-04,2.77485599e-04,3.39272250e-03,3.45184318e-06,8.37013877e-08
5.36363132e-02,4.73771700e-04,3.50410732e-03,4.73750508e-04,9.58708687e-04,2.86621153e-04,3.50409929e-03,3.56799531e-06,8.64492152e-08
5.53970928e-02,4.89323966e-04,3.61914066e-03,4.89302038e-04,9.90181283e-04,2.96059285e-04,3.61913237e-03,3.68824719e-06,8.92872505e-08
5.72156756e-02,5.05386812e-04,3.73795033e-03,5.05364121e-04,1.02268706e-03,3.05810200e-04,3.73794177e-03,3.81276212e-06,9.22184546e-08
5.90939590e-02,5.21977000e-04,3.86066030e-03,5.21953516e-04,1.05625995e-03,3.15884467e-04,3.86065147e-03,3.94171158e-06,9.52458853e-08
6.10339029e-02,5.39111841e-04,3.98739861e-03,5.39087534e-04,1.09093496e-03,3.26293033e-04,3.98738949e-03,4.07527583e-06,9.83727008e-08
6.30375315e-02,5.56809216e-04,4.11829750e-03,5.56784051e-04,1.12674829e-03,3.37047237e-04,4.11828809e-03,4.21364447e-06,1.01602163e-07
6.51069356e-02,5.75087589e-04,4.25349356e-03,5.75061535e-04,1.16373731e-03,3.48158829e-04,4.25348385e-03,4.35701706e-06,1.04937639e-07
6.72442742e-02,5.93966036e-04,4.39312785e-03,5.93939055e-04,1.20194060e-03,3.59639984e-04,4.39311783e-03,4.50560387e-06,1.08382610e-07
6.94517777e-02,6.13464255e-04,4.53734606e-03,6.13436310e-04,1.24139803e-03,3.71503323e-04,4.53733572e-03,4.65962655e-06,1.11940667e-07
7.17317494e-02,6.33602592e-04,4.68629869e-03,6.33573643e-04,1.28215077e-03,3.83761931e-04,4.68628802e-03,4.81931898e-06,1.15615521e-07
7.40865683e-02,6.54402060e-04,4.84014115e-03,6.54372066e-04,1.32424135e-03,3.96429377e-04,4.84013014e-03,4.98492816e-06,1.19411003e-07
7.65186915e-02,6.75884365e-04,4.99903396e-03,6.75853281e-04,1.36771368e-03,4.09519737e-04,4.99902260e-03,5.15671509e-06,1.23331072e-07
7.90306568e-02,6.98071922e-04,5.16314292e-03,6.98039703e-04,1.41261312e-03,4.23047615e-04,5.16313119e-03,5.33495588e-06,1.27379813e-07
8.16250851e-02,7.20987885e-04,5.33263925e-03,7.20954480e-04,1.45898652e-03,4.37028166e-04,5.33262715e-03,5.51994277e-06,1.31561448e-07
8.43046837e-02,7.44656166e-04,5.50769982e-03,7.44621524e-04,1.50688227e-03,4.51477127e-04,5.50768734e-03,5.71198537e-06,1.35880334e-07
8.70722485e-02,7.69101462e-04,5.68850728e-03,7.69065529e-04,1.55635034e-03,4.66410836e-04,5.68849440e-03,5.91141196e-06,1.40340972e-07
8.99306672e-02,7.94349284e-04,5.87525028e-03,7.94312000e-04,1.60744235e-03,4.81846270e-04,5.87523699e-03,6.11857086e-06,1.44948011e-07
9.28829225e-02,8.20425977e-04,6.06812369e-03,8.20387281e-04,1.66021161e-03,4.97801067e-04,6.06810998e-03,6.33383196e-06,1.49706250e-07
9.59320948e-02,8.47358753e-04,6.26732873e-03,8.47318579e-04,1.71471318e-03,5.14293564e-04,6.26731459e-03,6.55758837e-06,1.54620646e-07
9.90813657e-02,8.75175716e-04,6.47307327e-03,8.75133995e-04,1.77100393e-03,5.31342832e-04,6.47305867e-03,6.79025816e-06,1.59696316e-07
1.02334021e-01,9.03905896e-04,6.68557197e-03,9.03862553e-04,1.82914260e-03,5.48968709e-04,6.68555691e-03,7.03228625e-06,1.64938547e-07
1.05693455e-01,9.33579272e-04,6.90504656e-03,9.33534228e-04,1.88918984e-03,5.67191844e-04,6.90503102e-03,7.28414656e-06,1.70352797e-07
1.09163173e-01,9.64226810e-04,7.13172602e-03,9.64179981e-04,1.95120831e-03,5.86033739e-04,7.13171000e-03,7.54634413e-06,1.75944700e-07
1.12746796e-01,9.95880493e-04,7.36584689e-03,9.95831789e-04,2.01526272e-03,6.05516790e-04,7.36583036e-03,7.81941758e-06,1.81720078e-07
1.16448062e-01,1.02857335e-03,7.60765343e-03,1.02852268e-03,2.08141991e-03,6.25664342e-04,7.60763637e-03,8.10394170e-06,1.87684938e-07
1.20270833e-01,1.06233951e-03,7.85739793e-03,1.06228676e-03,2.14974890e-03,6.46500736e-04,7.85738034e-03,8.40053022e-06,1.93845486e-07
1.24219100e-01,1.09721420e-03,8.11534099e-03,1.09715926e-03,2.22032100e-03,6.68051368e-04,8.11532283e-03,8.70983882e-06,2.00208129e-07
1.28296980e-01,1.13323381e-03,8.38175171e-03,1.13317657e-03,2.29320983e-03,6.90342747e-04,8.38173299e-03,9.03256837e-06,2.06779482e-07
1.32508729e-01,1.17043594e-03,8.65690808e-03,1.17037627e-03,2.36849146e-03,7.13402561e-04,8.65688876e-03,9.36946843e-06,2.13566376e-07
1.36858742e-01,1.20885942e-03,8.94109717e-03,1.20879718e-03,2.44624442e-03,7.37259745e-04,8.94107724e-03,9.72134093e-06,2.20575864e-07
1.41351558e-01,1.24854433e-03,9.23461550e-03,1.24847938e-03,2.52654985e-03,7.61944555e-04,9.23459494e-03,1.00890443e-05,2.27815228e-07
1.45991865e-01,1.28953211e-03,9.53776930e-03,1.28946428e-03,2.60949154e-03,7.87488651e-04,9.53774809e-03,1.04734975e-05,2.35291986e-07
1.50784505e-01,1.33186551e-03,9.85087488e-03,1.33179464e-03,2.69515603e-03,8.13925182e-04,9.85085299e-03,1.08756852e-05,2.43013900e-07
1.55734477e-01,1.37558874e-03,1.01742589e-02,1.37551464e-03,2.78363270e-03,8.41288877e-04,1.01742363e-02,1.12966620e-05,2.50988985e-07
1.60846948e-01,1.42074742e-03,1.05082588e-02,1.42066989e-03,2.87501387e-03,8.69616148e-04,1.05082355e-02,1.17375584e-05,2.59225515e-07
1.66127252e-01,1.46738868e-03,1.08532229e-02,1.46730750e-03,2.96939489e-03,8.98945197e-04,1.08531989e-02,1.21995860e-05,2.67732032e-07
1.71580899e-01,1.51556121e-03,1.12095113e-02,1.51547615e-03,3.06687423e-03,9.29316135e-04,1.12094865e-02,1.26840439e-05,2.76517354e-07
1.77213578e-01,1.56531528e-03,1.15774956e-02,1.56522608e-03,3.16755360e-03,9.60771106e-04,1.15774700e-02,1.31923249e-05,2.85590584e-07
1.83031168e-01,1.61670283e-03,1.19575598e-02,1.61660922e-03,3.27153806e-03,9.93354424e-04,1.19575334e-02,1.37259225e-05,2.94961121e-07
1.89039738e-01,1.66977749e-03,1.23501004e-02,1.66967917e-03,3.37893609e-03,1.02711272e-03,1.23500731e-02,1.42864385e-05,3.04638664e-07
1.95245558e-01,1.72459467e-03,1.27555268e-02,1.72449131e-03,3.48985975e-03,1.06209510e-03,1.27554987e-02,1.48755904e-05,3.14633226e-07
2.01655104e-01,1.78121158e-03,1.31742621e-02,1.78110283e-03,3.60442478e-03,1.09835333e-03,1.31742331e-02,1.54952202e-05,3.24955145e-07
2.08275063e-01,1.83968733e-03,1.36067432e-02,1.83957280e-03,3.72275071e-03,1.13594201e-03,1.36067132e-02,1.61473029e-05,3.35615087e-07
2.15112343e-01,1.90008296e-03,1.40534211e-02,1.89996222e-03,3.84496101e-03,1.17491875e-03,1.40533902e-02,1.68339564e-05,3.46624063e-07
2.22174078e-01,1.96246153e-03,1.45147620e-02,1.96233412e-03,3.97118318e-03,1.21534445e-03,1.45147301e-02,1.75574512e-05,3.57993436e-07
2.29467637e-01,2.02688814e-03,1.49912470e-02,2.02675356e-03,4.10154891e-03,1.25728349e-03,1.49912141e-02,1.83202212e-05,3.69734933e-07
2.37000629e-01,2.09343008e-03,1.54833733e-02,2.09328777e-03,4.23619423e-03,1.30080400e-03,1.54833393e-02,1.91248753e-05,3.81860656e-07
2.44780916e-01,2.16215681e-03,1.59916542e-02,2.16200617e-03,4.37525963e-03,1.34597811e-03,1.59916192e-02,1.99742088e-05,3.94383093e-07
2.52816614e-01,2.23314010e-03,1.65166200e-02,2.23298045e-03,4.51889018e-03,1.39288229e-03,1.65165839e-02,2.08712171e-05,4.07315128e-07
2.61116110e-01,2.30645406e-03,1.70588183e-02,2.30628468e-03,4.66723576e-03,1.44159767e-03,1.70587810e-02,2.18191087e-05,4.20670055e-07
2.69688063e-01,2.38217526e-03,1.76188147e-02,2.38199534e-03,4.82045113e-03,1.49221033e-03,1.76187762e-02,2.28213195e-05,4.34461591e-07
2.78541416e-01,2.46038276e-03,1.81971933e-02,2.46019143e-03,4.97869615e-03,1.54481176e-03,1.81971536e-02,2.38815289e-05,4.48703882e-07
2.87685409e-01,2.54115826e-03,1.87945575e-02,2.54095453e-03,5.14213592e-03,1.59949920e-03,1.87945165e-02,2.50036753e-05,4.63411526e-07
2.97129582e-01,2.62458612e-03,1.94115304e-02,2.62436891e-03,5.31094097e-03,1.65637612e-03,1.94114881e-02,2.61919737e-05,4.78599574e-07
3.06883789e-01,2.71075348e-03,2.00487555e-02,2.71052162e-03,5.48528740e-03,1.71555268e-03,2.00487118e-02,2.74509342e-05,4.94283553e-07
3.16958209e-01,2.79975037e-03,2.07068974e-02,2.79950253e-03,5.66535712e-03,1.77714626e-03,2.07068523e-02,2.87853811e-05,5.10479472e-07
3.27363353e-01,2.89166976e-03,2.13866426e-02,2.89140450e-03,5.85133798e-03,1.84128197e-03,2.13865961e-02,3.02004744e-05,5.27203840e-07
3.38110078e-01,2.98660771e-03,2.20887002e-02,2.98632340e-03,6.04342403e-03,1.90809330e-03,2.20886521e-02,3.17017312e-05,5.44473678e-07
3.49209598e-01,3.08466341e-03,2.28138022e-02,3.08435829e-03,6.24181566e-03,1.97772275e-03,2.28137525e-02,3.32950494e-05,5.62306531e-07
3.60673495e-01,3.18593937e-03,2.35627049e-02,3.18561144e-03,6.44671985e-03,2.05032250e-03,2.35626537e-02,3.49867331e-05,5.80720484e-07
3.72513730e-01,3.29054145e-03,2.43361894e-02,3.29018850e-03,6.65835036e-03,2.12605516e-03,2.43361365e-02,3.67835187e-05,5.99734178e-07
3.84742658e-01,3.39857901e-03,2.51350623e-02,3.39819859e-03,6.87692798e-03,2.20509460e-03,2.51350077e-02,3.86926039e-05,6.19366819e-07
3.97373038e-01,3.51016503e-03,2.59601567e-02,3.50975440e-03,7.10268074e-03,2.28762681e-03,2.59601003e-02,4.07216777e-05,6.39638194e-07
4.10418050e-01,3.62541623e-03,2.68123329e-02,3.62497232e-03,7.33584413e-03,2.37385079e-03,2.68122747e-02,4.28789527e-05,6.60568688e-07
4.23891306e-01,3.74445319e-03,2.76924796e-02,3.74397258e-03,7.57666141e-03,2.46397957e-03,2.76924195e-02,4.51731999e-05,6.82179296e-07
4.37806863e-01,3.86740048e-03,2.86015144e-02,3.86687932e-03,7.82538379e-03,2.55824128e-03,2.86014524e-02,4.76137855e-05,7.04491636e-07
4.52179242e-01,3.99438681e-03,2.95403853e-02,3.99382078e-03,8.08227073e-03,2.65688030e-03,2.95403212e-02,5.02107100e-05,7.27527962e-07
4.67023439e-01,4.12554518e-03,3.05100710e-02,4.12492941e-03,8.34759021e-03,2.76015846e-03,3.05100048e-02,5.29746507e-05,7.51311183e-07
4.82354943e-01,4.26101298e-03,3.15115824e-02,4.26034200e-03,8.62161898e-03,2.86835634e-03,3.15115141e-02,5.59170066e-05,7.75864871e-07
4.98189752e-01,4.40093223e-03,3.25459637e-02,4.40019984e-03,8.90464289e-03,2.98177474e-03,3.25458931e-02,5.90499464e-05,8.01213276e-07
5.14544388e-01,4.54544966e-03,3.36142930e-02,4.54464883e-03,9.19695717e-03,3.10073606e-03,3.36142201e-02,6.23864597e-05,8.27381338e-07
5.31435916e-01,4.69471693e-03,3.47176839e-02,4.69383969e-03,9.49886673e-03,3.22558601e-03,3.47176087e-02,6.59404129e-05,8.54394701e-07
5.48881961e-01,4.84889083e-03,3.58572864e-02,4.84792807e-03,9.81068645e-03,3.35669523e-03,3.58572088e-02,6.97266069e-05,8.82279719e-07
5.66900727e-01,5.00813340e-03,3.70342883e-02,5.00707473e-03,1.01327416e-02,3.49446112e-03,3.70342081e-02,7.37608413e-05,9.11063474e-07
5.85511016e-01,5.17261222e-03,3.82499160e-02,5.17144572e-03,1.04653681e-02,3.63930980e-03,3.82498332e-02,7.80599811e-05,9.40773779e-07
6.04732245e-01,5.34250059e-03,3.95054363e-02,5.34121251e-03,1.08089128e-02,3.79169809e-03,3.95053508e-02,8.26420291e-05,9.71439189e-07
6.24584471e-01,5.51797775e-03,4.08021573e-02,5.51655223e-03,1.11637340e-02,3.95211579e-03,4.08020691e-02,8.75262033e-05,1.00308901e-06
6.45088409e-01,5.69922921e-03,4.21414300e-02,5.69764780e-03,1.15302018e-02,4.12108787e-03,4.21413388e-02,9.27330198e-05,1.03575330e-06
6.66265452e-01,5.88644696e-03,4.35246494e-02,5.88468815e-03,1.19086984e-02,4.29917706e-03,4.35245553e-02,9.82843813e-05,1.06946288e-06
6.88137699e-01,6.07982988e-03,4.49532564e-02,6.07786842e-03,1.22996184e-02,4.48698636e-03,4.49531592e-02,1.04203672e-04,1.10424932e-06
7.10727970e-01,6.27958407e-03,4.64287387e-02,6.27739013e-03,1.27033696e-02,4.68516185e-03,4.64286383e-02,1.10515861e-04,1.14014497e-06
7.34059837e-01,6.48592331e-03,4.79526328e-02,6.48346145e-03,1.31203728e-02,4.89439563e-03,4.79525291e-02,1.17247607e-04,1.17718291e-06
