# worst in-envelope corner for the MIMO controller: I_tot0=2.0 r0=0.3 dV0=-0.4 share={'dV0': -0.4, 'Td': 0.002, 'taur': 0.0003, 'tauf': 0.0008} drive={'K_v': 2.0, 'pole_factor': 0.5, 'tau_v': 0.005, 'Td_v': 0.004}
w_rad_s,dec_sigma_So,mimo_sigma_So
1.00000000e-02,1.20522775e-04,2.43771444e-04
1.03282813e-02,1.24474827e-04,2.51774053e-04
1.06673394e-02,1.28556686e-04,2.60039377e-04
1.10175281e-02,1.32772617e-04,2.68576042e-04
1.13792129e-02,1.37127022e-04,2.77392955e-04
1.17527712e-02,1.41624452e-04,2.86499318e-04
1.21385926e-02,1.46269601e-04,2.95904634e-04
1.25370799e-02,1.51067322e-04,3.05618717e-04
1.29486487e-02,1.56022625e-04,3.15651704e-04
1.33737286e-02,1.61140683e-04,3.26014065e-04
1.38127630e-02,1.66426840e-04,3.36716614e-04
1.42662102e-02,1.71886616e-04,3.47770521e-04
1.47345431e-02,1.77525709e-04,3.59187320e-04
1.52182505e-02,1.83350008e-04,3.70978927e-04
1.57178372e-02,1.89365590e-04,3.83157646e-04
1.62338243e-02,1.95578737e-04,3.95736189e-04
1.67667503e-02,2.01995932e-04,4.08727683e-04
1.73171713e-02,2.08623874e-04,4.22145685e-04
1.78856616e-02,2.15469481e-04,4.36004201e-04
1.84728144e-02,2.22539897e-04,4.50317694e-04
1.90792422e-02,2.29842501e-04,4.65101104e-04
1.97055780e-02,2.37384914e-04,4.80369860e-04
2.03524752e-02,2.45175008e-04,4.96139899e-04
2.10206088e-02,2.53220912e-04,5.12427681e-04
2.17106760e-02,2.61531024e-04,5.29250209e-04
2.24233968e-02,2.70114014e-04,5.46625041e-04
2.31595149e-02,2.78978840e-04,5.64570316e-04
2.39197984e-02,2.88134753e-04,5.83104767e-04
2.47050406e-02,2.97591307e-04,6.02247741e-04
2.55160607e-02,3.07358369e-04,6.22019226e-04
2.63537052e-02,3.17446133e-04,6.42439863e-04
2.72188479e-02,3.27865123e-04,6.63530974e-04
2.81123917e-02,3.38626214e-04,6.85314581e-04
2.90352688e-02,3.49740632e-04,7.07813432e-04
2.99884423e-02,3.61219977e-04,7.31051022e-04
3.09729067e-02,3.73076227e-04,7.55051621e-04
3.19896892e-02,3.85321752e-04,7.79840298e-04
3.30398507e-02,3.97969332e-04,8.05442946e-04
3.41244871e-02,4.11032163e-04,8.31886314e-04
3.52447300e-02,4.24523875e-04,8.59198031e-04
3.64017485e-02,4.38458548e-04,8.87406639e-04
3.75967497e-02,4.52850720e-04,9.16541621e-04
3.88309805e-02,4.67715410e-04,9.46633437e-04
4.01057288e-02,4.83068128e-04,9.77713551e-04
4.14223247e-02,4.98924894e-04,1.00981447e-03
4.27821420e-02,5.15302253e-04,1.04296978e-03
4.41865996e-02,5.32217295e-04,1.07721419e-03
4.56371628e-02,5.49687670e-04,1.11258355e-03
4.71353453e-02,5.67731606e-04,1.14911491e-03
4.86827104e-02,5.86367933e-04,1.18684657e-03
5.02808725e-02,6.05616095e-04,1.22581812e-03
5.19314994e-02,6.25496178e-04,1.26607046e-03
5.36363132e-02,6.46028924e-04,1.30764591e-03
5.53970928e-02,6.67235760e-04,1.35058824e-03
5.72156756e-02,6.89138813e-04,1.39494271e-03
5.90939590e-02,7.11760937e-04,1.44075620e-03
6.10339029e-02,7.35125739e-04,1.48807725e-03
6.30375315e-02,7.59257597e-04,1.53695619e-03
6.51069356e-02,7.84181693e-04,1.58744524e-03
6.72442742e-02,8.09924033e-04,1.63959873e-03
6.94517777e-02,8.36511477e-04,1.69347326e-03
7.17317494e-02,8.63971770e-04,1.74912808e-03
7.40865683e-02,8.92333564e-04,1.80662553e-03
7.65186915e-02,9.21626454e-04,1.86603184e-03
7.90306568e-02,9.51881005e-04,1.92741845e-03
8.16250851e-02,9.83128787e-04,1.99086440e-03
8.43046837e-02,1.01540240e-03,2.05646109e-03
8.70722485e-02,1.04873554e-03,2.12432254e-03
8.99306672e-02,1.08316296e-03,2.19461045e-03
9.28829225e-02,1.11872060e-03,2.26760480e-03
9.59320948e-02,1.15544557e-03,2.34394161e-03
9.90813657e-02,1.19337618e-03,2.42550657e-03
1.02334021e-01,1.23255201e-03,2.51701922e-03
1.05693455e-01,1.27301394e-03,2.62043843e-03
1.09163173e-01,1.31480419e-03,2.73185591e-03
1.12746796e-01,1.35796637e-03,2.84908434e-03
1.16448062e-01,1.40254552e-03,2.97151009e-03
1.20270833e-01,1.44858816e-03,3.09899139e-03
1.24219100e-01,1.49614232e-03,3.23153601e-03
1.28296980e-01,1.54525764e-03,3.36920857e-03
1.32508729e-01,1.59598537e-03,3.51209913e-03
1.36858742e-01,1.64837843e-03,3.66031097e-03
1.41351558e-01,1.70249150e-03,3.81395540e-03
1.45991865e-01,1.75838105e-03,3.97314940e-03
1.50784505e-01,1.81610540e-03,4.13801465e-03
1.55734477e-01,1.87572479e-03,4.30867719e-03
1.60846948e-01,1.93730143e-03,4.48526747e-03
1.66127252e-01,2.00089957e-03,4.66792053e-03
1.71580899e-01,2.06658559e-03,4.85677636e-03
1.77213578e-01,2.13442803e-03,5.05198032e-03
1.83031168e-01,2.20449769e-03,5.25368357e-03
1.89039738e-01,2.27686769e-03,5.46204352e-03
1.95245558e-01,2.35161355e-03,5.67722432e-03
2.01655104e-01,2.42881327e-03,5.89939734e-03
2.08275063e-01,2.50854742e-03,6.12874159e-03
2.15112343e-01,2.59089922e-03,6.36544422e-03
2.22174078e-01,2.67595460e-03,6.60970094e-03
2.29467637e-01,2.76380232e-03,6.86171642e-03
2.37000629e-01,2.85453408e-03,7.12170473e-03
2.44780916e-01,2.94824456e-03,7.38988972e-03
2.52816614e-01,3.04503156e-03,7.66650537e-03
2.61116110e-01,3.14499610e-03,7.95179617e-03
2.69688063e-01,3.24824251e-03,8.24601748e-03
2.78541416e-01,3.35487854e-03,8.54943584e-03
2.87685409e-01,3.46501551e-03,8.86232931e-03
2.97129582e-01,3.57876836e-03,9.18498780e-03
3.06883789e-01,3.69625583e-03,9.51771337e-03
3.16958209e-01,3.81760054e-03,9.86082054e-03
3.27363353e-01,3.94292917e-03,1.02146366e-02
3.38110078e-01,4.07237253e-03,1.05795021e-02
3.49209598e-01,4.20606575e-03,1.09557707e-02
3.60673495e-01,4.34414840e-03,1.13438102e-02
3.72513730e-01,4.48676461e-03,1.17440021e-02
3.84742658e-01,4.63406328e-03,1.21567426e-02
3.97373038e-01,4.78619820e-03,1.25824428e-02
4.10418050e-01,4.94332819e-03,1.30215287e-02
4.23891306e-01,5.10561733e-03,1.34744419e-02
4.37806863e-01,5.27323505e-03,1.39416403e-02
4.52179242e-01,5.44635639e-03,1.44235979e-02
4.67023439e-01,5.62516213e-03,1.49208057e-02
4.82354943e-01,5.80983900e-03,1.54337719e-02
4.98189752e-01,6.00057987e-03,1.59630226e-02
5.14544388e-01,6.19758396e-03,1.65091024e-02
5.31435916e-01,6.40105704e-03,1.70725746e-02
5.48881961e-01,6.61121166e-03,1.76540219e-02
5.66900727e-01,6.82826736e-03,1.82540472e-02
5.85511016e-01,7.05245092e-03,1.88732740e-02
6.04732245e-01,7.28399657e-03,1.95123471e-02
6.24584471e-01,7.52314629e-03,2.01719334e-02
6.45088409e-01,7.77014999e-03,2.08527223e-02
6.66265452e-01,8.02526586e-03,2.15554269e-02
6.88137699e-01,8.28876058e-03,2.22807845e-02
7.10727970e-01,8.56090964e-03,2.30295574e-02
7.34059837e-01,8.84199762e-03,2.38025339e-02
7.58157646e-01,9.13231848e-03,2.46005290e-02
7.83046540e-01,9.43217591e-03,2.54243857e-02
8.08752491e-01,9.74188363e-03,2.62749755e-02
8.35302320e-01,1.00617657e-02,2.71531998e-02
8.62723729e-01,1.03921571e-02,2.80599908e-02
8.91045332e-01,1.07334036e-02,2.89963128e-02
9.20296681e-01,1.10858625e-02,2.99631630e-02
9.50508296e-01,1.14499033e-02,3.09615732e-02
9.81711702e-01,1.18259072e-02,3.19926109e-02
1.01393946e+00,1.22142687e-02,3.30573804e-02
1.04722519e+00,1.26153949e-02,3.41570246e-02
1.08160363e+00,1.30297067e-02,3.52927265e-02
1.11711065e+00,1.34576391e-02,3.64657102e-02
1.15378330e+00,1.38996417e-02,3.76772434e-02
1.19165984e+00,1.43561789e-02,3.89286383e-02
1.23077980e+00,1.48277310e-02,4.02212540e-02
1.27118400e+00,1.53147943e-02,4.15564982e-02
1.31291459e+00,1.58178820e-02,4.29358292e-02
1.35601511e+00,1.63375247e-02,4.43607580e-02
1.40053055e+00,1.68742709e-02,4.58328506e-02
1.44650734e+00,1.74286880e-02,4.73537304e-02
1.49399346e+00,1.80013629e-02,4.89250806e-02
1.54303847e+00,1.85929029e-02,5.05486467e-02
1.59369353e+00,1.92039362e-02,5.22262400e-02
1.64601150e+00,1.98351134e-02,5.39597394e-02
1.70004698e+00,2.04871078e-02,5.57510957e-02
1.75585633e+00,2.11606171e-02,5.76023342e-02
1.81349780e+00,2.18563643e-02,5.95155584e-02
1.87303154e+00,2.25750990e-02,6.14929539e-02
1.93451965e+00,2.33175990e-02,6.35367924e-02
1.99802631e+00,2.40846719e-02,6.56494356e-02
2.06361777e+00,2.48771572e-02,6.78333404e-02
2.13136247e+00,2.56959283e-02,7.00910630e-02
2.20133111e+00,2.65418953e-02,7.24252648e-02
2.27359668e+00,2.74160084e-02,7.48387172e-02
2.34823460e+00,2.83192612e-02,7.73343081e-02
2.42532274e+00,2.92526963e-02,7.99150480e-02
2.50494154e+00,3.02174109e-02,8.25840767e-02
2.58717408e+00,3.12145645e-02,8.53446706e-02
2.67210616e+00,3.22453898e-02,8.82002505e-02
2.75982639e+00,3.33112058e-02,9.11543902e-02
2.85042632e+00,3.44134370e-02,9.42108248e-02
2.94400048e+00,3.55536393e-02,9.73734613e-02
3.04064649e+00,3.67335377e-02,1.00646388e-01
3.14046522e+00,3.79550808e-02,1.04033887e-01
3.24356081e+00,3.92205236e-02,1.07540444e-01
3.35004083e+00,4.05325549e-02,1.11170764e-01
3.46001639e+00,4.18945009e-02,1.14929783e-01
3.57360225e+00,4.33106608e-02,1.18822684e-01
3.69091691e+00,4.47868801e-02,1.22854915e-01
3.81208280e+00,4.63315608e-02,1.27032202e-01
3.93722633e+00,4.79574898e-02,1.31360573e-01
4.06647809e+00,4.96851578e-02,1.35846375e-01
4.19997295e+00,5.15484136e-02,1.40496299e-01
4.33785019e+00,5.36018299e-02,1.45317401e-01
4.48025368e+00,5.59215658e-02,1.50317132e-01
4.62733201e+00,5.85810565e-02,1.55503362e-01
4.77923865e+00,6.16091908e-02,1.60884412e-01
4.93613210e+00,6.49864346e-02,1.66469090e-01
5.09817606e+00,6.86797646e-02,1.72266721e-01
5.26553963e+00,7.26658131e-02,1.78287195e-01
5.43839743e+00,7.69338155e-02,1.84540998e-01
5.61692982e+00,8.14820922e-02,1.91039270e-01
5.80132310e+00,8.63147001e-02,1.97793845e-01
5.99176967e+00,9.14392911e-02,2.04817314e-01
6.18846824e+00,9.68658668e-02,2.12123077e-01
6.39162405e+00,1.02606064e-01,2.19725415e-01
6.60144909e+00,1.08672743e-01,2.27639554e-01
6.81816229e+00,1.15079741e-01,2.35881747e-01
7.04198979e+00,1.21841732e-01,2.44469356e-01
7.27316511e+00,1.28974145e-01,2.53420943e-01
7.51192949e+00,1.36493121e-01,2.62756373e-01
7.75853206e+00,1.44415496e-01,2.72496917e-01
8.01323013e+00,1.52758804e-01,2.82665380e-01
8.27628946e+00,1.61541307e-01,2.93286224e-01
8.54798453e+00,1.70782020e-01,3.04385711e-01
8.82859884e+00,1.80500772e-01,3.15992062e-01
9.11842520e+00,1.90718267e-01,3.28135618e-01
9.41776601e+00,2.01456169e-01,3.40849029e-01
9.72693362e+00,2.12737198e-01,3.54167450e-01
1.00462506e+01,2.24585248e-01,3.68128754e-01
1.03760502e+01,2.37025526e-01,3.82773765e-01
