label,I_tot0_A,r0,dV0_V,Td_s,taur_s,tauf_s,K_v,pole_factor,tau_v_s,Td_v_s,dec_sigma_So,mimo_sigma_So,dec_S11,mimo_S11,dec_S22,mimo_S22,dec_T_alpha_vref,mimo_T_alpha_vref
K-out-of-envelope,0.5,0.3,0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,5.770147,4.040579,2.230459,1.630266,2.406213,1.669881,5.26978085e+00,3.69495651e+00
K-out-of-envelope,0.5,0.3,0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,5.472618,4.468521,2.230459,1.695345,1.310091,1.112531,5.07759316e+00,4.08438043e+00
K-out-of-envelope,0.5,0.3,0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,5.426938,4.657598,2.230459,1.669038,1.863121,1.456095,5.10717528e+00,4.30512224e+00
K-out-of-envelope,0.5,0.3,0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,3.835696,3.736658,2.230459,1.655973,1.490743,1.274096,3.64071006e+00,3.36585393e+00
in-envelope,0.5,0.3,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,0.5,0.3,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,0.5,0.3,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,0.5,0.3,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
K-out-of-envelope,0.5,0.3,0.4,0.0005,2e-05,0.0,2.0,0.5,0.005,0.004,5.629996,3.899456,1.194963,1.219965,2.406213,1.671640,5.11367164e+00,3.52823145e+00
K-out-of-envelope,0.5,0.3,0.4,0.0005,2e-05,0.0,0.5,2.0,0.0005,0.001,3.781310,3.321075,1.194963,1.256265,1.310091,1.112721,3.60125311e+00,3.02796106e+00
K-out-of-envelope,0.5,0.3,0.4,0.0005,2e-05,0.0,2.0,2.0,0.0005,0.004,5.143326,3.787523,1.194963,1.239691,1.863121,1.457679,4.83014220e+00,3.50325628e+00
K-out-of-envelope,0.5,0.3,0.4,0.0005,2e-05,0.0,1.0,1.0,0.005,0.001,3.541980,3.084081,1.194963,1.234114,1.490743,1.274629,3.31564411e+00,2.81715134e+00
in-envelope,0.5,0.3,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,0.5,0.3,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
in-envelope,0.5,0.3,0.0,0.0005,0.0003,0.0,2.0,2.0,0.0005,0.004,1.863615,1.484801,1.128365,1.146205,1.863121,1.462190,0.00000000e+00,2.33274743e-01
in-envelope,0.5,0.3,0.0,0.0005,0.0003,0.0,1.0,1.0,0.005,0.001,1.490958,1.292939,1.128365,1.146227,1.490743,1.277790,0.00000000e+00,1.95685136e-01
in-envelope,0.5,0.5,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,0.5,0.5,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,0.5,0.5,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,0.5,0.5,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
in-envelope,0.5,0.5,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,0.5,0.5,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
in-envelope,0.5,0.5,0.0,0.0005,0.0003,0.0,2.0,2.0,0.0005,0.004,1.863615,1.484801,1.128365,1.146205,1.863121,1.462190,0.00000000e+00,2.33274743e-01
in-envelope,0.5,0.5,0.0,0.0005,0.0003,0.0,1.0,1.0,0.005,0.001,1.490958,1.292939,1.128365,1.146227,1.490743,1.277790,0.00000000e+00,1.95685136e-01
K-out-of-envelope,0.5,0.7,-0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,5.770147,4.439839,2.230459,1.650875,2.406213,1.676973,5.26978085e+00,4.12326513e+00
K-out-of-envelope,0.5,0.7,-0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,5.472618,4.659419,2.230459,1.588831,1.310091,1.117768,5.07759316e+00,4.33455391e+00
K-out-of-envelope,0.5,0.7,-0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,5.426938,4.933411,2.230459,1.613352,1.863121,1.469476,5.10717528e+00,4.62484609e+00
K-out-of-envelope,0.5,0.7,-0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,3.835696,4.091777,2.230459,1.625269,1.490743,1.281670,3.64071006e+00,3.76388169e+00
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,2.0,0.5,0.005,0.004,5.671849,4.319582,1.379478,1.343266,2.406213,1.675220,5.16052548e+00,3.98817219e+00
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,0.5,2.0,0.0005,0.001,3.967517,3.810511,1.379478,1.302309,1.310091,1.117590,3.78775317e+00,3.53988044e+00
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,2.0,2.0,0.0005,0.004,5.211402,4.210758,1.379478,1.322574,1.863121,1.467958,4.90831854e+00,3.95849420e+00
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,1.0,1.0,0.005,0.001,3.609525,3.489970,1.379478,1.327043,1.490743,1.281163,3.39208662e+00,3.24905258e+00
in-envelope,0.5,0.7,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,0.5,0.7,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
