t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
5.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
3.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
3.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
4.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
4.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
