t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
3.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
4.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
5.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
6.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
7.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
8.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
9.0000000e-03,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.1000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.2000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.3000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.4000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.6000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.7000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.8000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
1.9000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.0000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.1000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.2000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.3000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.4000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
2.5000000e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,5.0000000e-01
