t,seq,V_fc,V_batt,V_bus,V_chg,V_rgn,I_fc,I_batt,v_actual,I_charge,ag105_status,state,switch,aux,current,mdac_fc,mdac_bt,fault_flags,soc,elec_substep_hz,elec_events,cmd_v_sp,cmd_share_sp,h2_rate_gps,h2_cum_g,h2_sdp_cum_g,cmd_share_sp_raw,mppt_thresh_cnt,error_code,p_mot_w,p_fc_w,p_batt_w,p_chop_w,p_aux_w,p_bal_w
0.000000,0,,,15.9389,,,0.0598,0.0902,0.00000,0.0000,0x00,2,39,3,,6129,4967,0,0.70000,,,0.00000,0.15000,1.97944353e-05,1.97944353e-06,,,,0,,,,,,
0.100000,1,,,15.9389,,,0.0308,0.1192,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.70000,,,0.00000,0.15000,1.01948784e-05,2.99893137e-06,,,,0,,,,,,
0.200000,2,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.70000,,,0.00000,0.15000,7.44151705e-06,3.74308308e-06,,,,0,,,,,,
0.300000,3,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.70000,,,0.00000,0.15000,7.44151705e-06,4.48723478e-06,,,,0,,,,,,
0.400000,4,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69999,,,0.00000,0.15000,7.44151705e-06,5.23138649e-06,,,,0,,,,,,
0.500000,5,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69999,,,0.00000,0.15000,7.44151705e-06,5.97553819e-06,,,,0,,,,,,
0.600000,6,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69999,,,0.00000,0.15000,7.44151705e-06,6.71968989e-06,,,,0,,,,,,
0.700000,7,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69999,,,0.00000,0.15000,7.44151705e-06,7.4638416e-06,,,,0,,,,,,
0.800000,8,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69999,,,0.00000,0.15000,7.44151705e-06,8.2079933e-06,,,,0,,,,,,
0.900000,9,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69999,,,0.00000,0.15000,7.44151705e-06,8.95214501e-06,,,,0,,,,,,
1.000000,10,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69998,,,0.00000,0.15000,7.44151705e-06,9.69629671e-06,,,,0,,,,,,
1.100000,11,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69998,,,0.00000,0.15000,7.44151705e-06,1.04404484e-05,,,,0,,,,,,
1.200000,12,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69998,,,0.00000,0.15000,7.44151705e-06,1.11846001e-05,,,,0,,,,,,
1.300000,13,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69998,,,0.00000,0.15000,7.44151705e-06,1.19287518e-05,,,,0,,,,,,
1.400000,14,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69998,,,0.00000,0.15000,7.44151705e-06,1.26729035e-05,,,,0,,,,,,
1.500000,15,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69998,,,0.00000,0.15000,7.44151705e-06,1.34170552e-05,,,,0,,,,,,
1.600000,16,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69997,,,0.00000,0.15000,7.44151705e-06,1.41612069e-05,,,,0,,,,,,
1.700000,17,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69997,,,0.00000,0.15000,7.44151705e-06,1.49053586e-05,,,,0,,,,,,
1.800000,18,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69997,,,0.00000,0.15000,7.44151705e-06,1.56495104e-05,,,,0,,,,,,
1.900000,19,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69997,,,0.00000,0.15000,7.44151705e-06,1.63936621e-05,,,,0,,,,,,
2.000000,20,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69997,,,0.00000,0.15000,7.44151705e-06,1.71378138e-05,,,,0,,,,,,
2.100000,21,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69997,,,0.00000,0.15000,7.44151705e-06,1.78819655e-05,,,,0,,,,,,
2.200000,22,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69996,,,0.00000,0.15000,7.44151705e-06,1.86261172e-05,,,,0,,,,,,
2.300000,23,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69996,,,0.00000,0.15000,7.44151705e-06,1.93702689e-05,,,,0,,,,,,
2.400000,24,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69996,,,0.00000,0.15000,7.44151705e-06,2.01144206e-05,,,,0,,,,,,
2.500000,25,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69996,,,0.00000,0.15000,7.44151705e-06,2.08585723e-05,,,,0,,,,,,
2.600000,26,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69996,,,0.00000,0.15000,7.44151705e-06,2.1602724e-05,,,,0,,,,,,
2.700000,27,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69995,,,0.00000,0.15000,7.44151705e-06,2.23468757e-05,,,,0,,,,,,
2.800000,28,,,15.9389,,,0.0225,0.1275,0.00000,0.0000,0x00,2,39,3,,8163,4813,0,0.69995,,,0.00000,0.15000,7.44151705e-06,2.30910274e-05,,,,0,,,,,,
