t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
134367410,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54747581,8.42853069,0,13.2952528,0,,,,2
134368739,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.54747581,8.43275356,0,13.288105,0,,,,2
134369864,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.55048943,8.43064213,0,13.2952528,0,,,,2
134370989,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.43064213,0,13.2952528,0,,,,2
134372115,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.43064213,0,13.2952528,0,,,,2
134373240,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.52336502,8.43275356,0,13.3024006,0,,,,2
134374365,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.5444622,8.43486404,0,13.288105,0,,,,2
134375490,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.5565176,8.43486404,0,13.288105,0,,,,2
134376626,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55953121,8.42641926,0,13.2952528,0,,,,2
134377751,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.58967113,8.42641926,0,13.2952528,0,,,,2
134378877,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55350399,8.42641926,0,13.2952528,0,,,,2
134380002,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55350399,8.42853069,0,13.2952528,0,,,,2
134381127,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55350399,8.42430782,0,13.288105,0,,,,2
134382252,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53843403,8.42853069,0,13.2952528,0,,,,2
134383377,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.5444622,8.42853069,0,13.2952528,0,,,,2
134384507,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52637863,8.42853069,0,13.2952528,0,,,,2
134385632,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55350399,8.42853069,0,13.3024006,0,,,,2
134386757,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.57460117,8.42853069,0,13.2952528,0,,,,2
134387882,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.53542042,8.42853069,0,13.2952528,0,,,,2
134389212,0.5,1,0,0,0.0241758227,0,0,0,15.9440527,0,8.5565176,8.42641926,0,13.2952528,0,,,,2
134390337,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52035046,8.42853069,0,13.2952528,0,,,,2
134391462,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.2952528,0,,,,2
134392587,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54747581,8.42853069,0,13.2952528,0,,,,2
134393717,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.52336502,8.42853069,0,13.2952528,0,,,,2
134394842,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56555939,8.42219639,0,13.2952528,0,,,,2
134395967,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134397092,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.57158756,8.42853069,0,13.2952528,0,,,,2
134398218,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.51733685,8.42853069,0,13.3024006,0,,,,2
134399343,0.5,1,0,0,0.00805860758,0,0,0,15.9395075,0,8.52336502,8.42641926,0,13.2952528,0,,,,2
134400468,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53843403,8.42641926,0,13.2952528,0,,,,2
134401598,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.42853069,0,13.288105,0,,,,2
134402723,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54144764,8.42641926,0,13.2952528,0,,,,2
134403848,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.54747581,8.42641926,0,13.2952528,0,,,,2
134404973,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.58062935,8.42641926,0,13.2952528,0,,,,2
134406099,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55048943,8.42853069,0,13.288105,0,,,,2
134407224,0.5,1,0,0,0.0161172152,0,0,0,15.9440527,0,8.5565176,8.42430782,0,13.2952528,0,,,,2
134408349,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54747581,8.43064213,0,13.2952528,0,,,,2
134409475,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.51130867,8.42853069,0,13.2952528,0,,,,2
134410809,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5444622,8.42641926,0,13.2952528,0,,,,2
134411934,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.56254578,8.42853069,0,13.2952528,0,,,,2
134413059,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55350399,8.42853069,0,13.2809572,0,,,,2
134414184,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.42853069,0,13.2952528,0,,,,2
134415309,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55048943,8.42853069,0,13.2952528,0,,,,2
134416434,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55953121,8.42219639,0,13.2952528,0,,,,2
134417560,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53542042,8.42853069,0,13.2952528,0,,,,2
134418690,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55953121,8.42008495,0,13.2952528,0,,,,2
134419815,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55953121,8.42641926,0,13.2952528,0,,,,2
134420940,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.53240585,8.42853069,0,13.2952528,0,,,,2
134422065,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.2809572,0,,,,2
134423190,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.568573,8.42853069,0,13.2952528,0,,,,2
134424315,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134425440,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55350399,8.42853069,0,13.2952528,0,,,,2
134426566,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52637863,8.42853069,0,13.3024006,0,,,,2
134427696,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55048943,8.42853069,0,13.2952528,0,,,,2
134428821,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.5565176,8.42641926,0,13.2952528,0,,,,2
134429946,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.42853069,0,13.2952528,0,,,,2
134431276,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56555939,8.42853069,0,13.2952528,0,,,,2
134432401,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53843403,8.42008495,0,13.2952528,0,,,,2
134433526,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52939224,8.42641926,0,13.2952528,0,,,,2
134434651,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.51733685,8.42641926,0,13.3024006,0,,,,2
134435781,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.51733685,8.42641926,0,13.2952528,0,,,,2
134436906,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53843403,8.42641926,0,13.2952528,0,,,,2
134438031,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.49623966,8.42853069,0,13.288105,0,,,,2
134439156,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.51130867,8.43064213,0,13.2952528,0,,,,2
134440281,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.42853069,0,13.2952528,0,,,,2
134441407,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.42641926,0,13.2952528,0,,,,2
134442532,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54747581,8.42008495,0,13.2952528,0,,,,2
134443657,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42641926,0,13.2952528,0,,,,2
134444787,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56555939,8.42641926,0,13.2952528,0,,,,2
134445912,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42853069,0,13.3024006,0,,,,2
134447037,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.57460117,8.42641926,0,13.288105,0,,,,2
134448162,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.5565176,8.42853069,0,13.2952528,0,,,,2
134449287,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.52939224,8.42853069,0,13.3024006,0,,,,2
134450413,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.57158756,8.42641926,0,13.2952528,0,,,,2
134451538,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.51733685,8.42853069,0,13.2952528,0,,,,2
134452872,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42641926,0,13.2952528,0,,,,2
134453997,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.56254578,8.42853069,0,13.2952528,0,,,,2
134455122,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54144764,8.42853069,0,13.2952528,0,,,,2
134456247,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.568573,8.42219639,0,13.2952528,0,,,,2
134457373,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134458498,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.2952528,0,,,,2
134459623,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.59569836,8.42853069,0,13.2952528,0,,,,2
134460748,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.52939224,8.42853069,0,13.2952528,0,,,,2
134461878,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52035046,8.42641926,0,13.2952528,0,,,,2
134463003,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5444622,8.42641926,0,13.2952528,0,,,,2
134464128,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.51432323,8.42853069,0,13.2952528,0,,,,2
134465254,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.53240585,8.42853069,0,13.2952528,0,,,,2
134466379,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.42219639,0,13.2952528,0,,,,2
134467504,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134468629,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.42853069,0,13.2952528,0,,,,2
134469759,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.2952528,0,,,,2
134470884,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.51130867,8.42641926,0,13.2952528,0,,,,2
134472009,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134473338,0.5,1,0,0,0.0161172152,0,0,0,15.9440527,0,8.54144764,8.42853069,0,13.2952528,0,,,,2
134474464,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.53542042,8.42853069,0,13.2952528,0,,,,2
134475589,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56254578,8.42853069,0,13.3024006,0,,,,2
134476714,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42853069,0,13.2952528,0,,,,2
134477839,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.2952528,0,,,,2
134478969,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42641926,0,13.2952528,0,,,,2
134480095,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42853069,0,13.2952528,0,,,,2
134481220,0.5,1,0,0,0.0241758227,0,0,0,15.9440527,0,8.57158756,8.42853069,0,13.2952528,0,,,,2
134482345,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.42008495,0,13.2952528,0,,,,2
134483470,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.5444622,8.42853069,0,13.2952528,0,,,,2
134484596,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55350399,8.42853069,0,13.288105,0,,,,2
134485721,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42853069,0,13.2952528,0,,,,2
134486851,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52035046,8.42853069,0,13.2952528,0,,,,2
134487976,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134489101,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134490226,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.5444622,8.42641926,0,13.2952528,0,,,,2
134491351,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56555939,8.42853069,0,13.2952528,0,,,,2
134492476,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.57158756,8.42853069,0,13.2952528,0,,,,2
134493805,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.42219639,0,13.2952528,0,,,,2
134494931,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.54747581,8.42430782,0,13.2952528,0,,,,2
134496060,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52939224,8.42853069,0,13.2809572,0,,,,2
134497186,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.53843403,8.42853069,0,13.2952528,0,,,,2
134498311,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.5444622,8.42853069,0,13.3024006,0,,,,2
134499436,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54144764,8.42853069,0,13.2952528,0,,,,2
134500561,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.52939224,8.42853069,0,13.2952528,0,,,,2
134501686,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56254578,8.42853069,0,13.2952528,0,,,,2
134502812,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54144764,8.42641926,0,13.2952528,0,,,,2
134503942,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55350399,8.42853069,0,13.2952528,0,,,,2
134505067,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53240585,8.42853069,0,13.2809572,0,,,,2
134506192,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.57460117,8.42853069,0,13.288105,0,,,,2
134507317,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.58665657,8.42853069,0,13.2952528,0,,,,2
134508443,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.42853069,0,13.288105,0,,,,2
134509568,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55350399,8.42853069,0,13.2952528,0,,,,2
134510693,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52035046,8.42853069,0,13.2952528,0,,,,2
134511818,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56555939,8.42853069,0,13.3024006,0,,,,2
134512948,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54144764,8.42853069,0,13.2952528,0,,,,2
134514073,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.42430782,0,13.2809572,0,,,,2
134515403,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.5565176,8.42853069,0,13.2952528,0,,,,2
134516528,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.42641926,0,13.3024006,0,,,,2
134517653,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55953121,8.42641926,0,13.3024006,0,,,,2
134518778,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55953121,8.42853069,0,13.2952528,0,,,,2
134519903,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.57460117,8.42430782,0,13.2952528,0,,,,2
134521028,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.42641926,0,13.288105,0,,,,2
134522158,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.54747581,8.42641926,0,13.2952528,0,,,,2
134523283,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.53542042,8.42853069,0,13.288105,0,,,,2
134524409,0.5,1,0,0,0.00805860758,0,0,0,15.9349623,0,8.53843403,8.42853069,0,13.2952528,0,,,,2
134525534,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.49623966,8.41797352,0,13.2952528,0,,,,2
134526659,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42853069,0,13.2952528,0,,,,2
134527784,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.57761478,8.42853069,0,13.2952528,0,,,,2
134528910,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.51432323,8.42853069,0,13.2952528,0,,,,2
134530039,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.57761478,8.42853069,0,13.288105,0,,,,2
134531165,0.5,1,0,0,0.00805860758,0,0,0,15.9349623,0,8.55953121,8.42641926,0,13.2952528,0,,,,2
134532290,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.5444622,8.42853069,0,13.2952528,0,,,,2
134533415,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42008495,0,13.2952528,0,,,,2
134534540,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54144764,8.42853069,0,13.2952528,0,,,,2
134535869,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56254578,8.42641926,0,13.2952528,0,,,,2
134536994,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55953121,8.42430782,0,13.2952528,0,,,,2
134538120,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.57460117,8.42853069,0,13.2952528,0,,,,2
134539250,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52035046,8.42430782,0,13.2952528,0,,,,2
134540375,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55048943,8.42641926,0,13.2952528,0,,,,2
134541500,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55350399,8.42853069,0,13.2952528,0,,,,2
134542625,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53240585,8.42853069,0,13.2952528,0,,,,2
134543750,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.52637863,8.42853069,0,13.3024006,0,,,,2
134544875,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5444622,8.42853069,0,13.2952528,0,,,,2
134546001,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56254578,8.42853069,0,13.2952528,0,,,,2
134547130,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.53843403,8.42641926,0,13.2952528,0,,,,2
134548256,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.2952528,0,,,,2
134549381,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42430782,0,13.2952528,0,,,,2
134550506,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.42853069,0,13.2952528,0,,,,2
134551631,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.42641926,0,13.2952528,0,,,,2
134552756,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.51733685,8.42853069,0,13.2952528,0,,,,2
134553881,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.57761478,8.42641926,0,13.2952528,0,,,,2
134555007,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53240585,8.42853069,0,13.2952528,0,,,,2
