t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
24523173,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.52939224,8.42219639,0,13.2809572,0,0,0,,,,50
24524502,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.43275356,0,13.288105,0,0,0,,,,50
24525628,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.52637863,8.43064213,0,13.288105,0,0,0,,,,50
24526754,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55350399,8.42853069,0,13.288105,0,0,0,,,,50
24527879,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.53240585,8.42008495,0,13.288105,0,0,0,,,,50
24529005,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56254578,8.43064213,0,13.2809572,0,0,0,,,,50
24530131,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55953121,8.42853069,0,13.2809572,0,0,0,,,,50
24531267,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.42641926,0,13.288105,0,0,0,,,,50
24532393,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56555939,8.42641926,0,13.288105,0,0,0,,,,50
24533518,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.288105,0,0,0,,,,50
24534644,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.52336502,8.42641926,0,13.2809572,0,0,0,,,,50
24535770,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.42853069,0,13.288105,0,0,0,,,,50
24536895,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56254578,8.42853069,0,13.288105,0,0,0,,,,50
24538021,0.5,1,0,0,0.00805860758,0,0,0,15.9349623,0,8.54144764,8.42008495,0,13.2809572,0,0,0,,,,50
24539151,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.52939224,8.42641926,0,13.288105,0,0,0,,,,50
24540277,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.53542042,8.42641926,0,13.288105,0,0,0,,,,50
24541402,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55350399,8.42641926,0,13.288105,0,0,0,,,,50
24542528,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54747581,8.42641926,0,13.288105,0,0,0,,,,50
24543654,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.53542042,8.42853069,0,13.2952528,0,0,0,,,,50
24544983,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55953121,8.42641926,0,13.288105,0,0,0,,,,50
24546114,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55953121,8.42641926,0,13.288105,0,0,0,,,,50
24547239,0.5,1,0,0,0.0241758227,0,0,0,15.9440527,0,8.55048943,8.42641926,0,13.288105,0,0,0,,,,50
24548365,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53843403,8.42641926,0,13.288105,0,0,0,,,,50
24549491,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53843403,8.42641926,0,13.288105,0,0,0,,,,50
24550616,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.51733685,8.42641926,0,13.288105,0,0,0,,,,50
24551742,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.42853069,0,13.288105,0,0,0,,,,50
24552867,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.42641926,0,13.288105,0,0,0,,,,50
24553998,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52637863,8.42641926,0,13.288105,0,0,0,,,,50
24555124,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54144764,8.42853069,0,13.288105,0,0,0,,,,50
24556249,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56555939,8.42641926,0,13.2952528,0,0,0,,,,50
24557375,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.51130867,8.42641926,0,13.288105,0,0,0,,,,50
24558501,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56555939,8.42853069,0,13.288105,0,0,0,,,,50
24559626,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55350399,8.42853069,0,13.288105,0,0,0,,,,50
24560752,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.52336502,8.42641926,0,13.288105,0,0,0,,,,50
24561882,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.59569836,8.42219639,0,13.288105,0,0,0,,,,50
24563008,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.42641926,0,13.288105,0,0,0,,,,50
24564134,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52939224,8.42641926,0,13.288105,0,0,0,,,,50
24565259,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52336502,8.42641926,0,13.288105,0,0,0,,,,50
24566589,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.51130867,8.42641926,0,13.288105,0,0,0,,,,50
24567715,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55350399,8.42641926,0,13.288105,0,0,0,,,,50
24568845,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.57158756,8.42641926,0,13.288105,0,0,0,,,,50
