t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,enc_edge_count_a,enc_edge_count_b,enc_phase_ewma,enc_duty_a_ewma,enc_duty_b_ewma,fault_flags,ps_phase,dc_phase,trap_phase,flags
37791732,0.5,0,0,0,0,0,0,0,0,0,8.53843403,8.08860207,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37793069,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08860207,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37794196,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08860207,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37795323,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0907135,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37796450,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37797588,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37798715,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0.00714798551,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37799842,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37800969,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37802096,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37803228,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37804355,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37805483,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37806610,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37807737,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37808869,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37809996,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37811123,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37812250,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37813587,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37814719,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37815846,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37816974,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37818101,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
37819233,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,212,0,0,0,216,216,0,0,0,0,,,,50
