t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
2131328710,0.5,0.523809552,,,0.0886446834,0.0805860758,0.29826653,0.297675759,15.9304171,3,0,0,,,1
2131329818,0.5,0.642857134,,,0.217582405,0.120879114,0.300659865,0.295329571,15.9122372,3,0,0,,,1
2131330869,0.5,0.560000002,,,0.112820506,0.0886446834,0.305564582,0.290745467,15.9213276,3,0,0,,,1
2131331917,0.5,0.782608688,,,0.145054936,0.0402930379,0.313816935,0.283648133,15.9258718,3,0,0,,,1
2131332968,0.5,0.666666687,,,0.128937721,0.0644688606,0.326790571,0.273822457,15.9304171,3,0,0,,,1
2131334016,0.5,0.567567587,,,0.169230759,0.128937721,0.340280294,0.265019178,15.9122372,3,0,0,,,1
2131335067,0.5,0.538461566,,,0.112820506,0.0967032909,0.350117356,0.259344161,15.9122372,3,0,0,,,1
2131336114,0.5,0.592592597,,,0.128937721,0.0886446834,0.357754141,0.255307227,15.9213276,3,0,0,,,1
2131337166,0.5,0.459459454,,,0.136996329,0.161172152,0.363398075,0.252508551,15.9349623,3,0,0,,,1
2131338213,0.5,0.534883738,,,0.185347974,0.161172152,0.366174668,0.251185089,15.9122372,3,0,0,,,1
2131339275,0.5,0.461538464,,,0.145054936,0.169230759,0.367195696,0.250706881,15.9167824,3,0,0,,,1
2131340323,0.5,0.533333361,,,0.128937721,0.112820506,0.367499888,0.250565261,15.9213276,3,0,0,,,1
2131341374,0.5,0.590909064,,,0.104761899,0.0725274682,0.369925022,0.249450311,15.9304171,3,0,0,,,1
2131342422,0.5,0.54285717,,,0.153113544,0.128937721,0.375010014,0.247190088,15.9213276,3,0,0,,,1
2131343473,0.5,0.511627913,,,0.177289367,0.169230759,0.379741251,0.245176569,15.9213276,3,0,0,,,1
2131344521,0.5,0.5,,,0.112820506,0.112820506,0.382556677,0.244017094,15.9122372,3,0,0,,,1
2131345572,0.5,0.576923072,,,0.120879114,0.0886446834,0.385462373,0.242849395,15.9304171,3,0,0,,,1
2131346620,0.5,0.607142866,,,0.136996329,0.0886446834,0.391567796,0.240486979,15.9304171,3,0,0,,,1
2131347672,0.5,0.4375,,,0.112820506,0.145054936,0.397494912,0.238304615,15.907692,3,0,0,,,1
2131348720,0.5,0.375,,,0.0967032909,0.161172152,0.396269023,0.238747433,15.9122372,3,0,0,,,1
2131349835,0.5,0.571428597,,,0.0967032909,0.0725274682,0.392154425,0.240266249,15.9258718,3,0,0,,,1
2131350883,0.5,0.666666687,,,0.128937721,0.0644688606,0.395130217,0.239162698,15.9304171,3,0,0,,,1
2131351934,0.5,0.449999988,,,0.145054936,0.177289367,0.402175963,0.236653268,15.9258718,3,0,0,,,1
2131352982,0.5,0.538461566,,,0.169230759,0.145054936,0.406227469,0.235272512,15.9213276,3,0,0,,,1
2131354032,0.5,0.466666669,,,0.112820506,0.128937721,0.407856166,0.234729618,15.9213276,3,0,0,,,1
2131355080,0.5,0.571428597,,,0.0967032909,0.0725274682,0.409557492,0.234169796,15.9258718,3,0,0,,,1
2131356131,0.5,0.53125,,,0.136996329,0.120879114,0.413231164,0.232985511,15.9304171,3,0,0,,,1
2131357179,0.5,0.461538464,,,0.145054936,0.169230759,0.416057587,0.232096553,15.9167824,3,0,0,,,1
2131358230,0.5,0.583333313,,,0.112820506,0.0805860758,0.418111026,0.231462419,15.9167824,3,0,0,,,1
2131359283,0.5,0.535714269,,,0.120879114,0.104761899,0.422647029,0.230095327,15.9258718,3,0,0,,,1
2131360333,0.5,0.441176474,,,0.120879114,0.153113544,0.425730735,0.229191542,15.9395075,3,0,0,,,1
2131361381,0.5,0.463414639,,,0.153113544,0.177289367,0.424115181,0.229662508,15.9167824,3,0,0,,,1
