t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
600528165,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9122372,0.0319999978,0,,,0,1
600529495,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9213276,0.0319999978,0,,,0,1
600530623,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9213276,0.0340000018,0,,,0,1
600531748,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0340000018,0,,,0,1
600532877,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9167824,0.0359999985,0,,,0,1
600534002,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0359999985,0,,,0,1
600535131,0.600000024,1,,,0.00805860758,0,0.891713917,0.178870752,15.9213276,0.0390000008,0,,,0,1
600536256,0.600000024,1,,,0.00805860758,0,0.891713917,0.178870752,15.9213276,0.0390000008,0,,,0,1
600537385,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9122372,0.0410000011,0,,,0,1
600538510,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.907692,0.0410000011,0,,,0,1
600539649,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0429999977,0,,,0,1
600540775,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0429999977,0,,,0,1
600541903,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0449999981,0,,,0,1
600543029,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0449999981,0,,,0,1
600544157,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0480000004,0,,,0,1
600545282,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9213276,0.0480000004,0,,,0,1
600546411,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0500000045,0,,,0,1
600547536,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0500000045,0,,,0,1
600548664,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0519999973,0,,,0,1
600549994,0.600000024,1,,,0.0322344303,0,0.891713917,0.178870752,15.9258718,0.0519999973,0,,,0,1
600551127,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0549999997,0,,,0,1
600552252,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0549999997,0,,,0,1
600553381,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0569999963,0,,,0,1
600554506,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0569999963,0,,,0,1
600555634,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0590000004,0,,,0,1
600556760,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0590000004,0,,,0,1
600557888,0.600000024,1,,,0.0322344303,0,0.891713917,0.178870752,15.9258718,0.060999997,0,,,0,1
600559013,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.060999997,0,,,0,1
600560142,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0639999956,0,,,0,1
600561272,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0639999956,0,,,0,1
600562400,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0659999996,0,,,0,1
600563526,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0659999996,0,,,0,1
600564654,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0680000037,0,,,0,1
600565780,0.600000024,1,,,0.0322344303,0,0.891713917,0.178870752,15.9258718,0.0680000037,0,,,0,1
600566908,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0700000003,0,,,0,1
600568033,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0700000003,0,,,0,1
600569162,0.600000024,1,,,0.0322344303,0,0.891713917,0.178870752,15.9213276,0.0729999989,0,,,0,1
600570287,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0729999989,0,,,0,1
600571620,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.075000003,0,,,0,1
600572750,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.075000003,0,,,0,1
600573878,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9213276,0.0769999996,0,,,0,1
600575004,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0769999996,0,,,0,1
600576132,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0799999982,0,,,0,1
600577258,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0799999982,0,,,0,1
600578386,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0820000023,0,,,0,1
600579512,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0820000023,0,,,0,1
600580641,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0840000063,0,,,0,1
600581766,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0840000063,0,,,0,1
600582895,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0859999955,0,,,0,1
600584025,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0859999955,0,,,0,1
600585153,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0890000015,0,,,0,1
600586279,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0890000015,0,,,0,1
600587407,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0909999982,0,,,0,1
600588532,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9213276,0.0909999982,0,,,0,1
600589661,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0929999948,0,,,0,1
600590786,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0929999948,0,,,0,1
600592119,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0960000008,0,,,0,1
600593244,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.0960000008,0,,,0,1
600594373,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.0980000049,0,,,0,1
600595503,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.0980000049,0,,,0,1
600596632,0.600000024,1,,,0.0322344303,0,0.891713917,0.178870752,15.9213276,0.100000009,0,,,0,1
600597757,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9213276,0.100000009,0,,,0,1
600598886,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.102000006,0,,,0,1
600600011,0.600000024,1,,,0.0241758227,0,0.891713917,0.178870752,15.9258718,0.102000006,0,,,0,1
600601140,0.600000024,1,,,0.0161172152,0,0.891713917,0.178870752,15.9258718,0.105000004,0,,,0,1
