t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
518988879,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9258718,0.174999997,8.55953121,8.43486404,0,13.3595848,0,,,0,3
518990210,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0.174999997,8.53542042,8.42853069,0,13.3595848,0,,,0,3
518991340,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.189999998,8.56555939,8.43275356,0,13.3667326,0,,,0,3
518992466,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.189999998,8.54144764,8.43064213,0,13.3667326,0,,,0,3
518993596,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.200000003,8.5565176,8.42641926,0,13.3595848,0,,,0,3
518994723,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.200000003,8.53542042,8.43275356,0,13.3667326,0,,,0,3
518995853,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9304171,0.210000008,8.55048943,8.43275356,0,13.3667326,0,,,0,3
518996979,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.210000008,8.53240585,8.43064213,0,13.3667326,0,,,0,3
518998119,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0.224999994,8.51432323,8.43064213,0,13.3667326,0,,,0,3
518999247,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.224999994,8.5444622,8.42430782,0,13.3667326,0,,,0,3
519000376,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.235000014,8.53240585,8.43064213,0,13.3667326,0,,,0,3
519001503,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.235000014,8.54747581,8.42853069,0,13.3738813,0,,,0,3
519002632,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.245000005,8.53843403,8.43064213,0,13.3667326,0,,,0,3
519003759,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.245000005,8.53542042,8.42853069,0,13.3738813,0,,,0,3
519004889,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.255000025,8.55953121,8.43064213,0,13.3667326,0,,,0,3
519006021,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9395075,0.255000025,8.55953121,8.42853069,0,13.3595848,0,,,0,3
519007151,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.269999981,8.5444622,8.42853069,0,13.3667326,0,,,0,3
519008278,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9304171,0.269999981,8.55350399,8.43064213,0,13.3667326,0,,,0,3
519009408,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9395075,0.280000001,8.51733685,8.42430782,0,13.3667326,0,,,0,3
519010534,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.280000001,8.55048943,8.42853069,0,13.3738813,0,,,0,3
519011868,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.289999992,8.54144764,8.42853069,0,13.3667326,0,,,0,3
519012995,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.289999992,8.50829506,8.42430782,0,13.3667326,0,,,0,3
519014125,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.305000007,8.568573,8.43064213,0,13.3738813,0,,,0,3
519015257,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.305000007,8.53843403,8.43064213,0,13.3667326,0,,,0,3
519016387,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.314999998,8.5444622,8.42641926,0,13.3667326,0,,,0,3
519017513,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.314999998,8.54747581,8.42853069,0,13.3667326,0,,,0,3
519018643,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.324999988,8.5444622,8.42853069,0,13.3595848,0,,,0,3
519019770,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.324999988,8.55048943,8.42641926,0,13.3667326,0,,,0,3
519020900,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.335000008,8.55953121,8.42853069,0,13.3667326,0,,,0,3
519022027,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.335000008,8.56555939,8.42853069,0,13.3667326,0,,,0,3
519023161,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.349999994,8.56254578,8.42853069,0,13.3738813,0,,,0,3
519024288,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.349999994,8.51130867,8.42853069,0,13.3595848,0,,,0,3
519025418,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.360000014,8.53843403,8.42853069,0,13.3667326,0,,,0,3
519026545,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.360000014,8.53843403,8.43064213,0,13.3667326,0,,,0,3
519027675,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.370000005,8.53542042,8.43064213,0,13.3738813,0,,,0,3
519028801,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.370000005,8.47212791,8.43064213,0,13.3738813,0,,,0,3
519029931,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.379999995,8.51130867,8.42853069,0,13.3667326,0,,,0,3
519031057,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.379999995,8.55953121,8.42853069,0,13.352437,0,,,0,3
519032396,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9395075,0.395000011,8.56555939,8.43064213,0,13.3667326,0,,,0,3
519033523,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.395000011,8.4932251,8.42853069,0,13.3738813,0,,,0,3
519034653,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.405000001,8.52336502,8.42853069,0,13.3738813,0,,,0,3
519035780,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9304171,0.405000001,8.53240585,8.42853069,0,13.3738813,0,,,0,3
519036910,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.415000021,8.53542042,8.42853069,0,13.3667326,0,,,0,3
519038037,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.415000021,8.54144764,8.42853069,0,13.3595848,0,,,0,3
519039166,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.429999977,8.55953121,8.43064213,0,13.3667326,0,,,0,3
519040298,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.429999977,8.52939224,8.43064213,0,13.3667326,0,,,0,3
519041428,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.439999998,8.5565176,8.42853069,0,13.3738813,0,,,0,3
519042555,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.439999998,8.53843403,8.42853069,0,13.3667326,0,,,0,3
519043685,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.449999988,8.60775471,8.42853069,0,13.3738813,0,,,0,3
519044811,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.449999988,8.54144764,8.42853069,0,13.3738813,0,,,0,3
519045941,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0.459999979,8.5444622,8.43064213,0,13.3738813,0,,,0,3
519047067,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.459999979,8.49623966,8.42853069,0,13.3452892,0,,,0,3
519048197,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0.474999994,8.53843403,8.42853069,0,13.3667326,0,,,0,3
519049328,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0.474999994,8.53542042,8.42853069,0,13.3667326,0,,,0,3
