t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
474322739,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9258718,0.0350000001,8.5444622,8.44119835,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474324069,0.300000012,1,0,0,0.0161172152,0,0.337469041,0.266749859,15.9349623,0.0350000001,8.55048943,8.44542122,0,13.288105,0,0,129622,0,0,0,0,,,0,51
474325199,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9304171,0.0380000025,8.55350399,8.44542122,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474326325,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9349623,0.0380000025,8.60172653,8.44119835,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474327454,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9349623,0.0399999991,8.52637863,8.44330978,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474328580,0.300000012,1,0,0,0.0161172152,0,0.337469041,0.266749859,15.9349623,0.0399999991,8.55953121,8.44330978,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474329720,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9395075,0.0420000032,8.568573,8.43908691,0,13.3166971,0,0,129622,0,0,0,0,,,0,51
474330846,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9349623,0.0420000032,8.54747581,8.44119835,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474331976,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9349623,0.0439999998,8.52939224,8.44119835,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474333102,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9349623,0.0439999998,8.56254578,8.44119835,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474334231,0.300000012,1,0,0,0.0161172152,0,0.337469041,0.266749859,15.9395075,0.0470000021,8.54747581,8.44119835,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474335363,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9395075,0.0470000021,8.58665657,8.43486404,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474336492,0.300000012,1,0,0,0.0161172152,0,0.337469041,0.266749859,15.9395075,0.0490000024,8.53240585,8.43908691,0,13.3095493,0,0,129622,0,0,0,0,,,0,51
474337619,0.300000012,1,0,0,0.0241758227,0,0.337469041,0.266749859,15.9349623,0.0490000024,8.57158756,8.43908691,0,13.3166971,0,0,129622,0,0,0,0,,,0,51
