t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
505753794,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9167824,0,0,0,,0,1
505755123,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9213276,0,0,0,,0,1
505756251,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505757377,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505758505,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505759631,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9213276,0,0,0,,0,1
505760760,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505761886,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9213276,0,0,0,,0,1
505763014,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9167824,0,0,0,,0,1
505764140,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9167824,0,0,0,,0,1
505765279,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505766404,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505767533,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505768658,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505769787,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505770912,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9213276,0,0,0,,0,1
505772041,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505773166,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505774295,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505775624,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505776758,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505777884,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505779012,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505780138,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505781267,0.5,0.5,,,0.00805860758,0.00805860758,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505782392,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505783521,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505784646,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505785775,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505786905,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505788034,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505789160,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505790288,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505791414,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505792542,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505793668,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505794796,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505796126,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505797255,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505798385,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505799514,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505800639,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505801768,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505802893,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9213276,0,0,0,,0,1
505804022,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505805147,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505806275,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505807401,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505808530,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505809660,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505810789,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505811914,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505813043,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505814168,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505815297,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505816422,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505817755,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505818880,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505820009,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505821139,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505822268,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505823394,0.5,1,,,0.0241758227,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505824522,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
505825648,0.5,1,,,0.0161172152,0,0.518165708,0.209109634,15.9304171,0,0,0,,0,1
505826776,0.5,1,,,0.00805860758,0,0.518165708,0.209109634,15.9258718,0,0,0,,0,1
