t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
1867436123,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9258718,0,8.41184998,8.3525219,0,13.3095493,0,0,,0,1
1867437454,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.42089176,8.36307812,0,13.3166971,0,0,,0,1
1867438583,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.39678001,8.36307812,0,13.3166971,0,0,,0,1
1867439710,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.37869644,8.3525219,0,13.3166971,0,0,,0,1
1867440839,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9304171,0,8.36965466,8.35463333,0,13.3095493,0,0,,0,1
1867441966,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.39075184,8.3525219,0,13.3166971,0,0,,0,1
1867443095,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.37266827,8.35463333,0,13.3166971,0,0,,0,1
1867444222,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9395075,0,8.41486359,8.35463333,0,13.3166971,0,0,,0,1
1867445362,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.39979362,8.34829903,0,13.3238449,0,0,,0,1
1867446488,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.39678001,8.34829903,0,13.3166971,0,0,,0,1
1867447618,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9395075,0,8.38472462,8.34618759,0,13.3166971,0,0,,0,1
1867448744,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.39678001,8.3525219,0,13.3166971,0,0,,0,1
1867449874,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9349623,0,8.41486359,8.35041046,0,13.3166971,0,0,,0,1
1867451001,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.45103073,8.3525219,0,13.3238449,0,0,,0,1
1867452130,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9395075,0,8.44198895,8.3525219,0,13.3238449,0,0,,0,1
1867453261,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.42089176,8.3525219,0,13.3166971,0,0,,0,1
1867454391,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9349623,0,8.43294716,8.35041046,0,13.3166971,0,0,,0,1
1867455518,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.43897438,8.33985329,0,13.3166971,0,0,,0,1
1867456647,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9349623,0,8.42993259,8.3525219,0,13.3166971,0,0,,0,1
1867457978,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9349623,0,8.3937664,8.3525219,0,13.3166971,0,0,,0,1
1867459107,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.44198895,8.35041046,0,13.3166971,0,0,,0,1
1867460233,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9440527,0,8.41486359,8.35041046,0,13.3166971,0,0,,0,1
1867461363,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.37266827,8.3525219,0,13.3095493,0,0,,0,1
1867462494,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.40280819,8.3525219,0,13.3166971,0,0,,0,1
1867463624,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.38171005,8.35041046,0,13.3166971,0,0,,0,1
1867464750,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9349623,0,8.40280819,8.35041046,0,13.3166971,0,0,,0,1
1867465880,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.40883541,8.3525219,0,13.3166971,0,0,,0,1
1867467006,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.3937664,8.3525219,0,13.3166971,0,0,,0,1
1867468136,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.3937664,8.3525219,0,13.3238449,0,0,,0,1
1867469262,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9395075,0,8.39678001,8.3525219,0,13.3238449,0,0,,0,1
1867470397,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.37869644,8.3525219,0,13.3238449,0,0,,0,1
1867471524,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.41184998,8.3525219,0,13.3166971,0,0,,0,1
1867472653,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.42390537,8.34196472,0,13.3166971,0,0,,0,1
1867473780,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9395075,0,8.40280819,8.35041046,0,13.3238449,0,0,,0,1
1867474909,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.42390537,8.34829903,0,13.3166971,0,0,,0,1
1867476035,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.38472462,8.35041046,0,13.3024006,0,0,,0,1
1867477165,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.4178772,8.3525219,0,13.3166971,0,0,,0,1
1867478292,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.39678001,8.3525219,0,13.3166971,0,0,,0,1
1867479630,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9395075,0,8.42691898,8.3525219,0,13.3166971,0,0,,0,1
1867480756,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.4058218,8.3525219,0,13.3166971,0,0,,0,1
1867481886,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.39075184,8.3525219,0,13.3166971,0,0,,0,1
1867483012,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.42390537,8.3525219,0,13.3166971,0,0,,0,1
1867484141,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.37869644,8.3525219,0,13.3166971,0,0,,0,1
1867485268,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.40883541,8.3525219,0,13.3166971,0,0,,0,1
1867486398,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9349623,0,8.41184998,8.3525219,0,13.3166971,0,0,,0,1
1867487529,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.4178772,8.3525219,0,13.3166971,0,0,,0,1
1867488659,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.42390537,8.3525219,0,13.3166971,0,0,,0,1
1867489786,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.4058218,8.3525219,0,13.3166971,0,0,,0,1
1867490915,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.42089176,8.3525219,0,13.3095493,0,0,,0,1
1867492041,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.39075184,8.34618759,0,13.3024006,0,0,,0,1
1867493171,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9395075,0,8.4058218,8.3525219,0,13.3166971,0,0,,0,1
1867494297,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.4178772,8.3525219,0,13.3166971,0,0,,0,1
1867495427,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9349623,0,8.42390537,8.3525219,0,13.3166971,0,0,,0,1
1867496558,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9349623,0,8.4058218,8.3525219,0,13.3166971,0,0,,0,1
1867497688,0.5,1,,,0.00805860758,0,0.344006032,0.262802452,15.9349623,0,8.4058218,8.3525219,0,13.3166971,0,0,,0,1
1867498814,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9349623,0,8.39678001,8.3525219,0,13.3166971,0,0,,0,1
1867500148,0.5,1,,,0.0161172152,0,0.344006032,0.262802452,15.9395075,0,8.4178772,8.3525219,0,13.3166971,0,0,,0,1
1867501274,0.5,1,,,0.0241758227,0,0.344006032,0.262802452,15.9395075,0,8.41184998,8.3525219,0,13.3166971,0,0,,0,1
