t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
368555828,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9258718,0,8.59268475,8.44330978,0,13.3095493,0,0,0,0,,0,51
368557159,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9304171,0,8.54747581,8.44753265,0,13.3166971,0,0,0,0,,0,51
368558288,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56254578,8.44542122,0,13.3166971,0,0,0,0,,0,51
368559415,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.53843403,8.44330978,0,13.3166971,0,0,0,0,,0,51
368560544,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.58364296,8.44542122,0,13.3095493,0,0,0,0,,0,51
368561671,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56555939,8.44542122,0,13.3166971,0,0,0,0,,0,51
368562800,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9258718,0,8.60474014,8.44542122,0,13.3095493,0,0,0,0,,0,51
368563937,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.58665657,8.43908691,0,13.3166971,0,0,0,0,,0,51
368565067,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9395075,0,8.52035046,8.43908691,0,13.3024006,0,0,0,0,,0,51
368566193,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9395075,0,8.56555939,8.44119835,0,13.3166971,0,0,0,0,,0,51
368567323,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56254578,8.44119835,0,13.3166971,0,0,0,0,,0,51
368568449,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.52637863,8.44330978,0,13.3166971,0,0,0,0,,0,51
368569579,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56254578,8.44119835,0,13.3166971,0,0,0,0,,0,51
368570705,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.54747581,8.44119835,0,13.3166971,0,0,0,0,,0,51
368571839,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9395075,0,8.5565176,8.44119835,0,13.3166971,0,0,0,0,,0,51
368572966,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9304171,0,8.51733685,8.44119835,0,13.3166971,0,0,0,0,,0,51
368574095,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.53542042,8.44119835,0,13.3166971,0,0,0,0,,0,51
368575221,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0,8.53542042,8.44119835,0,13.3166971,0,0,0,0,,0,51
368576351,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.58062935,8.44330978,0,13.3166971,0,0,0,0,,0,51
368577478,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.56555939,8.44119835,0,13.3166971,0,0,0,0,,0,51
368578816,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56555939,8.44119835,0,13.3166971,0,0,0,0,,0,51
