t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
160335373,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9258718,0,8.52035046,8.44330978,0,13.3238449,0,0,57035,0,0,0,0,0,,0,51
160336704,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9304171,0,8.5565176,8.44542122,0,13.3309927,0,0,57035,0,0,0,0,0,,0,51
160337834,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.568573,8.44542122,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160338960,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9304171,0,8.57761478,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160340090,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9258718,0,8.55350399,8.44119835,0,13.3309927,0,0,57035,0,0,0,0,0,,0,51
160341217,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.568573,8.43697548,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160342357,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.568573,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160343483,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.57460117,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160344613,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.56555939,8.43908691,0,13.3309927,0,0,57035,0,0,0,0,0,,0,51
160345740,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.54747581,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160346869,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.55350399,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160348001,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.55350399,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160349131,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.56254578,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160350258,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.49925327,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160351388,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.54144764,8.44119835,0,13.3452892,0,0,57035,0,0,0,0,0,,0,51
160352515,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.5444622,8.43908691,0,13.3309927,0,0,57035,0,0,0,0,0,,0,51
160353645,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.55048943,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160354777,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9395075,0,8.58665657,8.43697548,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160355907,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.57460117,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160357238,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.55350399,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160358368,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.55953121,8.43486404,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160359495,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.58062935,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160360629,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.55048943,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160361756,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.58665657,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160362885,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.52637863,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160364012,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.5444622,8.44119835,0,13.3309927,0,0,57035,0,0,0,0,0,,0,51
160365142,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.55953121,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160366268,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9395075,0,8.568573,8.43697548,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160367403,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.53240585,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160368530,0.5,1,0,0,0.0322344303,0,0.325554311,0.274696529,15.9349623,0,8.5565176,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160369659,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.59569836,8.44119835,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160370786,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.55048943,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160371916,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9395075,0,8.58364296,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
160373042,0.5,1,0,0,0.0241758227,0,0.325554311,0.274696529,15.9349623,0,8.57761478,8.43908691,0,13.3238449,0,0,57035,0,0,0,0,0,,0,51
160374177,0.5,1,0,0,0.0161172152,0,0.325554311,0.274696529,15.9349623,0,8.5565176,8.43908691,0,13.3381405,0,0,57035,0,0,0,0,0,,0,51
