t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
203849671,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.51733685,8.44330978,0,13.3166971,0,0,0,0,0,,51
203851002,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.53843403,8.44753265,0,13.3166971,0,0,0,0,0,,51
203852131,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.58665657,8.44542122,0,13.3166971,0,0,0,0,0,,51
203853258,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.44330978,0,13.3166971,0,0,0,0,0,,51
203854388,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.53542042,8.44330978,0,13.3166971,0,0,0,0,0,,51
203855514,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.55953121,8.44119835,0,13.3166971,0,0,0,0,0,,51
203856644,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.54144764,8.44542122,0,13.3166971,0,0,0,0,0,,51
203857782,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.57158756,8.44119835,0,13.3238449,0,0,0,0,0,,51
203858911,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.58062935,8.44119835,0,13.3238449,0,0,0,0,0,,51
203860038,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55048943,8.44119835,0,13.3095493,0,0,0,0,0,,51
203861167,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.53843403,8.44119835,0,13.3238449,0,0,0,0,0,,51
203862294,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.5444622,8.44330978,0,13.3166971,0,0,0,0,0,,51
203863424,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.43908691,0,13.3238449,0,0,0,0,0,,51
203864550,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.5565176,8.44330978,0,13.3238449,0,0,0,0,0,,51
