t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
103230594,0.5,0,0,0,0,0,0,0,15.9258718,0,8.6439209,8.08860207,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103231927,0.5,1,0,0,0.00805860758,0,0,0,15.9213276,0,8.65597725,8.08015633,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103233059,0.5,0,0,0,0,0,0,0,15.9213276,0,8.65899086,8.09493637,0,13.5454321,0,0,8123,0,0,0,0,0,0,,51
103234187,0.5,1,0,0,0.00805860758,0,0,0,15.9213276,0,8.63487911,8.08015633,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103235319,0.5,1,0,0,0.00805860758,0,0,0,15.9213276,0,8.6439209,8.08649063,0,13.5525808,0,0,8123,0,0,0,0,0,0,,51
103236448,0.5,0,0,0,0,0.00805860758,0,0,15.9258718,0,8.63789368,8.08015633,0,13.5525808,0,0,8123,0,0,0,0,0,0,,51
103237590,0.5,0,0,0,0,0.00805860758,0,0,15.9258718,0,8.65597725,8.07804585,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103238719,0.5,0,0,0,0,0,0,0,15.9213276,0,8.64090729,8.07593441,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103239850,0.5,0,0,0,0,0.00805860758,0,0,15.9258718,0,8.64994907,8.07593441,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103240979,0.5,0,0,0,0,0.00805860758,0,0,15.9213276,0,8.65296268,8.0843792,0,13.5525808,0,0,8123,0,0,0,0,0,0,,51
103242111,0.5,0,0,0,0,0.00805860758,0,0,15.9258718,0,8.65597725,8.07593441,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103243244,0.5,0,0,0,0,0,0,0,15.9213276,0,8.62282372,8.07382298,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103244376,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.64994907,8.07804585,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103245505,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.62583828,8.08015633,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103246636,0.5,0,0,0,0,0,0,0,15.9258718,0,8.6198101,8.08015633,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
103247765,0.5,0,0,0,0,0,0,0,15.9258718,0,8.64693546,8.07804585,0,13.5597286,0,0,8123,0,0,0,0,0,0,,51
