BAL	24.38	29.46	0.00	BQ29200DRBTDRB8_1P6X2P4	DRB8_1P6X2P4
C-D1	68.83	77.98	0.00	10uF	CAPC2012X110
C-D10	91.95	4.57	0.00	10uF	CAPC2012X110
C-D11	26.16	50.29	90.00	10uF	CAPC2012X110
C-D12	34.29	50.04	90.00	10uF	CAPC2012X110
C-D2	68.58	69.85	0.00	10uF	CAPC2012X110
C-D3	59.69	21.59	90.00	10uF	CAPC2012X110
C-D4	68.07	21.34	90.00	10uF	CAPC2012X110
C-D5	89.15	18.29	90.00	10uF	CAPC2012X110
C-D6	97.79	17.89	90.00	10uF	CAPC3216X135
C-D7	86.11	4.06	270.00	10uF	CAPC3216X135
C-D8	77.72	4.83	270.00	10uF	CAPC2012X110
C-D9	92.31	11.94	0.00	10uF	CAPC3216X135
C-DC1	71.12	69.85	90.00	1nF	CAPC1005X60
C-DC10	94.74	9.91	270.00	5.6nF	CAPC1005X60
C-DC11	34.04	52.32	180.00	1nF	CAPC1005X60
C-DC12	27.94	52.58	0.00	5.6nF	CAPC1005X60
C-DC2	71.37	75.95	270.00	5.6nF	CAPC1005X60
C-DC3	67.56	23.62	180.00	1nF	CAPC1005X60
C-DC4	60.45	24.38	0.00	5.6nF	CAPC1005X60
C-DC5	97.28	20.83	180.00	1nF	CAPC1005X60
C-DC6	89.66	20.57	0.00	5.6nF	CAPC1005X60
C-DC7	78.74	2.54	0.00	1nF	CAPC1005X60
C-DC8	83.57	1.76	0.00	5.6nF	CAPC1005X60
C-DC9	94.23	4.57	90.00	1nF	CAPC1005X60
C1-BT	19.05	12.45	270.00	10uF	CAPC2012X110
C1-FC	19.56	80.01	270.00	10uF	CAPC2012X110
C2-BT	44.20	24.13	90.00	100nF	CAPC1608X85
C2-FC	42.93	89.41	90.00	100nF	CAPC1608X85
C3-BT	39.88	17.53	90.00	2.2uF	CAPC2012X110
C3-FC	40.39	83.57	90.00	2.2uF	CAPC2012X110
C4A-BT	44.70	30.48	90.00	22uF	CAPC3225X135
C4A-FC	46.48	90.68	90.00	22uF	CAPC3225X135
C4B-BT	48.51	30.48	90.00	22uF	CAPC3225X135
C4B-FC	50.29	90.68	90.00	22uF	CAPC3225X135
C4C-BT	52.32	30.48	90.00	22uF	CAPC3225X135
C4C-FC	54.10	90.68	90.00	22uF	CAPC3225X135
C5-BT	40.13	23.37	90.00	100nF	CAPC1608X85
C5-FC	40.54	87.30	0.00	100nF	CAPC1608X85
C6-BT	43.43	16.76	90.00	27pF	CAPC1608X85
C6-FC	42.98	82.14	90.00	27pF	CAPC1608X85
CAL	105.16	15.24	90.00	470uF EEE-FN1V471UPCAP_FN_G_PAN	CAP_FN_G_PAN
CBL1	21.08	30.99	90.00	100nF	CAPC1608X85
CBL2	18.54	30.23	180.00	100nF	CAPC1608X85
CBL3	27.94	29.21	270.00	100nF	CAPC1608X85
CBLD	22.86	26.16	270.00	330nF	CAPC1608X85
CC-BT	47.50	17.27	180.00	2nF	CAPC1608X85
CC-FC	45.72	82.80	180.00	2nF	CAPC1608X85
CHG	33.50	50.51	180.00	AG105	AG105
CIN-5V	61.72	39.62	270.00	10uF	CAPC2012X110
CO-5V	50.80	39.62	270.00	10uF TANT	CAPM3528X210
CSNS-BT	56.90	29.46	270.00	100nF	CAPC1608X85
CSNS-FC	62.48	81.28	270.00	100nF	CAPC1608X85
D-BC-FC	92.58	8.38	90.00	RT1987N-A	IC_RT1987N-A
D-BC-RG	82.55	3.94	0.00	RT1987N-A	IC_RT1987N-A
D-BT-EN	63.75	22.98	180.00	RT1987N-A	IC_RT1987N-A
D-BT-SQ	29.72	50.16	180.00	RT1987N-A	IC_RT1987N-A
D-FC-EN	68.96	74.17	90.00	RT1987N-A	IC_RT1987N-A
D-MT-EN	93.22	19.18	180.00	RT1987N-A	IC_RT1987N-A
J-BL	11.43	38.10	270.00	TB005_762_03BE	CUI_TB005_-762-03BE
J-BT	11.68	15.75	270.00	TB005-762-02BE	CUI_TB005-762-02BE
J-FC	11.43	80.01	270.00	TB005-762-02BE	CUI_TB005-762-02BE
J-M	119.13	9.65	90.00	TB005-762-02BE	CUI_TB005-762-02BE
J-NTC	9.65	59.94	90.00	691411410002	691411410002
J1	85.85	61.98	90.00	87606-324LF	AMPHENOL_87606-324LF
J2	108.71	61.98	90.00	87606-324LF	AMPHENOL_87606-324LF
J3	97.28	25.29	0.00	PINHD-2X10	2X10
L-BT	28.70	14.48	0.00	2.2uH	HCM1A1305V3-2R2-R
L-FC	29.46	83.31	0.00	2.2uH	HCM1A1305V3-2R2-R
MDAC-BT	49.78	5.84	180.00	AD5443YRMZ-REEL7RM_10_ADI	RM_10_ADI
MDAC-FC	50.04	71.63	180.00	AD5443YRMZ-REEL7RM_10_ADI	RM_10_ADI
OP-BT	40.13	6.86	0.00	OPA197IDD0008A-IPC_A	D0008A-IPC_A
OP-FC	42.67	71.63	90.00	OPA197IDD0008A-IPC_A	D0008A-IPC_A
Q-SNT	126.49	22.35	90.00	BSP170PH6327XTSA1	SOT230P700X170-4N
R-G	118.36	21.84	180.00	220 Ohm	RESC1005X40
R-GS	118.11	18.80	0.00	3.3kOhm	RESC1608X60
R-SHUNT	121.92	60.20	90.00	SQP20AJB-47RRES_SQP20A_YAG	RES_SQP20A_YAG
R1-BT	28.45	22.61	180.00	16.2kOhm	RESC1608X60
R1-BUS	79.50	46.74	180.00	46.4kOhm	RESC1608X60
R1-CHG	73.91	5.84	0.00	78.7kOhm	RESC1005X40
R1-FC	26.92	92.96	180.00	27.4kOhm	RESC1608X60
R1-SNT	112.78	17.27	0.00	78.7kOhm	RESC1005X40
R2-BT	31.50	22.61	180.00	10kOhm	RESC1608X60
R2-BUS	81.79	48.01	270.00	10kOhm	RESC1608X60
R2-CHG	71.37	5.84	0.00	10kOhm	RESC1608X60
R2-FC	30.23	92.96	180.00	10kOhm	RESC1608X60
R2-SNT	112.27	19.81	270.00	10kOhm	RESC1608X60
RB1A	20.83	27.94	90.00	100Ohm	RESC1005X40
RB1B	27.43	31.75	270.00	100Ohm	RESC1005X40
RB2	19.05	31.75	180.00	160Ohm	RESC1005X40
RB3	18.80	28.45	0.00	260Ohm	RESC1005X40
RC-BT	47.50	15.24	180.00	61.2kOhm	RESC1608X60
RC-FC	45.72	80.77	180.00	61.2kOhm	RESC1608X60
RD1-BT	47.50	13.21	0.00	243kOhm	RESC1608X60
RD1-FC	45.72	78.74	0.00	243kOhm	RESC1608X60
