Internal SKU,Part,PCB Names,Specification,Category,Manufacturer,Mft. SKU,Vendor,Vendor SKU,Link,Datasheet,BOM Qty,BOM Units,Cost / BOM Unit,Assembly Cost,Pricing Status,MOQ (for price),Ready to Order,Ordered,Received,Board Operating Current [mA],Voltage Min [V],Voltage Max [V],Series Min Voltage [V],Series Max Voltage [V],Max Current [mA],Max Power [W],Board Power [W],Max Pulse Current [mA],Max Operating Temp [C],Max Junction Temp [C],Junction - SP Resistance [C/W],Naive Junction Temp Rise [C],Max Other Resistance [C/W],Notes,Total Assembly Cost:,$149.66,,PCB components:,111,PCB unique parts:,57
,Bus regulators,"BST-FC,BST-BT",Boost Switching Regulator IC Positive Adjustable 4.5V 1 Output 11-PowerVFQFN,Boost Regulator,Texas Instruments,TPS61288LRQQR,Digikey,296-TPS61288LRQQRCT-ND,https://www.digikey.com/en/products/detail/texas-instruments/TPS61288LRQQR/15856656,https://www.ti.com/lit/ds/symlink/tps61288.pdf?ts=1695976104178&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS61288,2.00,ea,$2.02,$4.04,,,FALSE,FALSE,FALSE,,4.5,18,,,,,,,,,,,,,,,,,,,
,Input capacitor 1,"C1-FC,C1-BT",10 µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric),Boost Regulator,Murata Electronics,GRM21BZ71E106KE15L,Digikey,490-GRM21BZ71E106KE15LCT-ND,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BZ71E106KE15L/13904911,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71E106KE15-01.pdf,2.00,ea,$0.30,$0.60,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Input capacitor 2,"C2-FC,C2-BT",0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric),Boost Regulator,KEMET,C0603C104K5RACTU,Digikey,399-C0603C104K5RACTUCT-ND,https://www.digikey.com/en/products/detail/kemet/C0603C104K5RACTU/1465594,https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,2.00,ea,$0.08,$0.16,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Input capacitor 3,"C3-FC,C3-BT",2.2 µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric),Boost Regulator,Samsung Electro-Mechanics,CL21B225KAFNNNF,Digikey,1276-CL21B225KAFNNNFCT-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B225KAFNNNF/3894504,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21B225KAFNNNF.jsp,2.00,ea,$0.12,$0.24,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Output capacitor,"C4A,C4B,C4C,C4A,C4B,C4C",22 µF ±10% 25V Ceramic Capacitor X7R 1210 (3225 Metric),Boost Regulator,Taiyo Yuden,MSAST32MSB7226KPNB25,Digikey,587-MSAST32MSB7226KPNB25CT-ND,https://www.digikey.com/en/products/detail/taiyo-yuden/MSAST32MSB7226KPNB25/16666814,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5731/MSR01_e.pdf,6.00,ea,$0.57,$3.42,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Boost capacitor,"C5-FC,C5-BT",0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric),Boost Regulator,KEMET,C0603C104K5RACTU,Digikey,399-C0603C104K5RACTUCT-ND,https://www.digikey.com/en/products/detail/kemet/C0603C104K5RACTU/1465594,https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,2.00,ea,$0.08,$0.16,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Feedback capacitor,"C6-FC,C6-BT",27 pF ±5% 50V Ceramic Capacitor X7R 0603 (1608 Metric),Boost Regulator,27 pF ±5% 50V Ceramic Capacitor X7R 0603 (1608 Metric),06035C270JAT2A,Digikey,478-11825-1-ND,https://www.digikey.com/en/products/detail/kyocera-avx/06035C270JAT2A/1600123,https://datasheets.kyocera-avx.com/X7RDielectric.pdf,2.00,ea,$0.18,$0.36,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Regulator inductors,"L-FC,L-BT",2.2 µH Shielded Molded Inductor 15 A 4.65mOhm Max Nonstandard,Boost Regulator,Eaton - Electronics Division,HCM1A1305V3-2R2-R,Digikey,283-HCM1A1305V3-2R2-RCT-ND,https://www.digikey.com/en/products/detail/eaton-electronics-division/HCM1A1305V3-2R2-R/26798830,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hcm1a1305v3-automotive-power-inductor-data-sheet-elx1488-en.pdf,2.00,ea,$0.59,$1.18,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Regulator compensator Rc,RC-FC,"61.2 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Moisture Resistant Thin Film",Boost Regulator,"KOA Speer Electronics, Inc.",RN73R1JTTD6122B25,Digikey,2019-RN73R1JTTD6122B25CT-ND,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RN73R1JTTD6122B25/10019820,https://www.koaspeer.com/pdfs/RN73R.pdf,1.00,ea,$0.12,$0.12,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Regulator compensator Rc,RC-BT,"27.4 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thin Film",Boost Regulator,Panasonic Industry,ERA-3AEB2742V,Digikey,P27.4KDBCT-ND,https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB2742V/2026876,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,1.00,ea,$0.12,$0.12,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Regulator compensator Cc,"CC-FC,CC-BT","2000 pF ±1% 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)",Boost Regulator,Murata Electronics,GCM1885C1H202FA16J,Digikey,490-GCM1885C1H202FA16JCT-ND,https://www.digikey.com/en/products/detail/murata-electronics/GCM1885C1H202FA16J/11618840,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1885C1H202FA16-01.pdf,2.00,ea,$0.18,$0.36,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Current sense IC,"SNS-FC,SNS-BT","80V, bi-directional, precision current sense amp w/pwm rejection & int. shunt resistor",Droop,Texas Instruments,INA253A1IPWR,Digikey,296-INA253A1IPWRCT-ND,https://www.digikey.com/en/products/detail/texas-instruments/INA253A1IPWR/10448253,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fina253,2.00,ea,$4.03,$8.06,,,FALSE,FALSE,FALSE,2.4,,,,,,,,,,,,,,,,,,,,,
,Multiplying DAC,"MDAC-FC, MDAC-BT",12 Bit Digital to Analog Converter 1 10-MSOP,Droop,Analog Devices Inc.,AD5443YRMZ-REEL7,Digikey,AD5443YRMZ-REEL7CT-ND,https://www.digikey.com/en/products/detail/analog-devices-inc/AD5443YRMZ-REEL7/995897,https://www.analog.com/media/en/technical-documentation/data-sheets/ad5426_5432_5443.pdf,2.00,ea,$8.92,$17.84,,,FALSE,FALSE,FALSE,0.4,,,,,,,,,,,,,,,,,,,,,
,MDAC output op-amp,"OP-FC,OP-BT",Standard (General Purpose) Amplifier 1 Circuit Rail-to-Rail 8-SOIC,Droop,Texas Instruments,OPA197IDR,Digikey,296-43866-1-ND,https://www.digikey.com/en/products/detail/texas-instruments/OPA197IDR/5880541,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa197,2.00,ea,$1.71,$3.42,,,FALSE,FALSE,FALSE,1,,,,,,,,,,,,,,,,,,,,,
,Op amp R1,"ROP1-FC,ROP1-BT","40.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film",Droop,Yageo,RC0603FR-0740K2L,Digikey,311-40.2KHRCT-ND,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0740K2L/727221?s=N4IgTCBcDaIEoGEAMA2JBmAYnAtEg7ACxIDSYAMiALoC%2BQA,https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,2.00,ea,$0.10,$0.20,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Op amp R2,"ROP2-FC,ROP2-BT","10 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thin Film",Droop,Panasonic Electronic Components,ERA-3AEB103V,Digikey,P10KDBCT-ND,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-3AEB103V/1465878,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,2.00,ea,$0.10,$0.20,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Sense bypass capacitor,"CSNS-FC,CSNS-BT",0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric),Boost Regulator,KEMET,C0603C104K5RACTU,Digikey,399-C0603C104K5RACTUCT-ND,https://www.digikey.com/en/products/detail/kemet/C0603C104K5RACTU/1465594,https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,2.00,ea,$0.08,$0.16,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Bus divider upper,"RD1-FC,RD1-BT","237 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thin Film",Boost Regulator,Panasonic Electronic Components,ERA-3AEB2373V,Digikey,P237KDBCT-ND,https://www.digikey.com/en/products/detail/panasonic-industry/ERA-3AEB2373V/2026960,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,2.00,ea,$0.10,$0.20,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Bus divider lower,"RD2-FC,RD2-BT","10 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thin Film",Boost Regulator,Panasonic Electronic Components,ERA-3AEB103V,Digikey,P10KDBCT-ND,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-3AEB103V/1465878,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,2.00,ea,$0.10,$0.20,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Droop injection resistor,"RNJ-FC,RNJ-BT","53.6 kOhms ±0.1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thin Film",Droop,Panasonic Electronic Components,ERA-3AEB5362V,Digikey,P53.6KDBCT-ND,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERA-3AEB5362V/2026904,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,2.00,ea,$0.10,$0.20,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,5V Regulator,REG-5V,Linear Voltage Regulator IC Positive Fixed 1 Output 5A TO-263 (DDPAK-3),Logic Regulator,Texas Instruments,LM1084ISX-5.0/NOPB,Digikey,LM1084ISX-5.0/NOPBCT-ND,https://www.digikey.com/en/products/detail/texas-instruments/LM1084ISX-5-0-NOPB/366707,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm1084,1.00,ea,$2.97,$2.97,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,5V Cin,CIN-5V,10 µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric),Logic Regulator,Murata Electronics,GRM21BZ71E106KE15L,Digikey,490-GRM21BZ71E106KE15LCT-ND,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BZ71E106KE15L/13904911,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BZ71E106KE15-01.pdf,1.00,ea,$0.30,$0.30,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,5V Cout,CO-5V,"10 µF Molded Tantalum Capacitors 25 V 1411 (3528 Metric), 1210 2.5Ohm",Logic Regulator,KYOCERA AVX,TAJB106K025RNJ,Digikey,478-5257-1-ND,https://www.digikey.com/en/products/detail/kyocera-avx/TAJB106K025RNJ/1950868,https://datasheets.kyocera-avx.com/TAJ.pdf,1.00,ea,$0.58,$0.58,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ea,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
,Battery charger,CHG,Open Frame Battery Charger,Battery Charger,Silvertel,AG105,Digikey,5061-AG105-ND,https://www.digikey.com/en/products/detail/silvertel/AG105/21187255?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gbraid=0AAAAADrbLljDgp5E9udu3vFo2Qauk72-s&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefFEwA7KwFt2PLrf_J0abJf8nIEEBVEIgCIxxo02uRB3dY99tw7c_lAaAkzHEALw_wcB,https://silvertel.com/images/datasheets/Ag105-datasheet-Solar-Panel-Lithium-ion-Battery-Charger-module.pdf,1.00,ea,$14.70,$14.70,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
