# ══════════════════════════════════════════════════════════════════════
# NON-CAUSAL OFFLINE BENCHMARK — DP-OPTIMAL EMS SETPOINT TABLE
#
# GENERATED FILE. Do not hand-edit: regenerate with the command below.
# Computed with FULL FOREKNOWLEDGE of the drive cycle and the auxiliary
# load. It is a lower-bound reference for ranking CAUSAL strategies, not
# a controller, and it is meaningless against any other profile or load.
# The `dp-replay` strategy REFUSES to run when the active scenario's
# profile_fingerprint does not match the one recorded here.
#
# ⚠️ Every hydrogen figure below inherits the H2Consumption banner in
# tools/hil_plant_sim.py. The Gfc map is SCALE-PORTABLE (operator ruling
# 2026-08-31: P_fc in W and the g/s output both ride the system's energy
# scaling factor), so these grams are the MODEL'S ESTIMATE of hydrogen
# mass. What they are NOT is identified against this rig's stack —
# TODO(calibrate). Strategy RANKINGS on the same rig are robust either
# way; quote an absolute gram figure with the calibration caveat.
# ══════════════════════════════════════════════════════════════════════
# command: python tools/gen_dp_ems_table.py --scenario ems-dp-replay --soc0 0.7 --capacity-ah 5.0 --stage-dt 0.1 --lambda-dev 0.0 --lambda-term 1.0 --n-share 41 --soc-step 5e-06 --charger-accounting physical --run-exit 58.0 --match-terminal-soc heuristic --match-tol 2e-06
# generator: tools/gen_dp_ems_table.py
# scenario: ems-dp-replay
# profile_fingerprint: 9241676ef423f011d7eb0ce990f847f96040882b23bd77d9e1864ee8c6071250
# duration_s: 61.0
# stage_dt_s: 0.1
# run_entry_s: 3.0
# run_exit_s: 58.0
#
# ── model ────────────────────────────────────────────────────────────
# soc0: 0.7
# capacity_ah: 5.0
# chg_ceiling_a: 0.8
# gfc_dc_gain_gps_per_w: 1.7637602179836514e-05
# eta_boost: 0.85
# limit_i_fc_max_a: 1.4
# charge_share_value: 0.75
# share_span: 0.25
# cruise_slope_max: 0.05
# cruise_min_mps: 0.5
#
# ── tunables ─────────────────────────────────────────────────────────
# charger_accounting: physical
#   D11 — which of the two hydrogen totals the DP minimised.
#   'simple'   matches a --electrical simple run's logged h2_cum_g
#   'physical' matches a --electrical hifi run's
# lambda_dev_g_per_soc_s: 0.0
# lambda_term_g_per_soc: 2.47501352
# match_terminal_soc: heuristic
#   When not 'none', lambda_term above is the SOLVED value that lands
#   the DP's terminal SoC on the target, so the hydrogen comparison
#   against the causal strategy is made at matched SoC.
# match_target_soc: 0.698004703
# match_residual_soc: +1.552342e-06
# match_converged: yes
#   'yes'  the solved terminal SoC is within --match-tol of the target,
#          so the hydrogen difference against ref_* IS the answer to
#          'how much did the causal strategy leave on the table?'.
#   'no'   the closest reachable point missed the tolerance (the control
#          grid is discrete). Quote match_residual_soc with any
#          comparison. --allow-unmatched was required to write this.
#   'n/a'  --match-terminal-soc none: NOT a matched comparison at all.
# n_share: 41  (control span 0.25 .. 0.75, inside the share-cut band 0.15 .. 0.85)
# soc_grid: 1746 points, 0.6930697130261355 .. 0.7017947130261355, step 5e-06
#
# ── DP-PREDICTED TOTALS (this model, open loop) ───────────────────────
# h2_g_physical: 0.0117564033
# h2_g_simple_plant_equiv: 0.0117564033
# soc_final: 0.698006255
# delta_soc: -0.001993745
# charge_stages: 0 of 611
# share_min: 0.250000
# share_max: 0.750000
#
# ── CAUSAL REFERENCE `soc-band`, walked through the SAME reduced ──
# ── model (NOT a simulator run) — the comparison anchor ───────────
# ref_h2_g_physical: 0.0137227442
# ref_h2_g_simple_plant_equiv: 0.0104182653
# ref_soc_final: 0.698004703
# ══════════════════════════════════════════════════════════════════════
t,power_share_setpoint,charge_goal
0.000,0.250000,0.0
0.100,0.250000,0.0
0.200,0.250000,0.0
0.300,0.250000,0.0
0.400,0.250000,0.0
0.500,0.250000,0.0
0.600,0.250000,0.0
0.700,0.250000,0.0
0.800,0.250000,0.0
0.900,0.250000,0.0
1.000,0.250000,0.0
1.100,0.250000,0.0
1.200,0.250000,0.0
1.300,0.250000,0.0
1.400,0.250000,0.0
1.500,0.250000,0.0
1.600,0.250000,0.0
1.700,0.250000,0.0
1.800,0.250000,0.0
1.900,0.250000,0.0
2.000,0.250000,0.0
2.100,0.250000,0.0
2.200,0.250000,0.0
2.300,0.250000,0.0
2.400,0.250000,0.0
2.500,0.250000,0.0
2.600,0.250000,0.0
2.700,0.250000,0.0
2.800,0.250000,0.0
2.900,0.250000,0.0
3.000,0.250000,0.0
3.100,0.250000,0.0
3.200,0.250000,0.0
3.300,0.250000,0.0
3.400,0.250000,0.0
3.500,0.250000,0.0
3.600,0.250000,0.0
3.700,0.250000,0.0
3.800,0.250000,0.0
3.900,0.250000,0.0
4.000,0.262500,0.0
4.100,0.287500,0.0
4.200,0.312500,0.0
4.300,0.337500,0.0
4.400,0.350000,0.0
4.500,0.375000,0.0
4.600,0.387500,0.0
4.700,0.412500,0.0
4.800,0.425000,0.0
4.900,0.437500,0.0
5.000,0.462500,0.0
5.100,0.475000,0.0
5.200,0.487500,0.0
5.300,0.500000,0.0
5.400,0.512500,0.0
5.500,0.525000,0.0
5.600,0.537500,0.0
5.700,0.550000,0.0
5.800,0.562500,0.0
5.900,0.562500,0.0
6.000,0.575000,0.0
6.100,0.587500,0.0
6.200,0.600000,0.0
6.300,0.600000,0.0
6.400,0.612500,0.0
6.500,0.625000,0.0
6.600,0.625000,0.0
6.700,0.637500,0.0
6.800,0.650000,0.0
6.900,0.650000,0.0
7.000,0.662500,0.0
7.100,0.662500,0.0
7.200,0.675000,0.0
7.300,0.675000,0.0
7.400,0.687500,0.0
7.500,0.687500,0.0
7.600,0.700000,0.0
7.700,0.700000,0.0
7.800,0.712500,0.0
7.900,0.712500,0.0
8.000,0.687500,0.0
8.100,0.650000,0.0
8.200,0.650000,0.0
8.300,0.650000,0.0
8.400,0.650000,0.0
8.500,0.650000,0.0
8.600,0.650000,0.0
8.700,0.650000,0.0
8.800,0.650000,0.0
8.900,0.650000,0.0
9.000,0.650000,0.0
9.100,0.650000,0.0
9.200,0.650000,0.0
9.300,0.650000,0.0
9.400,0.650000,0.0
9.500,0.650000,0.0
9.600,0.650000,0.0
9.700,0.650000,0.0
9.800,0.650000,0.0
9.900,0.650000,0.0
10.000,0.650000,0.0
10.100,0.675000,0.0
10.200,0.687500,0.0
10.300,0.712500,0.0
10.400,0.725000,0.0
10.500,0.737500,0.0
10.600,0.750000,0.0
10.700,0.750000,0.0
10.800,0.750000,0.0
10.900,0.750000,0.0
11.000,0.750000,0.0
11.100,0.750000,0.0
11.200,0.750000,0.0
11.300,0.750000,0.0
11.400,0.750000,0.0
11.500,0.750000,0.0
11.600,0.750000,0.0
11.700,0.750000,0.0
11.800,0.750000,0.0
11.900,0.750000,0.0
12.000,0.750000,0.0
12.100,0.750000,0.0
12.200,0.750000,0.0
12.300,0.750000,0.0
12.400,0.750000,0.0
12.500,0.750000,0.0
12.600,0.750000,0.0
12.700,0.750000,0.0
12.800,0.750000,0.0
12.900,0.750000,0.0
13.000,0.750000,0.0
13.100,0.750000,0.0
13.200,0.750000,0.0
13.300,0.750000,0.0
13.400,0.750000,0.0
