# ══════════════════════════════════════════════════════════════════════
# NON-CAUSAL OFFLINE BENCHMARK — DP-OPTIMAL EMS SETPOINT TABLE
#
# GENERATED FILE. Do not hand-edit: regenerate with the command below.
# Computed with FULL FOREKNOWLEDGE of the drive cycle and the auxiliary
# load. It is a lower-bound reference for ranking CAUSAL strategies, not
# a controller, and it is meaningless against any other profile or load.
# The `dp-replay` strategy REFUSES to run when the active scenario's
# profile_fingerprint does not match the one recorded here.
#
# ⚠️ Every hydrogen figure below inherits the H2Consumption banner in
# tools/hil_plant_sim.py. The Gfc map is SCALE-PORTABLE (operator ruling
# 2026-08-31: P_fc in W and the g/s output both ride the system's energy
# scaling factor), so these grams are the MODEL'S ESTIMATE of hydrogen
# mass. What they are NOT is identified against this rig's stack —
# TODO(calibrate). Strategy RANKINGS on the same rig are robust either
# way; quote an absolute gram figure with the calibration caveat.
# ══════════════════════════════════════════════════════════════════════
# command: python tools/gen_dp_ems_table.py --scenario ems-ftp75c-dp --soc0 0.7 --capacity-ah 5.0 --stage-dt 0.1 --lambda-dev 0.0 --lambda-term 1.0 --n-share 57 --soc-step 5e-06 --charger-accounting physical --run-exit 176.0 --match-terminal-soc heuristic --match-tol 2e-06 --eta-chg 0.88 --loss-map plant --drag scaled-air --eta-regen 0.8
# generator: tools/gen_dp_ems_table.py
# scenario: ems-ftp75c-dp
# profile_fingerprint: 4d982eac5aaa9f978d96934f83c0a773a083a90748e1c386435a9ac43c5709e0
# duration_s: 180.0
# stage_dt_s: 0.1
# run_entry_s: 3.0
# run_exit_s: 176.0
#
# ── model ────────────────────────────────────────────────────────────
# soc0: 0.7
# capacity_ah: 5.0
# chg_ceiling_a: 0.8
# eta_chg: 0.88
#   D12 - the charger is an energy-conserving converter at this
#   efficiency: a charge stage costs the bus V_pack*i/eta_chg W.
#   A table with NO eta_chg line was solved against the 1:1
#   current-transfer charger (V_bus*i) and is not comparable.
# loss_map: v0_eff=15.871722,r_fix=0.017986,k_g=1.95079,g_par=0.148922,g_node_bus=3.3333333333333335e-05,g_node_other=1.6666666666666667e-05,rt_v_fwd=0.035,rt_r_on=0.021
#   2026-09-02 - the demand model carries the plant's STATIC
#   LOSSES (the per-node bleed on N_BUS and N_MOT) and the
#   realized `--droop design` bus law, so the delta-SoC-matched
#   bound is priced against the demand the board actually saw.
#   A table with NO loss_map line was solved against the
#   motor-plus-drain model on V_BUS_DROOP_V0 - K_DROOP_BUS_SHARED*I
#   and is not comparable. See hil_plant_sim's loss-map block.
# drag: scaled-air
# drag_k_air: 0.059806901748516605
#   2026-09-02 - the mechanical road load is the study vehicle's
#   SCALED AIR DRAG (k_air*v*|v|, F_c = 0), not this bench's
#   measured F_c + b_eff*v. It cuts the tractive demand by roughly
#   4.5x and is what makes braking regenerative at all. A table
#   with NO drag line was solved against the rig road load.
# eta_regen: 0.8
# vesc_regen_i_max_a: 1.5
#   2026-09-02 - a braking stage is CREDITED with the pack current
#   the regen chain delivers (tools/regen_power.py): the VESC clip
#   as a force, ETA_REGEN to the V-MOT node, then the Ag105's
#   output-referred cap. A table with NO eta_regen line was solved
#   against p_mech = max(0, F*v) and NO credit, so at a matched
#   terminal SoC it must buy that SoC with hydrogen and its total
#   is INFLATED. The two are not comparable.
#   BOTH constants are recorded here and checked by
#   DpReplayStrategy.bind_scenario()'s drift guard - the
#   pre-committed obligation the NOT RECORDED note below carried.
# gfc_dc_gain_gps_per_w: 1.7637602179836514e-05
# eta_boost: 0.85
# limit_i_fc_max_a: 1.4
# charge_share_value: 0.85
# share_span: 0.25
# cruise_slope_max: 0.05
# cruise_min_mps: 0.5
#
# ── tunables ─────────────────────────────────────────────────────────
# aux_preload_a: 0.0
#   Documentation, not a drift guard: profile_fingerprint above
#   already covers it.
# charger_accounting: physical
#   D11 — which of the two hydrogen totals the DP minimised.
#   'simple'   matches a --electrical simple run's logged h2_cum_g
#   'physical' matches a --electrical hifi run's
# lambda_dev_g_per_soc_s: 0.0
# lambda_term_g_per_soc: 2.48383377
# match_terminal_soc: heuristic
#   When not 'none', lambda_term above is the SOLVED value that lands
#   the DP's terminal SoC on the target, so the hydrogen comparison
#   against the causal strategy is made at matched SoC.
# match_target_soc: 0.697960654
# match_residual_soc: +1.824816e-06
# match_converged: yes
#   'yes'  the solved terminal SoC is within --match-tol of the target,
#          so the hydrogen difference against ref_* IS the answer to
#          'how much did the causal strategy leave on the table?'.
#   'no'   the closest reachable point missed the tolerance (the control
#          grid is discrete). Quote match_residual_soc with any
#          comparison. --allow-unmatched was required to write this.
#   'n/a'  --match-terminal-soc none: NOT a matched comparison at all.
# n_share: 57  (control span 0.15 .. 0.85, inside the share-cut band 0.15 .. 0.85)
# soc_grid: 4837 points, 0.687223909107115 .. 0.7114039091071149, step 5e-06
#
# ── DP-PREDICTED TOTALS (this model, open loop) ───────────────────────
# h2_g_physical: 0.00598237961
# h2_g_simple_plant_equiv: 0.00598237961
# soc_final: 0.697962479
# delta_soc: -0.002037521
# charge_stages: 0 of 1801
# share_min: 0.412500
# share_max: 0.725000
#
# ── CAUSAL REFERENCE `soc-band`, walked through the SAME reduced ──
# ── model (NOT a simulator run) — the comparison anchor ───────────
# ref_h2_g_physical: 0.00597880851
# ref_h2_g_simple_plant_equiv: 0.00597880851
# ref_soc_final: 0.697960654
# ══════════════════════════════════════════════════════════════════════
t,power_share_setpoint,charge_goal
0.000,0.412500,0.0
0.100,0.412500,0.0
0.200,0.412500,0.0
0.300,0.412500,0.0
0.400,0.412500,0.0
0.500,0.412500,0.0
0.600,0.412500,0.0
0.700,0.412500,0.0
0.800,0.412500,0.0
0.900,0.412500,0.0
1.000,0.412500,0.0
1.100,0.412500,0.0
1.200,0.412500,0.0
1.300,0.412500,0.0
1.400,0.412500,0.0
1.500,0.412500,0.0
1.600,0.412500,0.0
1.700,0.412500,0.0
1.800,0.412500,0.0
1.900,0.412500,0.0
2.000,0.412500,0.0
2.100,0.412500,0.0
2.200,0.412500,0.0
2.300,0.412500,0.0
2.400,0.412500,0.0
2.500,0.412500,0.0
2.600,0.412500,0.0
2.700,0.412500,0.0
2.800,0.412500,0.0
2.900,0.412500,0.0
3.000,0.412500,0.0
3.100,0.412500,0.0
3.200,0.412500,0.0
3.300,0.412500,0.0
3.400,0.412500,0.0
3.500,0.412500,0.0
3.600,0.412500,0.0
3.700,0.412500,0.0
3.800,0.412500,0.0
3.900,0.412500,0.0
4.000,0.412500,0.0
4.100,0.412500,0.0
4.200,0.412500,0.0
4.300,0.412500,0.0
4.400,0.412500,0.0
4.500,0.412500,0.0
4.600,0.412500,0.0
4.700,0.412500,0.0
4.800,0.412500,0.0
4.900,0.412500,0.0
5.000,0.412500,0.0
5.100,0.412500,0.0
5.200,0.412500,0.0
5.300,0.412500,0.0
5.400,0.412500,0.0
5.500,0.412500,0.0
5.600,0.412500,0.0
5.700,0.412500,0.0
5.800,0.412500,0.0
5.900,0.412500,0.0
6.000,0.412500,0.0
6.100,0.412500,0.0
6.200,0.412500,0.0
6.300,0.412500,0.0
6.400,0.412500,0.0
6.500,0.412500,0.0
6.600,0.412500,0.0
6.700,0.412500,0.0
6.800,0.412500,0.0
6.900,0.412500,0.0
7.000,0.412500,0.0
7.100,0.412500,0.0
7.200,0.412500,0.0
7.300,0.412500,0.0
7.400,0.412500,0.0
7.500,0.412500,0.0
7.600,0.412500,0.0
7.700,0.412500,0.0
7.800,0.412500,0.0
7.900,0.412500,0.0
8.000,0.412500,0.0
8.100,0.412500,0.0
8.200,0.412500,0.0
8.300,0.412500,0.0
8.400,0.412500,0.0
8.500,0.412500,0.0
8.600,0.412500,0.0
8.700,0.412500,0.0
8.800,0.412500,0.0
8.900,0.412500,0.0
9.000,0.412500,0.0
9.100,0.412500,0.0
9.200,0.412500,0.0
9.300,0.412500,0.0
9.400,0.412500,0.0
9.500,0.412500,0.0
9.600,0.412500,0.0
9.700,0.412500,0.0
9.800,0.412500,0.0
9.900,0.412500,0.0
10.000,0.412500,0.0
10.100,0.412500,0.0
10.200,0.412500,0.0
10.300,0.412500,0.0
10.400,0.412500,0.0
10.500,0.412500,0.0
10.600,0.412500,0.0
10.700,0.412500,0.0
10.800,0.412500,0.0
10.900,0.412500,0.0
11.000,0.412500,0.0
11.100,0.412500,0.0
11.200,0.412500,0.0
11.300,0.412500,0.0
11.400,0.412500,0.0
11.500,0.412500,0.0
11.600,0.412500,0.0
11.700,0.412500,0.0
11.800,0.412500,0.0
11.900,0.412500,0.0
12.000,0.412500,0.0
12.100,0.412500,0.0
12.200,0.412500,0.0
12.300,0.412500,0.0
12.400,0.412500,0.0
12.500,0.412500,0.0
12.600,0.412500,0.0
12.700,0.412500,0.0
12.800,0.412500,0.0
12.900,0.412500,0.0
13.000,0.412500,0.0
13.100,0.412500,0.0
13.200,0.412500,0.0
13.300,0.412500,0.0
13.400,0.412500,0.0
13.500,0.412500,0.0
13.600,0.412500,0.0
13.700,0.412500,0.0
13.800,0.412500,0.0
13.900,0.412500,0.0
14.000,0.412500,0.0
14.100,0.412500,0.0
14.200,0.412500,0.0
14.300,0.412500,0.0
14.400,0.412500,0.0
14.500,0.412500,0.0
14.600,0.412500,0.0
14.700,0.412500,0.0
14.800,0.412500,0.0
14.900,0.412500,0.0
15.000,0.412500,0.0
15.100,0.412500,0.0
15.200,0.425000,0.0
15.300,0.437500,0.0
15.400,0.450000,0.0
15.500,0.450000,0.0
15.600,0.462500,0.0
15.700,0.475000,0.0
15.800,0.475000,0.0
15.900,0.487500,0.0
16.000,0.487500,0.0
16.100,0.487500,0.0
16.200,0.500000,0.0
16.300,0.500000,0.0
16.400,0.512500,0.0
16.500,0.525000,0.0
16.600,0.525000,0.0
16.700,0.537500,0.0
16.800,0.537500,0.0
16.900,0.550000,0.0
17.000,0.550000,0.0
17.100,0.550000,0.0
17.200,0.562500,0.0
17.300,0.562500,0.0
17.400,0.575000,0.0
17.500,0.575000,0.0
17.600,0.575000,0.0
17.700,0.575000,0.0
17.800,0.587500,0.0
17.900,0.587500,0.0
18.000,0.537500,0.0
18.100,0.450000,0.0
18.200,0.450000,0.0
18.300,0.450000,0.0
18.400,0.462500,0.0
18.500,0.475000,0.0
18.600,0.487500,0.0
18.700,0.487500,0.0
18.800,0.487500,0.0
18.900,0.487500,0.0
19.000,0.550000,0.0
19.100,0.600000,0.0
19.200,0.612500,0.0
19.300,0.612500,0.0
19.400,0.612500,0.0
19.500,0.575000,0.0
19.600,0.525000,0.0
19.700,0.525000,0.0
19.800,0.525000,0.0
19.900,0.525000,0.0
20.000,0.512500,0.0
20.100,0.500000,0.0
20.200,0.500000,0.0
20.300,0.500000,0.0
20.400,0.500000,0.0
20.500,0.475000,0.0
20.600,0.450000,0.0
20.700,0.450000,0.0
